ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43
Table Number,575114927,575645342,575283404,575506812,574903923,574510057,574369566,574282556,573530837,574146296,574205270,573695310,572869108,573301360,573133241,573134841,571874445,572496359,572647660,572549138,571302579,571195661,570591778,570662345,570807962,570734438,569765107,569521605,568038398,567796044,566662988,562524435,562133986,559608546,557890730,555318049,551312356,542849457,527775627,516738278,470247957,336562502,319065151
Move,['15'],['37'],['6'],['30'],['36'],['21'],['10'],['56'],['32'],['35'],['50'],['48'],['44'],['57'],['54'],['52'],['19'],['83'],['88'],['67'],['6'],['37'],['133'],['65'],['57'],['30'],['76'],['41'],['85'],['107'],['38'],['17'],['11'],['144'],['72'],['115'],['396'],['973'],['682'],['1430'],['2583'],['2256'],['641']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode
Speed,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,Deutsch,English,English,Français,English,English,English,English,English,English,Français,Deutsch,English,English,English,English,English,English,English,Deutsch,Deutsch,Deutsch,English,English,Français,Deutsch,English,English,English,Français,English,Français,English,English,Français,English,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Bindings', 'Slalom', 'Downhill', 'Powder']","['Forever', 'Union', 'Match', 'Lifelong', 'Devotional', 'Remarriage']","['Schaukel', 'Traumfabrik', 'Kino', 'Kalifornien', 'Ort', 'Filmproduktion']","['Flow', 'Over', 'Red', 'Solo']","['bright', 'photon', 'bulb', 'High', 'black', 'filament']","['Cocon', 'Appartement', 'Foyer', 'Foyer']","['Weekend', 'Rest', 'Church', 'Church']","['flicker', 'Illuminates', 'Hot', 'Moth', 'Candle', 'Candle']","['Mitt', 'Bake', 'appliance', 'hot', 'Broil', 'Broil']","['Mozart', 'jazz', 'Springsteen', 'score', 'classical']","['Wings', 'halo', 'food', 'cake', 'Heavenly', 'Biblical']","['Churi\\u3055\\u3093', '\\u3057\\u3085\\u3046\\u306e\\u3046', '\\u3051\\u3044\\u3058', '\\u305d\\u306e\\u3068\\u304d', '\\u30d0\\u30a4', '\\u3044\\u3057\\u3087\\u3046']","['cercle', 'ruban', 'Extensible', '\\u00e9tirable', 'etirable', '\\u00c9tirable']","['Brauch', 'Fussball', 'Sitte', 'Dogma', 'Alt', 'Althergebrachtes']","['Pacifist', 'truce', 'Dove', 'dove']","['soup', 'chicken', 'Supply', 'Accumulated', 'Shares', 'Broker']","['protective', 'Turtle', 'Clam', 'sea', 'Conch', 'Conch']","['Waterfl', 'dodgers', 'Donald', 'Peking', 'lips', 'beak']","['Weezer', 'Arkells', 'Beatles', 'Majorette', 'Aid']","['Bouquet', '...water', 'Thorn', 'blush', 'Nylund']","['Pillen', 'Doctor', 'Forma\\u00e7\\u00e3o', 'Sa\\u00fade', 'Drugs', 'Krank']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['\\u00d6sterreich', 'Sydney', 'Outback', 'Canberra']","['Charts', 'Disco', 'Spotify', 'Radio', 'Melodie', 'Melodie']","['Competition', 'government', 'Plurality', 'campaign', 'Insurance', 'November']","['Rattle', 'Diamondback', 'Skin', 'Slithery', 'Mamba', 'Slither']","['Arrosage', 'Astuce', 'Mario', 'Plomberie', 'Tube']","['Blond', 'Albino', 'Hannelore', 'Enzian', 'Enzian']","['Limb', 'Twig', 'Local', 'Legislative', 'LIBRARY', 'Trolls']","['Toss', 'Handhold', 'bomb', 'Bruno', 'Pineapple', 'smoke']","['Preview', 'Content', 'Sun', 'Flat', 'movie', 'door']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['plante', 'cuisine', 'pleur', 'pleurer']","['pride', 'Mufasa', 'Mane', 'Mane']","['Dig', 'Spade', 'Scoop', 'Spade', 'Spade', 'Scoop']","['Mathy', 'Atchoum', 'Disney', 'Sept', 'Passe-partout', 'Passe-partout']","['precipitation', 'wet', 'Droplets', 'Cloud', 'Water', 'Coat']","['italian', 'yakuza', 'crime', 'Gangster', 'ganggang']","['Vivaldi', 'Instrument']","['Bread', 'Zumbo', 'Street', 'Candlestick', 'Delight', 'Delight']","['Choir', '\\u00c9boulement', 'Fin', 'Blague', 'Fracture', 'Apesanteur']","['super', 'priest', 'Vatican', 'Boss']"
Mystery Word,Ski,Marriage,Hollywood,Cup,Light,Maison,Sunday,Flame,Oven,Music,Angel,Case,\u00c9lastique,Tradition,Peace,Stock,Shell,Duck,Band,Rose,Medicine,Rose,Australien,Musik,Election,Snake,Tuyau,Heino,Branch,Grenade,Screen,Pluie,Galaxy,Oignon,Lion,Shovel,Nain,Rain,Mafia,Violin,Baker,Chute,Pope
Guess,skiing,Marriage,Hollywood,stream,Light,Maison,Relax,Flame,oven,Music,Angel,Case,Elastique,Tradition,Peace,Stock,Shell,Duck,Band,Rose,Medicine,Rose,Austrialien,Musik,Election,Snake,Tuyau,Heino,Branch,Grenade,,pluie,galaxy,thym,Lion,hole,Nain,Rain,mafia,Guitar,Baker,Chute,archbishop
