ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59
Table Number,500627375,500686195,500654508,500103092,500391941,500425374,500189448,499807817,499503842,499679877,499622512,499119832,499581844,499434834,499252684,499439706,499269196,498895619,498783024,498542875,498320868,498375628,498158851,497964824,498118641,498108109,497686546,497510618,497274140,496405272,496533291,496863748,496595655,495583488,496058086,495984241,495708536,495122405,495605195,495675336,495349332,495143313,493675456,491092635,491305856,490280100,489469138,484682575,484435490,481212678,480055062,479677325,466084294,444471586,426921218,420552674,405054016,396307534,341401520
Move,['9'],['9'],['27'],['16'],['42'],['25'],['16'],['19'],['21'],['5'],['44'],['83'],['26'],['30'],['36'],['37'],['37'],['44'],['26'],['45'],['32'],['109'],['22'],['18'],['66'],['37'],['84'],['83'],['58'],['9'],['43'],['72'],['84'],['33'],['94'],['101'],['116'],['50'],['43'],['30'],['43'],['82'],['7'],['52'],['39'],['37'],['175'],['98'],['55'],['73'],['281'],['82'],['48'],['57'],['660'],['687'],['1923'],['495'],['3004']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+
Language,English,Français,Français,English,English,English,Français,English,Français,Français,English,Deutsch,English,English,Français,English,Français,Deutsch,Français,Français,English,English,English,English,English,Français,Français,English,Français,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English,Deutsch,Français,Français,Français,English,English,English,Deutsch,English,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Medusa', 'squeeze', 'Python', 'Garter', 'Mamba', 'Viper']","['Caisse', 'b\\u00eache', 'Multifonction', 'Pioche', 'Tournevis', 'Tournevis']","['eaux', 'Catacombe', 'Cloaque', '\\u00c9vacuation', 'canalisation', 'Canalisation']","['\\u3042\\u3093\\u305c\\u3093\\u3074\\u3093', '\\u3051\\u3093\\u305b\\u3044\\u304d\\u3085\\u3046', '\\u30d2\\u30ea\\u30d2\\u30ea', '\\u306f\\u3061', '\\u306f\\u3061']","['Bieber', 'Partum', 'Waaaaaaaahhhhhhhhhhhhhhhhhhhhh', 'Shower', 'Infant']","['Manual', 'Ascend', 'Up', 'Rope', 'Mountain', 'Mountain']","['Luxe', 'Demeure', 'Luette', 'Ch\\u00e2teau']","['rail', 'track', 'Ticket', 'Ride', 'Freight', 'Ghost']","['Fruit', 'Crassane', 'Comice', 'Poirier']","['Sommeil', 'Mobilier', 'Dormir', 'Oreiller']","['Brim', 'Akubra', 'Headwear', 'Lid']","['Pelle', 'Erdapfel', 'Erdbirne', 'R\\u00f6sti', 'Knollen', 'Knolle']","['Bronze', 'Olympics', 'Gold', 'Olympic']","['desk', 'Lighter', 'Nighttime', 'fixture', 'Mary', 'Illuminate']","['monticule', 'rangement', 'Duracell', 'Batterie', 'Cathode', 'Face']","['Engin', 'head', 'Mechanism', 'washing']","['escabeau', 'Scoville', 'Meunier', 'Pompier', 'Richter', 'Richter']","['Loge', 'Drama', 'B\\u00fchne', 'Puppen', 'Schauspiel', 'Schauspieler']","['Panne', 'Flamme', 'cire', 'parfum\\u00e9e', 'Chandelier']","['paludisme', 'Citronnelle', 'chikungunya', 'Boutons', 'Piq\\u00fbre', 'piq\\u00fbre']","['praline', 'Galaxy', 'bittersweet', 'Brown']","['mobile', 'Backstage', 'trash', 'movie', 'Advertisement', 'Rv']","['Triticum', 'Flour', 'Gluten', 'Gluten']","['Ruffles', 'Pentium', 'Block', 'Casino', 'Science', 'Poker']","['red', 'velvet', 'Wedding', 'Confectionery', 'have', 'eat']","['Banquette', 'Sofa', 'Divan', 'Salon', 'Toast', 'Toast']","['Chauve', 'Boucl\\u00e9s', 'Cr\\u00e9pu', 'blond', 'Perruque', 'Pellicules']","['Light', 'Laser', 'lightray', 'Headlight', 'Steel', 'steel']","['spinnaker', 'Etoffe', 'Bateau', 'Mat']","['celluloid', 'Ebert', 'Kodak', 'screen', 'movie', 'Movie']","['sky', 'Full', 'Ass', 'eclipse', 'lunar', 'lunar']","['three', 'Bermuda', 'Obtuse', 'delta', 'Shape', 'shape']","['kills', 'Drug', 'Ivy', 'Arsenic', 'Arsenic', 'arsenic']","['Gummistiefel', 'Bindf\\u00e4den', 'Prasseln', 'Schauer', 'Schauer']","['Puff', 'Lecter', 'Komodo', 'Year', 'Dungeon', 'Dungeons']","['Door', 'Pick', 'Deadbolt', 'Protection', 'key', 'Key']","['lover', 'torch', 'flickering', 'Wick', 'Candle', 'beau']","['Mane', 'Fur', 'tresses', 'spray']","['Smokes', 'Camels', 'Nicotine', 'Marlboro']","['Cause', 'Underground', 'genesis', 'Cheer', 'rhizome', 'Rhizome']","['Glass', 'Toe', 'Hint', 'Money']","['The', 'done', 'finale', 'terminal', 'Finish', 'finish']","['Thermostat', 'Enforcement', 'Sun', 'Wave']","['Speicherstadt', 'Hatschi', 'M\\u00fchle', 'Gew\\u00fcrz']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['Tyrex', 'Cr\\u00e9tac\\u00e9', 'Pteranodon', 'jurassic', 'Pterodactyl', 'Velociraptor']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Nick', '1812', 'Heavy', 'Ballistic', 'shoot', 'pirate']","['Ratatouille', 'Nager', 'Versuchstier', 'schrecklich', 'Riesenmaus', 'Pestverbreiter']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Diner', 'Placard', 'Food', 'List']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['and', 'key', 'Pad', 'Shut']","['baking', 'gun', 'icing', 'baby', 'explosive', 'dust']","['Tiny', 'Fishy', 'tin', 'fish']","['Eclipse', 'Yellow', 'Shine', 'Rays', 'burning', 'universe']","['White', 'Black', 'Intelligence', 'Agent', '99', 'Q']"
Mystery Word,Snake,Outil,\u00c9go\u00fbt,Sting,Baby,Climb,Palais,Train,Poire,Lit,Hat,Kartoffel,Medal,Lamp,Pile,Machine,\u00c9chelle,Theater,Bougie,Moustique,Chocolate,Trailer,Wheat,Chip,Cake,Canap\u00e9,Cheveux,Beam,Voile,Film,Moon,Triangle,Poison,Regen,Dragon,Lock,Flame,Hair,Cigarette,Root,Tip,End,Heat,Pfeffer,Baleine,Valise,Dinosaure,Quarter,Root,Cannon,Ratte,Guard,Menu,Vegetable,Lock,Powder,Sardine,Sun,Spy
Guess,Snake,Outil,\u00c9gouts,balk,Cry,Climb,Palais,train,Poire,Lit,Hat,Kartoffel,Medal,Lamp,Pile,cylinder,\u00e9chelle,Theater,Bougie,Moustique,Chocolate,trailer,wheat,chips,cake,Canap\u00e9,Cheveux,beam,voile,film,moon,triangle,Poison,Regen,dragon,Lock,flame,Hair,Cigarettes,create,Pochacco,end,,Pfeffer,Baleine,valise,dinosaure,,,cannon,Ratte,guard,Menu,Vegetable,lock,Sugar,Sardines,solar,Spy
