ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82
Table Number,471201068,471177801,470935225,470917578,470762680,470621188,470550354,470320149,470195597,470164957,470147258,470139278,470059345,469575310,469544211,469403330,469202058,469203044,469104623,468893056,468841644,468833647,468727085,468694914,468681757,468663748,468553099,468369802,468250337,468235924,468191722,468180268,468164131,468125819,468122007,467668952,467653339,467656252,467470842,467383169,467318071,467293460,466910207,466827703,466724110,466613333,466190211,466154882,466086694,466086884,466036389,465731184,465664137,465661217,465668656,465665616,465664206,465619295,465435499,465108118,461611363,461105701,461078968,459279309,458716764,457064795,454586755,453839362,451463411,449145581,446155644,445297184,421549329,420552674,381777020,357001162,356959263,344838144,330741642,322628136,317609821,313533300
Move,['10'],['18'],['9'],['9'],['9'],['16'],['22'],['21'],['27'],['37'],['35'],['26'],['28'],['16'],['59'],['75'],['81'],['46'],['61'],['62'],['37'],['85'],['56'],['66'],['6'],['83'],['56'],['36'],['35'],['44'],['38'],['49'],['5'],['9'],['31'],['45'],['39'],['67'],['81'],['59'],['60'],['91'],['72'],['87'],['46'],['57'],['62'],['62'],['11'],['11'],['66'],['7'],['7'],['7'],['7'],['7'],['7'],['31'],['156'],['33'],['83'],['73'],['29'],['39'],['19'],['36'],['11'],['82'],['40'],['73'],['37'],['32'],['95'],['464'],['1039'],['1824'],['1314'],['1486'],['2759'],['4275'],['1588'],['3402']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,English,English,English,English,English,Français,English,English,Français,English,English,Français,English,Français,English,Français,English,English,Français,Français,English,Deutsch,Français,English,Français,Français,English,English,English,English,English,English,Français,English,English,Français,English,English,English,English,Français,Français,English,English,Français,English,English,English,English,English,English,English,English,English,English,Deutsch,English,Français,English,Deutsch,Français,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,Français,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Eclair', 'coup', 'Tonnerre', 'tonnerre']","['stone', 'Valuable', 'Thief', 'Sapphire', 'shiny', 'Shiny']","['Care', 'mash', 'Nurse', 'Injured', 'Building', 'Clinic']","['Twinkle', 'Shine', 'hollywood', 'Galaxy', 'SKy', 'Sky']","['Spotify', 'Artist', 'Orchestra', 'Sound', 'Jazz', ""man'""]","['Villain', 'Spheniscidae', 'umbrella', 'Rockhopper', 'batman']","['\\u30af\\u30ea\\u30fc\\u30e0', '\\u30b9\\u30dd\\u30f3\\u30b8', '\\u30d5\\u30e9\\u30f3\\u30b9\\u304b\\u304f\\u3081\\u3044', '\\u30af\\u30ea\\u30b9\\u30de\\u30b9']","['Cleaver', 'Serrated', 'Butter', 'Ginsue']","['Minotaure', 'Bowie', 'Compliqu\\u00e9', 'Immense', 'chemin', 'Chemins']","['Engagement', 'chime', 'finger', 'tone', 'wedding', 'telephone']","['Gravitational', 'sound', 'Tidal', 'Tidal']","['Tribal', 'Prison', 'Encre', 'Peau', 'Aiguille', 'Aiguille']","['lake', 'Mirage', 'Fountain', 'Desert', 'desert', 'Desert']","['Vatican', 'Habemus', 'Bishop', 'Rome']","['Fromage', 'Chef', '\\u00c9lu', 'Peuple', 'clacos', 'Sarkozy']","['Stravinksy', 'break', 'Equinox', 'season', 'season']","['Mari\\u00e9e', 'Vin', 'Jupe', 'Chambre', 'Chasuble', 'Cocktail']","['Month', 'Landing', 'Crescent', 'reflects', 'walk', '1969']","['Mer', 'Arctique', 'Sal\\u00e9', 'Pacifique', 'Indien', 'Indien']","['Canopy', 'Sherwood', 'Daintree', 'Lost', 'Gump', 'Gump']","['correct', 'Wrong', 'starboard', 'Direction', 'Conservative', 'Conservative']","['Identification', 'henn\\u00e9', 'Malabar', 'Maori', 'piercing', 'Biker']","['Ch\\u00e8vre', 'Gruy\\u00e8re', 'Brie', '\\u00c9poisses', 'Parmesan', 'Maroilles']","['Tunisia', 'Waning', 'night', 'croissant', 'Croissant', 'croissant']","['Augen', 'Sehschw\\u00e4che', 'Gl\\u00e4ser', 'Accessoire', 'Potter', 'Rahmen']","['cellule', 'Mitard', 'Fresnes', 'Parloir', 'Oubliette', 'Beaumette']","['Cigar', 'parliament', 'deadly', 'whacko', 'Snuff', 'snuff']","['Head', 'enfer', 'Poste', 'Musique', 'Canada', 'Communication']","['Fleur', 'Rouleau', 'Arabe', 'Avril']","['pharaoh', 'bandaged', 'Ghost', 'Egyptian', 'dead', 'dead']","['turtles', 'shuriken', 'warrior', 'Blender', 'Gaiden', 'Gaiden']","['Tajine', 'Food', 'starch', 'granules', 'Grain', 'Grain']","['Vallen', 'Frans', 'Gaten', 'Melk']","['changing', 'autumn', 'spice', 'Winter', 'Playoff', 'Summer']","['Banyan', 'oak', 'birch', 'maple', 'Willow', 'willow']","['Internet', 'Tableau', 'Rideau', 'Cir\\u00e9e', 'Parachute', 'filet']","['Cornerback', 'Shield', 'Zone', 'Army', 'self', 'Protection']","['Nose', 'craft', 'pull', 'Tool', 'tool', 'Tool']","['Quichotte', 'Rouge', 'huile', 'Lettres', 'Daudet', 'Daudet']","['Pool', 'Rooms', 'Hilton', 'Rest', 'Floors', 'Elevator']","['Performance', 'Weapon', 'Hunting', 'Hair']","['Nauvoo', 'Building', 'Doom', 'Holiness', 'synagogue', 'Sealing']","['factory', 'Socket', 'Slough', 'Plug']","['Logis', 'Poussi\\u00e8re', 'Ailes', 'Carabosse', '\\u00c9lectricit\\u00e9', 'Clochette']","['Voute', 'Fa', 'Bras', 'passe-partout', 'Molette', 'Molette']","['feces', 'Cowpat', 'beetle', 'Beetle']","['Allergic', 'Fruit', 'ontop', 'red', 'coke', 'pit']","['R\\u00e9publique', 'Pompidou', 'dirigeant', 'Macron', 'Camembert', 'Camembert']","['Theatre', 'Film', 'Fancy', 'Movie']","['Umbrella', 'Mushroom', 'Kirby', 'Ability']","['area', 'Persian', 'Wig', 'Throw', 'carpet', 'Carpet']","['Adjustable', 'Grabbers', 'needlenose', 'torture']","['Cacao', 'Sweet', 'Charlieandthe', 'dark']","['Wonka', 'Hershey', 'finished', 'cocoa']","['Blitz', 'fancy', 'Dancing', 'dancing']","['JerrySpringer', 'emotional', 'Luggage', 'luggage']","['Jams', 'Tunes', 'Soundof', '-Man']","['Shot', 'Reading', '3D', 'BIFOCAL', 'Drinking', 'Drinking']","['Sternzeichen', 'Luise', 'Sternbild', 'Stier']","['Roy', 'Siegfried', 'Tophat', 'Wand', 'performer', 'illusions']","['Coupante', 'Lame', 'Pipe', 'viande', 'fendre', 'Guerre']","['Night', 'Disco', 'Travola', 'Vegas', 'Pitch', 'Yellow']","['Schiffsanleger', 'Seemannstattoo', 'Schiff', 'Festmachen']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['castle', 'master', 'Underneath', 'keep']","['Electrical', 'Tesla', 'Life', 'AAA']","['Cowboy', 'Filmgenre', 'eastwood', 'indianer']","['male', 'Annoying', 'Morning', 'chicken', 'Chicken', 'Chicken']","['fight', 'tooth', 'hammer', 'polish', 'finger', ""finger's""]","['Waistband', 'Stretchable', 'Heart', 'Scrunchie']","['Farming', 'Vehicle', 'farmer', 'wagob', 'Con', 'Ex']","['Horde', 'association', 'Bond', 'unite', 'Wartime', 'NATO']","['putter', 'association', 'Discotheque', 'Golf']","['Fromage', 'Mammif\\u00e8re', 'Bouc', 'Bouc']","['Rainier', 'Fuji', 'Olympus', 'Alps', 'king']","['Sabayon', 'Fin', 'PannaCotta', 'Baklava', 'Tiramisu', 'tiramisu']","['Coulrophobia', 'jester', 'prankster', 'entertainer', 'bozo', 'Bozo']"
Mystery Word,Foudre,Jewel,Hospital,Star,Music,Penguin,Cake,Knife,Labyrinthe,Ring,Wave,Tatouage,Oasis,Pope,Pr\u00e9sident,Spring,Robe,Moon,Oc\u00e9an,Forest,Right,Tatouage,Fromage,Crescent,Brille,Prison,Tobacco,Radio,Printemps,Mummy,Ninja,Couscous,Cheese,Season,Tree,Toile,Defense,Pliers,Moulin,Hotel,Bow,Temple,Outlet,F\u00e9e,Cl\u00e9,Dung,Cherry,Pr\u00e9sident,Cinema,Parasol,Rug,Pliers,Chocolate,Chocolate,Ballroom,Baggage,Music,Glasses,Widder,Magician,Hache,Fever,Anker,Bande,Pearl,Fox,Crescent,Museum,Ninja,Dungeon,Battery,Western,Rooster,Nail,Elastic,Tractor,Alliance,Club,Ch\u00e8vre,Mountain,Dessert,Clown
Guess,Foudre,Diamond,hospital,star,Music,PENGUIN,cake,Knife,Aucuneespecedideelol,ring,Scream,Tatouage,Oasis,Catholic,Pr\u00e9sident,spring,Champagne,moon,oc\u00e9an,Forest,Right,Tatouage,Fromage,moon,Brille,Prison,cigarette,Radio,printemps,Mummy,ninja,Grain,Cheese,season,tree,Toile,defense,,Moulin,Hotel,Bow,Temple,Electrical,F\u00e9e,Cl\u00e9,manure,Cherry,,Cinema,Float,Rug,Pliers,Chocolate,Chocolate,Ball,Reality,Music,Glasses,Widder,Magician,Tranche,Fever,Anker,,mussel,Fox,Crescent,,,dungeon,Battery,Western,DJ,Dentist,Elastic,Tractor,Alliance,club,Souris,Mountain,dessert,Clown
