ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43
Table Number,586726516,585970944,585996255,585875472,585819657,585390273,585472940,585471535,585237097,584339432,584457992,584041498,584345810,584368486,583653379,584077115,584114603,583657818,583397452,583153790,582078573,582181955,581423250,581067387,581767722,580592436,578883648,578450103,576920182,577180892,576413622,575723606,571815545,571195661,570734438,569665701,558983329,550187728,528822756,517095134,508762408,478416865,420552674
Move,['45'],['7'],['14'],['28'],['5'],['16'],['19'],['12'],['21'],['58'],['101'],['45'],['47'],['90'],['61'],['60'],['67'],['46'],['88'],['48'],['56'],['83'],['92'],['67'],['9'],['56'],['119'],['36'],['10'],['91'],['19'],['41'],['89'],['37'],['38'],['80'],['42'],['395'],['410'],['855'],['1005'],['1748'],['1240']
Mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode
Speed,Real-time • Normal speed (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+
Language,English,English,Français,English,English,English,English,Deutsch,English,English,English,Deutsch,English,English,English,English,Français,English,Français,English,English,English,Français,English,English,English,Français,Français,English,Français,Deutsch,English,English,Deutsch,English,English,English,Français,English,Français,English,Français,English
End,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['bitches', 'gardener', 'Garden']","['Allergy', 'Nothing', 'squirrel', 'Butter']","['bonne', 'groupe', 'boite', 'partition']","['sea', 'Dig', 'Wriggly', 'dune', 'Hole', 'Earth']","['steel', 'scrubber', 'sheep', 'clothes']","['Headlamp', 'Laser', 'ceiling', 'Smile', 'grin']","['Electrical', 'plug', 'mall', 'Bargins', 'store', 'outlet']","['Vaterfigur', 'Hosentr\\u00e4ger', 'Blond', 'Volkslieder', 'Sonnenbrille', 'Enzian']","['Seal', 'Petals', 'Valentines', 'Jack']","['Icarus', 'Day', 'Solar', 'Ecliy']","['leap', 'shonen', 'Jordan', 'Gap', 'Spacebar', 'Verb']","['Knoten', 'aufh\\u00e4ngen', 'Bergsteigen', 'Geflochten', 'Ziehen', 'Cowboy']","['White', 'Coat', 'Stevia', 'Cane', 'daddy', 'brown']","['Solid', 'frozen', 'glaze', 'Skating', 'Elsa', 'Breaker']","['Munchkin', 'White...', 'Small', 'Axe', 'Shortman']","['Eek', 'tail', 'Minnie', 'trap', 'Cheese', 'Rodent']","['immobilit\\u00e9', 'Lestage', 'Amarrer', 'Outil', 'navire', 'Navire']","['lobby', 'California', 'Guest', 'Inn.', 'Hostel', 'Stars']","['Ruche', 'collant', 'Abeilles', 'Sweet', 'Cire', 'Fleurs']","['observer', 'officer', 'Pikachu', 'Magnifying', 'Sherlock', 'Murder']","['Ward', 'defend', 'security', 'sentry']","['Cabaletta', 'house', 'NotreDame', 'falsetto', 'Rossini', 'Sing']","['\\u00c9levage', 'Paysan', 'Agricole', 'ouvre', 'Ouvre', 'Ouvert']","[""coward's"", 'uppercut', 'Rum', 'Kick', 'Hawaiian', 'Hawaiian']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['bite-sized', 'snack', 'Starter', 'eat', 'Food', 'potstickers']","['maternelle', 'Buissonni\\u00e8res', '\\u00c9l\\u00e9mentaire', 'Polytechnique', 'Parcoursup', 'Ma\\u00eetre']","['Punition', 'Enfant', 'Angle', 'Piece']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['tuichi', 'George', 'Liane', 'Mowgli']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Wolftrap', 'listen', 'Hollywood', 'Bowl']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['beating', 'pumps', 'shape', 'valve', 'barracuda', 'aeorta']","['Pulcsi', 'Puha', 'B\\u00e1r\\u00e1ny', 'B\\u00e1r\\u00e1ny']","['gourmette', 'menotte', 'montre', 'connect\\u00e9', 'Prison', '\\u00c9lectronique']","['Ab', 'Exercise', 'Board', 'body']","['groupe', 'dessin\\u00e9e', 'Maintenir', 'Entorse']","['Wall', 'Me', 'Stallion', 'Horse']","['Palettes', 'Oiseau', 'M\\u00e9canique', 'Piano', 'Soulever', 'Soulever']","['jack', 'horner', 'Bent', 'Sofa', 'Child', 'Punishment']"
Mystery Word,Hose,Peanut,Musique,Worm,Wool,Beam,Outlet,Heino,Rose,Sun,Jump,Seil,Sugar,Ice,Dwarf,Mouse,Ancre,Hotel,Miel,Detective,Guard,Opera,Ferme,Punch,Medal,Appetizer,\u00c9cole,Coin,Cup,Jungle,Frankreich,Concert,Sting,Rose,Couch,Heart,Wool,Bracelet,Plank,Bande,Stud,Grue,Corner
Guess,,Nut,Musique,Worm,wool,light,outlet,Heino,Rose,Sun,Jump,Seil,Sugar,Ice,Dwarf,Mouse,ancre,Hotel,Miel,,guard,Opera,Ferme,punch,medal,Appetizer,\u00c9cole,Coin,,Jungle,Frankreich,Music,Sting,Rose,Couch,Heart,Hood,Bracelet,Plank,Bande,Stud,Saispas,bean
