ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66
Table Number,485577781,484975019,485573351,485456904,485439810,485292173,485136354,485185231,484141066,485097561,484989975,484861209,484774766,484682575,484435490,484340535,483631023,484101197,483611237,483589402,483353040,482313791,482593659,482483363,482797082,482835771,482658995,482440414,482419952,481957729,481823302,480192475,480162112,480291024,480055062,479553934,479677325,478625404,478118502,475857014,474111019,473319518,473890082,470247957,468125819,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,451463411,443775902,426921218,420552674,346689693,341401520,314360735,313533300
Move,['5'],['8'],['6'],['9'],['5'],['15'],['9'],['7'],['9'],['18'],['18'],['13'],['11'],['96'],['55'],['48'],['42'],['30'],['57'],['47'],['17'],['10'],['21'],['55'],['40'],['71'],['39'],['64'],['91'],['122'],['56'],['100'],['13'],['61'],['57'],['78'],['81'],['61'],['84'],['10'],['38'],['36'],['9'],['472'],['73'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['40'],['1486'],['531'],['582'],['2730'],['2658'],['3047'],['3681']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,Deutsch,English,Français,Français,English,Français,English,English,English,English,Français,English,English,English,English,English,English,English,Français,English,Deutsch,Français,English,Français,English,English,English,English,English,Français,English,Français,English,English,Deutsch,Français,English,Français,English,English,English,Deutsch,English,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,English,Français,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Luv', 'Lee', 'Chicago', 'bl\\u00e4st']","['Shiny', 'ACDC', 'Copper', 'Heavy', 'Megadeth']","['Insecte', 'Puceron', 'Voiture', 'Animal', 'Choupette', 'Points']","['Enchant\\u00e9e', 'Champagne', 'Instrument', 'Bois', 'zut', 'Zut']","['Moth', 'Insect', 'Caterpillar', 'To']","['Ch\\u00eane', 'Feuillus', 'Feuilles', 'No\\u00ebl']","['business', 'Spades', 'Lawyer', 'Zoot', 'Tuxedo', 'Tuxedo']","['Dig', 'Lift', 'Hook', 'construction']","['Living', 'abode', 'Clay', 'home', 'home', 'Home']","['Newyork', 'Monument', 'Liberty', 'Sculpture', 'Nelson\\u2019s', 'Column']","['Onde', 'Fracture', 'Skyrock', 'Fr\\u00e9quence', 'Scanner', 'FM']","['Teller', 'Currency', 'Vault', 'Savings', 'Cash', 'Building']","['Nightmare', 'Nice', 'Fantasy', 'Hope']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Wedding', 'Ceremony', 'Nuptials', 'Relationship', 'Legal', 'partnership']","['Wading', 'Avian', 'Skull', 'Head']","['mafia', 'honcho', 'CEO', 'President', 'Undercover', 'Baby']","['Ketchup', 'Tuches', 'Allumettes', 'batonnets', 'Belgique', 'Belgique']","['Thunder', 'wind', 'Hannah', 'Mutant', 'attack', 'Hail']","['Lungenobstruktion', 'erstaunen', 'Erstickt', 'Helene', 'Taucher']","['D\\u00e9sert', '\\u00e9pines', 'Plante', 'plante']","[""St.Vincent's"", ""St.Mary's"", 'Surgery', 'Sickhouse']","['Guernica', 'Acrylique', 'Joconde', 'Aquarelle', 'Salissant', 'Picasso']","['torch', 'sun', 'Saber', 'Heavy']","['natural', 'saccharine', 'Cane', 'Crystals', 'Dessert', 'Ingredient']","['Halloween', 'Lollipop', ""See's"", 'Sweet', 'Unhealthy', 'Sugar']","['blower', 'wine', 'goblet', 'Clear', 'Mr.', 'Drinking']","['effigy', 'sculpture', 'Liberty', 'Stone', 'Bronze', 'Redeemer']","['Corse', 'Martinique', 'Jamaique', 'Anticosti', 'Ouessant', 'Ouessant']","['sniff', 'Bloodhound', 'mucus', 'sneeze', 'Nostrils', 'Bleed']","['Boisson', 'Tuc', 'chips', 'Cacahu\\u00e8te', 'Chips', 'Cacahu\\u00e8tes']","['Articles', 'Headlines', 'Print', 'Times', 'Constitution', 'Ajc']","['Leap', 'Bungee', 'Motion', 'Skip', 'Van', 'Halen']","['Herzsynonym', 'Wasserbewegungsger\\u00e4t', 'Verdichter', 'Druckerh\\u00f6her', 'Fahrradschlauchf\\u00fcllger\\u00e4t', 'Aquariun']","['Fruit', 'bleuet', 'geni\\u00e8vre', 'Anges', 'Casseau', 'Hudson']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Bulbe', 'Gousse', 'Idiot', 'contre', 'Vampire', 'vampire']","['Einstein', 'Savant', 'Cleverness', 'Smart', 'leonardo', 'Brilliant']","['Newton', 'lab', 'biology', 'biology']","['Church', 'Doom', 'Worship', 'Building']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['germinate', 'Brussel', 'Alfalfa', 'Growth', 'plant', 'Mandrake']","['Tropical', 'Guam', 'Tahiti', 'Atoll', 'Indonesia', 'Mackinac']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['Amazonie', 'Bor\\u00e9ale', 'sologne', 'broceliande']","['Clinton', 'Electric', 'Check', 'Invoice']","['dumbo', 'Horton', 'big', 'paquiderm', 'Tusks', 'Trunk']","['priorit\\u00e9', 'moindre', 'rumble', 'sombrefer']","['Camera', 'Sirens', 'Blinker', 'Ahhha', 'Gordon', 'Gordon']","['Cancer', 'Stick', 'Tobacco', 'smoking', 'Lighter', 'lighter']","['riskit', 'Cookie', 'British', 'hobnobs', 'Gravy', 'Gravy']"
Mystery Word,Wind,Metal,Coccinelle,Fl\u00fbte,Butterfly,Arbre,Suit,Crane,House,Statue,Radio,Bank,Dream,Quarter,Root,Marriage,Crane,Boss,Frites,Storm,Atemlos,Cactus,Hospital,Peinture,Light,Sugar,Candy,Glass,Statue,\u00cele,Nose,Ap\u00e9ritif,Newspaper,Jump,Pumpe,Baie,Guard,Ail,Genius,Science,Temple,Puder,Dress,Sprout,Island,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Ninja,For\u00eat,Bill,Elephant,Mineur,Flash,Cigarette,Biscuit
Guess,Wind,Metal,Coccinelle,Fl\u00fbte,pupa,Arbre,Suit,Crane,,statue,Radio,Bank,Dream,mix,,Marriage,,Boss,Frite,Hurricane,Atemlos,Cactus,Hospital,Peinture,light,Sugar,Candy,glass,Statue,\u00cele,Nose,Ap\u00e9ritif,Newspaper,jump,Pumpe,Baie,guard,Ail,genious,Science,Cathedral,Russ,,Seed,island,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,,For\u00eat,,elephant,Mineur,Flash,Cigarette,biscuit
