ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54
Table Number,505770708,505196983,505424012,505203278,505130723,504797672,504756449,504360384,504462819,504342991,504147099,503906863,503612876,503532639,503780993,503636736,503753424,503702311,503394382,503566752,503624301,503562666,503273217,502761686,503149424,503048479,502946233,502153915,502269196,502198421,501891319,502033632,501958265,501902196,500627375,499939612,499470441,498938279,497098868,496076742,495675336,493769667,493675456,491305856,490280100,488975321,488379380,484123113,484682575,479232973,431028877,387173467,341401520,338553253
Move,['12'],['25'],['11'],['9'],['18'],['24'],['12'],['25'],['58'],['43'],['43'],['27'],['43'],['42'],['42'],['30'],['25'],['65'],['23'],['47'],['114'],['49'],['5'],['20'],['67'],['56'],['43'],['41'],['109'],['52'],['51'],['41'],['71'],['37'],['101'],['36'],['102'],['532'],['79'],['20'],['73'],['57'],['7'],['39'],['37'],['47'],['79'],['301'],['98'],['2738'],['1008'],['1597'],['3125'],['1880']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+
Language,Deutsch,English,Français,English,English,Deutsch,English,Deutsch,English,English,English,English,English,English,Français,English,Français,Deutsch,Français,Français,English,Français,Français,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,Français,English,Français,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Wohn..', 'Einfamilien', 'Mehrfamilien', 'Geschosse', 'Geb\\u00e4ude', 'Geb\\u00e4ude']","['bomb', 'bird', 'Soaking', 'Wash', 'Bubble']","['poule', 'vipere', 'Isatis', 'Rox']","['tall', 'Whooping', 'Liebherr', 'bird', 'Origami', 'Origami']","['Icing', 'Sweet', 'Eccles', 'Hummingbird', 'Gateau', 'Gateau']","['Dunkel', 'Handymarke', 'Blauschwarz', 'dunkelblau', 'dunkelblau']","['sugar', 'Sticky', 'liquid', 'Thick', 'thick', 'liquid']","['Irisch', 'Symbol', 'vierbl\\u00e4ttrig', 'Pflanze', 'Gl\\u00fccksbringer', 'Gl\\u00fcck']","['bubba', 'rebosado', 'crustacean', 'Hungry']","['Elsa', 'cones', 'Powder', 'winter']","['Boat', 'Hoist', 'The', 'Fishandboat', 'Wind', 'Wind']","['Spaceman', 'Spacesuit', 'Moon', 'Aldrin', 'Shuttle', 'Armstrong']","['fungi', 'Shuffle', 'edible', 'spores', 'Lindt', 'Godiva']","['Snoring', 'Futon', 'Sleep', 'night']","['Sel', 'P\\u00e2te', 'Poudre', 'Pain']","['Isolated', 'Cave', 'Crab', 'Loner']","['Petanque', 'Parfait', 'nappe', 'chemise', 'Fl\\u00e8che', 'Arbal\\u00e8te']","['Wetter', 'Gold', 'Schirm', 'Schirm']","['Dur', 'pr\\u00e9nom', 'Roche', 'roche']","['Faucille', 'Outils', 'Clou', 'Fou', 'enclume', 'enclume']","['Hat', 'Charro', 'Mariachi', 'Wide', 'Massive', 'Headwear']","['Beau', 'Bijoux', 'Pierre', 'Pierre']","['Speed', 'Tropical', 'tarzan', 'mowgli']","['Semmeln', 'Oktober', 'Torte', 'J\\u00e4hrlich', 'Alter', 'Ehrentag']","['Dell', 'IBM', 'CPU', 'device', 'Keyboard', 'PC']","['Heaven', 'Island', 'Drinks', 'Lost', 'angeld', 'Resort']","['bUNNY', 'vEG', 'Orange', 'Vegetable', 'Orange', 'Vegetable']","['Dust', 'Liquid', 'Tinkerbell', 'Tinkabelle', 'Tinkerbell']","['Bubba', 'remoulade', 'deveined', 'diminutive', 'prawn', 'prawn']","['crown', 'gem', 'ruby', 'emerald', 'Necklace', 'Gold']","['Vietnam', 'Fighting', 'and', 'Peace', 'Between', 'Nations']","['Bum', 'Juicy', 'Georgia', 'giant', 'fuzz']","['\\u30db\\u30c3\\u30c8\\u30e8\\u30ac', '\\u30c7\\u30a4\\u30b5\\u30a4\\u30c8', '\\u304b\\u3056\\u3093', '\\u3082\\u3048\\u308b\\u30c9\\u30ed', '\\u3075\\u3093\\u304b', '\\u3075\\u3093\\u304b']","['Traditional', 'Super', 'Black', 'Fresh']","['Figaro', 'certificate', 'Post-wedding', 'Unity', 'vows', 'Matrimony']","['shimmy', 'tap', 'Waltz', 'ballet']","['Seedling', 'Grow', 'Professor', 'baby', 'germination', 'Bean']","['mythical', 'seacreature', 'Arial', 'Sebastian', 'Starbucks', 'Logo']","['drawl', 'speaking', 'Emphasis', 'cockney', 'Dialect', 'Dialect']","['Queen', 'Race', 'Gravel', 'Spinning', 'Transport', 'Wheel']","['Pinocchio', ""Putin's"", 'doll', 'minion', 'pushover', 'pawn']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['Thermostat', 'Enforcement', 'Sun', 'Wave']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['Eevee', 'Chokchip', 'Forster', 'Spotting']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['devein', 'bubba', 'scampi', 'crawfish', 'Crustacean', 'Sea']","['pizza', 'half', '15', '15minutes']","['Identical', 'Fraternal', 'womb', 'double']","['age', 'Freezer', 'frozen', 'Cubes', 'Frozen', 'Cube']","['F1', 'Timed', 'Hurdles', 'LiegeBastogneLiege', 'Soapbox', '100m']","['Ant', 'Chicken', 'Eggs', 'Season', 'Bird', 'Bird']","['egg', 'Cardboard', 'milk', 'Container', 'Container']"
Mystery Word,Haus,Bath,Renard,Crane,Cake,Brombeere,Syrup,Kleeblatt,Shrimp,Snow,Sail,Astronaut,Truffle,Bed,Farine,Hermit,Carreau,Regen,Pierre,Marteau,Sombrero,Diamant,Jungle,Geburtstag,Computer,Paradise,Carrot,Fairy,Shrimp,Jewel,War,Peach,Lava,Market,Marriage,Dance,Sprout,Mermaid,Accent,Bicycle,Puppet,Spider,Heat,Baleine,Valise,Rabbit,Poup\u00e9e,Shrimp,Quarter,Twins,Ice,Race,Nest,Carton
Guess,Haus,Bath,Animal,Stork,Nectar,Samsung,Candy,Klee,Shrimp,snow,Yaht,Astronaut,Truffles,Bed,farine,hermit,Carreau,Kaiser,Pierre,Marteau,sombrero,,Jungle,Geburtstag,Computer,Vacation,Carrot,Fairy,shrimp,Jewel,War,Peach,,Authentic,Marriage,dance,Sprout,Mermaid,Accent,Bicycle,Puppet,Spider,,Baleine,valise,bite,Poup\u00e9e,shrimp,,Twin,ice,Race,Spring,Carton
