ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75
Table Number,492213614,492208235,492021018,491706632,491705934,491604854,491525219,491506692,491209348,491305856,491136219,490826760,490911758,490750625,490280100,490654063,490546152,490356586,490334328,490252001,490171816,489499928,489431284,489221823,489167856,489024456,488805223,488876913,488873495,488624573,488569471,487861448,487297911,487645326,485885498,485705886,485530531,485628314,485536550,485387226,484606827,484123113,484400810,484682575,484435490,484426235,484351909,484267829,482313791,480162112,480638723,479677325,478910455,478658601,475857014,473319518,471793759,465912719,466086694,466081205,466083684,466084384,465731184,465664137,465664095,465664206,465664286,465668656,465435499,445297184,444471586,381826421,348838927,336562502,319065151
Move,['19'],['52'],['12'],['9'],['10'],['19'],['30'],['24'],['5'],['9'],['19'],['45'],['37'],['27'],['36'],['44'],['37'],['68'],['85'],['78'],['40'],['42'],['25'],['13'],['65'],['25'],['75'],['91'],['63'],['57'],['55'],['32'],['72'],['62'],['91'],['61'],['72'],['120'],['111'],['120'],['26'],['78'],['12'],['96'],['55'],['100'],['97'],['105'],['45'],['19'],['16'],['82'],['110'],['63'],['10'],['36'],['74'],['51'],['42'],['48'],['49'],['46'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['47'],['57'],['775'],['1571'],['1666'],['404']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode
Speed,Real-time • Normal speed (+,Real-time • Normal speed (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,Français,English,Français,Français,English,Français,English,English,Français,Français,English,Français,Français,Français,English,English,English,Deutsch,English,Français,English,English,Français,English,English,English,English,English,English,English,English,English,Deutsch,English,English,Deutsch,Français,English,Français,Deutsch,English,Deutsch,English,English,Français,Français,English,Français,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Deutsch,English,English,Français,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite
Clues,"['dragon', '-oh-my-oh-my', 'Appleton', 'Flapple', 'Cream', 'Meat-']","['Youpi', 'Ruban', 'gros', 'caca', 'Pr\\u00e9sent', 'Paquet']","['Valuable', 'gold', 'Pirates', 'Bury', 'Hunt', 'hunt']","['Bonheur', 'irlande', 'Luzerne', 'Chance', 'leprechaun', 'Feuilles']","['Tajine', 'Maroc', 'Semoule', 'Semoule']","['deterioate', 'Dale', 'chocolate', 'Gamble', 'Fish', 'brets']","['39', 'Malade', 'Sympt\\u00f4me', 'Front']","['Pneumatic', 'Passageway', 'NYC', 'underground', 'pipe', 'vein']","['King', 'Dynasty', 'Roman', 'Mayan']","['Chemin', 'INRI', 'X', 'Multiplication', 'Clous', 'rouge']","['Rouge', 'Bigarreau', 'Groupama', 'Clafoutis', 'Marasquin', 'noyau']","['\\u306e\\u305e\\u304d', '\\u30b5\\u30fc\\u30ad\\u30c3\\u30c8', '\\u30d6\\u30e9\\u30c3\\u30c9', '\\u308a\\u304f\\u3058\\u3087\\u3046\\u304d\\u3087\\u3046\\u304e', '\\u30dc\\u30a6\\u30ea\\u30f3\\u30b0', '\\u3051\\u3064']","['Papier', 'Morve', 'Nez', 'Larmes', 'Rhume', 'Tissu']","['Scie', 'fendre', 'Tranche', 'I', 'Bucheron', 'bucheron']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['Evan', 'Flopster', 'Torah', 'punishment', 'archaic', 'weight']","['cross', 'structure', 'Brooklyn', 'Steel', 'Baltimore', 'Baltimore']","['Jayne', 'prohibited', 'TequilaSunrise', 'ingredient', 'remove', 'pin']","['S\\u00fcden', 'Pinguine', 'S\\u00fcdpol', 'Eisig', 'Kontinent', 'Kontinent']","['Stalactites', 'Hobbits', 'Cave', 'Cave']","['Naissance', 'b\\u00e9b\\u00e9', 'epidural', 'Embryon', 'Gestation']","['Stump', 'Ships', 'Bellybutton', 'Umbilical', 'Umbilical', 'Umbilical']","['layers', 'pungent', 'allium', 'green']","['d\\u00e9m\\u00e9nagement', 'Carton', 'Carton', 'D\\u00e9m\\u00e9nagement']","['Humps', 'aladdin', 'Sahara', 'Race', 'Desert']","['Tepee', 'Tipi', 'overnight', 'woods', 'Camping', 'Camping']","['Card', 'Rhein', 'joaquin', 'Nile', 'nile']","['Margherita', 'Circle', 'pepperoni', 'Hawaiian', 'parlor']","['Bright', 'Glow', 'illuminating', 'Particle', 'wavelength', 'Wave']","['circulates', 'hemoglobin', 'Ann', 'Wilson', 'Love', 'Break']","['Scalped', 'Raffle', 'Keno', 'parking', 'Pass', 'Paper']","['Religious', 'Francis', 'rope', 'soap', 'catholic', 'Benedict']","['Negroni', 'Dress', 'Molotov', 'Mixer', 'Screwdriver']","['Schmetterling', 'H\\u00fclle', 'Puppennest', 'Raupe', 'Metamorphose', 'Geh\\u00e4use']","['Bead', 'Tennis', 'charm', 'Wrist', 'hand']","['pipe', 'Tunnel', 'Hamster', 'Fry', 'straw', 'Straw']","['Reaktor', 'Grafenrheinfeld', 'Fukushima', 'Nukleonen', 'Werk']","['Tr\\u00e8ve', 's\\u00e9r\\u00e9nit\\u00e9', 'S\\u00e9curit\\u00e9', 'colombe', 'R\\u00e9conciliation', 'Alliance']","['Limelights', 'Stage', 'Rehearsal', 'viewing', 'Cinema', 'Performance']","['Oscar', 'L\\u00e9on', 'Pellicule', 'Cin\\u00e9ma', 'pellicule', 'Cin\\u00e9ma']","['Seide', 'Verwandlung', 'Schmetterling', 'Schmetterling']","['digger', 'spade', 'unearth', 'dig', 'tool', 'tool']","['Gottschalk', 'Dass', 'Vorhersage', 'Einsatz', 'Wahrscheinlichkeiten']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Monopoly', 'Kyriad', 'Lits', 'Chambre', 'Nuit\\u00e9e', 'Nuit\\u00e9es']","['Cuv\\u00e9e', 'sabrer', 'Ardennes', 'Ardennes', 'Sabrage']","['Hasbro', 'Scalpel', 'Overlord', 'Mission', 'Surgery', 'Surgery']","['bouche', 'puanteur', 'Fra\\u00eeche', 'R\\u00e9veil']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['blue', 'passcode', 'Hart', 'Smith']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['dry', 'Mario', 'homone', 'marrow', 'tibia', 'fibula']","['Haystack', 'Pins', 'thread', 'Thread', 'vaccine', 'Vaccine']","['Newton', 'lab', 'biology', 'biology']","['staubig', 'Pulver']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['Poker', 'Greeting', 'Hoyle', 'joker']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['spicy', 'l\\u00e4nglich', 'rot', 'rot']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['sneezing', ""Johnson's"", 'baby', 'Washing']","['physique', 'Naturelle', 'Biologie', 'Occulte', 'Infuse', 'Pas']","['Total', 'ordinateur', 'Cathodique', 'Verre', 'TV', 'tv']","['...tail', 'dwarf', 'my', 'little']"
Mystery Word,Pie,Cadeau,Treasure,Tr\u00e8fle,Couscous,Chip,Fi\u00e8vre,Tube,Emperor,Croix,Cerise,Pit,Mouchoir,Hache,Valise,Stone,Bridge,Grenade,Antarktis,Grotto,Enceinte,Navel,Onion,Bo\u00eete,Camel,Tent,River,Pizza,Light,Heart,Ticket,Pope,Cocktail,Kokon,Bracelet,Tube,Kernkraft,Paix,Theater,Film,Kokon,Shovel,Wette,Quarter,Root,H\u00f4tel,Champagne,Operation,Haleine,Fire,Lock,Guard,Bone,Needle,Science,Puder,Cage,Card,Club,Coin,Bar,Stone,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Chili,Vegetable,Powder,Science,\u00c9cran,Pony
Guess,tower,Cadeau,Treasure,Trefle,Couscous,Chip,Fievre,Tube,Empire,Croix,Cerise,hole,Mouchoirs,,valise,Stone,bridge,grenade,,cave,accouchement,Naval,Onion,Carton,Camel,camping,House,pizza,Light,blood,Ticket,pope,cocktail,Kokon,Bracelet,Conduit,Atom,paix,Theater,Film,Konkon,Shovel,Wette,mix,,h\u00f4tel,vin,,Haleine,iron,lock,guard,bone,needle,Science,Russ,cage,CARD,Club,Coin,Bar,Stone,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chilli,Vegetable,powder,Science,Ecran,Pony
