ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43
Table Number,456389692,455970678,455847032,455816815,455512036,455330446,455275490,455082060,455045761,455017730,454944699,454698112,454581307,454507210,454282759,454190406,454126781,453839362,453786489,453630167,453157825,453080240,452098399,451359006,449939587,448950925,448202573,447297035,446585119,446514318,445628197,443958521,442941057,441488112,441032575,431028987,422619886,405054016,381826421,358827793,331907183,314877288,314360735
Move,['12'],['11'],['29'],['24'],['41'],['19'],['27'],['21'],['16'],['32'],['46'],['76'],['18'],['16'],['37'],['18'],['108'],['69'],['75'],['11'],['24'],['98'],['82'],['41'],['76'],['127'],['40'],['61'],['57'],['20'],['26'],['75'],['67'],['102'],['16'],['378'],['356'],['1042'],['573'],['1598'],['875'],['3314'],['2767']
Mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,English,Deutsch,Deutsch,Français,Français,English,English,English,English,Deutsch,English,Deutsch,Deutsch,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,Français,English,Deutsch,Deutsch,Deutsch,English,English,English,English,English,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Spam', 'Relaxing', 'Catch', 'Release', 'Gone', 'Gone']","['Schnalle', 'Armadillo', 'Hose', 'Befestigung']","['t\\u00fcr\\u00f6ffner', 'Todes', 'packen', 'W\\u00fcrge']","['Repas', 'v\\u00e9g\\u00e9tarien', 'd\\u00e9roulant', 'dessert', 'chetif']","['Fleur', 'Peinture', 'Pipas', 'Graines', 'graine', 'Pipas']","['Creased', 'beach', 'Oil', 'Nutella', 'Trees', 'Tree']","['profession', 'Spacefarer', 'Iss', 'Buzz', 'Gagarin', 'gagarin']","['tiny', 'stallion', 'Mule', 'Mare']","['precipitation', 'Dance', 'Downpour', 'Singing', 'Umbrella']","['Standesamt', 'Gravur', 'juwelier', 'Symbol']","['charleston', 'twist', 'Mambo', 'Tap']","['Hellenen', 'Staat', 'Europameister', '2004', 'Kykladen', 'Thessaloniki']","['King', 'Adlige', 'Elisabeth', 'Corgis', 'Bohemian', 'Freddy']","['FRUIT', 'Groente', 'Rood', 'Rood']","['Yiruma', 'Steinway', 'Elfenbein', 'Instrument', 'Fl\\u00fcgel', 'Fl\\u00fcgel']","['Mirage', 'Refuge', 'Guigsy', 'Britpop', 'Wonderwall', 'Wonderwall']","['Whitaker', 'enchanted', 'Copse', 'Tarzan', 'Gump', 'Gump']","['Glass', 'pane', 'Pane']","['Processing', 'mainboard', 'Microprocessor', 'Windows', 'Monitor', 'Personal']","['Panes', 'Translucent', 'glass', 'view']","['Gunpowder', 'Nick', 'Warship', 'Stationary', 'Artillery', 'Artillery']","['Fleur', 'Tintin', 'Jaune', 'Soleil', 'Graine', 'Graine']","['Crossroads', 'Pitchfork', 'Lucifer', 'Tasmanian', 'Tasmanian']","['Animal', 'Slaughterer', 'Cutter', 'Cutter']","['Armstrong', 'Space', 'Sally', 'Ride', 'moon', 'galaxy']","['past', 'Tense', 'Gift', 'Attending', 'here', 'current']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Centimes', 'Salle', 'Monnaie', 'Appartement']","['guacamole', 'Hat', 'Mexican', 'Mexican', 'hat', 'hat']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Zigaretten', 'Rauchen', 'Pflanze', 'nikotin', 'Nikotinhaltig', 'pflanzlich']","['br\\u00fcten', 'Kuckuck', 'Vogel', 'Eier', 'Vogel', 'Eier']","['Respect', 'tie', 'tie', 'NA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Nursing', 'educational', 'Uniform', 'Teacher']","['Place', 'Site', 'Card', 'Cineplex']","['Mountain', 'Train', 'dig', 'connect']","['Freaky', 'fifth', 'fish', 'TGI']","['Sans', 'main', 'Mascotte', 'Linux']","['Aria', 'Sydney', 'Carmen', 'Phantom', 'Phantom', 'Phantom']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']","['Rotation', 'Generator', 'clean', 'electricity', 'Wind', 'Windmill']"
Mystery Word,Fishing,G\u00fcrtel,Griff,Menu,Tournesol,Palm,Astronaut,Pony,Rain,Ehering,Dance,Griechenland,Queen,Tomato,Klavier,Oasis,Forest,Window,Computer,Window,Cannon,Tournesol,Devil,Butcher,Astronaut,Present,Grape,Pi\u00e8ce,Sombrero,Meerjungfrau,Tabak,Nest,Bow,Anchor,Scale,School,Scene,Tunnel,Friday,Manchot,Opera,Circle,Turbine
Guess,Fishing,G\u00fcrtel,Griff,Menu,Ninfea,,Astronaut,Pony,rain,Ring,Dance,Griechenland,Queen,Tomato,Fl\u00fcgel,oasis,Forest,,computer,Window,Cannon,Tournesol,,Butcher,Astronaut,present,,pi\u00e8ce,Vegetable,Meerjungfrau,Tabak,,artist,,,Educator,Scene,Tunnel,friday,Manchot,Opera,Circle,Windmill
