ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83,Scrapnumber84,Scrapnumber85,Scrapnumber86,Scrapnumber87,Scrapnumber88,Scrapnumber89
Table Number,498361122,498123851,498012057,497830850,497680789,497721422,497656196,497475123,497554315,497407451,497336647,497257045,496884758,497121688,497098868,496881858,496938426,496849841,496787979,496532374,496682579,496418420,496258198,496122321,495942525,496017157,495885528,495785333,495708536,495847278,495617876,495605195,495407558,495552382,495349332,495125062,494660541,495050738,494889589,494801385,494412075,494674952,494260387,493675456,493151089,493334781,493141378,493159831,491906665,492142675,491749709,491092635,491657169,491305856,490280100,489547867,488975321,488379380,485539344,484682575,484435490,484206945,482734999,479677325,471793759,465912719,465730124,465730355,465730615,465732005,465733714,465664095,465664286,465669875,465665695,465435499,464921867,444471586,431028987,405054016,387173467,381826421,374138794,348838927,343894377,338553253,322726720,319065151,314360735
Move,['22'],['16'],['68'],['21'],['11'],['21'],['14'],['18'],['18'],['9'],['15'],['18'],['30'],['32'],['9'],['31'],['18'],['36'],['83'],['67'],['72'],['18'],['83'],['54'],['18'],['11'],['38'],['64'],['49'],['48'],['71'],['21'],['103'],['38'],['43'],['101'],['91'],['44'],['56'],['42'],['48'],['71'],['54'],['7'],['78'],['86'],['103'],['26'],['49'],['83'],['81'],['37'],['79'],['39'],['37'],['33'],['37'],['37'],['65'],['98'],['55'],['96'],['43'],['82'],['74'],['72'],['48'],['43'],['43'],['43'],['48'],['44'],['43'],['42'],['43'],['366'],['51'],['57'],['939'],['1862'],['1473'],['812'],['1466'],['1638'],['2577'],['1831'],['1214'],['420'],['3172']
Mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 4 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,Deutsch,English,English,English,English,English,English,Français,English,Deutsch,Français,English,Deutsch,Français,English,English,Français,English,English,English,English,Français,Français,English,Deutsch,English,English,English,English,Deutsch,English,English,English,Deutsch,English,English,Français,English,English,English,English,Deutsch,English,English,Deutsch,English,Français,Français,Deutsch,English,Français,Français,Deutsch,English,Français,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,Français,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['\\u304f\\u305b', '\\u3082\\u3053\\u3082\\u3053', '\\u3081\\u30fc', '\\u306d\\u3080\\u308c\\u306a\\u3044', '\\u306b\\u304f', '\\u30b8\\u30f3\\u30ae\\u30b9\\u30ab\\u30f3']","['Industrial', 'Viva', 'Change', 'Rotation', 'Rotation']","[""you're"", 'dead', 'blast', 'bomb', 'gong', 'noise']","['Asterix', 'Jagdsignal', 'Musikfolge', 'Amicelli']","['Block', 'Deflector', 'Protect', 'Protect']","['Automation', 'Wall-E', 'Electromechanics', 'Vacuum']","['Suggestion', 'Service', 'extremity', 'Point']","['Precipitation', 'mobile', 'flake', 'Melts', 'Frosty', 'Plough']","['hunt', 'trove', 'shrunken', 'Island', 'booty', 'Booty']","['downpour', 'Acid', 'Weather', 'precipitation', 'Gauge', 'Purple']","['p\\u00e9ron\\u00e9', 'moelle', 'Squelette', 'Cubitus']","['360', 'Rotation', 'Dance', 'game', 'Prince', 'Band']","['schwarzes', 'tiefes', '\\u00d6ffnung', 'Undichtigkeit', 'Schottland', 'K\\u00e4se']","['Du', 'Pelouse', 'Cultiver', 'Terre']","['hobby', 'Rollerball', 'Ollie', 'Figure', 'Rollerblading', 'Rollerblade']","['Luftballons', 'S\\u00e4ngerin', 'Leuchtturm', 'Irgendwann', 'Ndw', 'Achselhaare']","['Voyage', 'repos', 'D\\u00e9part', 'Ao\\u00fbt', 'Cong\\u00e9s', 'cong\\u00e9s']","['\\u30b9\\u30da\\u30fc\\u30b9', '\\u3042\\u305b', '\\u30df\\u30b9\\u30c8', '\\u3042\\u3073\\u308b', '\\u30e9\\u30a4\\u30b9', '\\u3089\\u3044\\u3059']","['stratosphere', 'Clouds', 'TEAM', 'Blue', 'Team', 'blue']","['perc\\u00e9', 'Champignon', '\\u00c9picerie', 'Basket', 'Osier', 'Osier']","['cigarette', 'Cough', 'Wispy', 'Toke']","['Magic', 'Shot', 'Mischief', 'Treat', 'Treat', 'Treat']","['Ice', 'volume', 'Square', 'Sugar', 'Squared', 'dimensions']","['Construction', 'draw', 'Span', 'Millennium', 'Baltimore', 'Suspension']","['Poudre', 'Origan', 'Safran', 'Curi', 'Assaisonnement', 'Recette']","['Cracheur', 'Komodo', 'Feu', 'Feu']","['sakura', 'Wood', 'Maraschino', 'Doorcounty', 'Blossom', 'Tomato']","['Gravur', 'Treuesymbol', 'Fangeisen', 'Gold', 'Trauschmuck', 'Hochzeitsschmuck']","['tuning', 'Metal', 'pitch', 'pickle', 'Tines', 'tines']","['Doctor', 'Braces', 'Drill', 'Enamel', 'Teeth', 'Tooth']","['Vixen', 'Hounds', 'fantastic', 'animal']","['Dates', 'Annual', 'Events', 'planner']","['PennyLane', 'musik', 'Submarine', 'Pilzk\\u00f6pfe', 'Liverpool', 'Liverpool']","['great', 'thinker', 'Kilmer', 'Real', 'smartest', '184']","['Glass', 'Toe', 'Hint', 'Money']","['whole', 'Sand', 'Ancient', 'Salt', 'Oats', 'Wheat']","['Musik', 'Gesang', 'Grammy-Gewinnerin', 'Abgenommen', 'Neuhauser', 'S\\u00e4ngerin']","['Kielbasa', 'Patty', 'Hotdog', 'Frankfurter']","['Mildew', 'Spor', 'toxic', 'penicillin', 'Penicillin']","['inspecteur', 'Columbo', 'monk', 'colombo', 'Enqueteurs', 'Priv\\u00e9']","['ankerias', 'Pikatchu', 'Wire', 'Tesla', 'Current', 'Virta']","['Vermin', 'Earwig', 'pest', 'insect', 'pest', 'insect']","['Tree', 'Ravenclaw', 'Building', 'Mansion', 'abode', 'Abode']","['Thermostat', 'Enforcement', 'Sun', 'Wave']","['Peace', 'Taube', 'Westf\\u00e4lischer', 'ruhe', 'Bischen', 'bisschen']","['Knot', 'Windsor', 'shoelaces', 'Shoelaces']","['red', 'Greetings', 'Yu-Gi-Oh', 'Tarot', 'Hallmark', 'Identification']","['Ironman', 'Schwimmen', 'Ausdauersport', 'Mehrkampf']","['frequency', 'Transmitter', 'Rentals', 'transistor', 'Wireless']","['Superpos\\u00e9s', 'Oreiller', 'Baldaquin', 'punaise']","['Ariane', '\\u00c9lectrique', 'bobine', 'p\\u00eache', 'Dentaire', 'fer']","['Kaulitzband', 'Japanstadt', 'Ghoul', 'Monsterarena']","['Fruit', 'Head', 'Juicy', 'Boobie']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['...Ganele', 'Frau', '23', 'Grammy', 'Sengerin', 'S\\u00e4ngerin']","['stinky', 'casserole', 'Sushi', 'Avodcado']","['vitr\\u00e9e', 'genevrier', 'Canneberge', 'Myrtille', 'myrtille']","['salt', 'habanero', 'condiment', 'spicy']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['vampire', 'Cooking', 'Italian', 'Bread', 'breath', 'Breath']","['Gleit', 'Styling', 'Haarschmiere', 'Haar-', 'Festigend']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['cap', 'water', 'Bath', 'Rainfall']","['Bird', 'KungFu', 'karate', 'kick']","['Titanic', 'ship', 'Killer', 'killer']","['Furry', 'bear', 'Two-toned', 'two-tone']","['Cashew', 'Brazil', 'squirrel', 'treat']","['Crimson', 'and', 'lucky', 'irish']","['Mean', 'Girls', 'kardashian', 'face']","['Dish', 'Liquid', 'sudsy', 'clean']","['Miniature', 'Prep', 'my', 'job']","['Great', 'desire', 'fruit', 'love']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['Engagement', 'gold', 'circus', 'perimeter']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Wind', 'Spins', 'Twister', 'squall']","['Pie', 'Juice', 'Jack', 'Newton']","['Tool', 'Murderer', 'War', 'Lumberjack', 'deodorant', 'Deodorant']","['Street', 'Matt', 'Ted', 'Dozen']","['chop', 'head', 'French', 'blade']","['Candia', 'R\\u00e9gi', 'Mammif\\u00e8re', 'Chocolat\\u00e9', 'Moche', 'Moche']","['Bloodsucker', 'Pest', 'Winnipeg', 'Bug']","['Timepiece', 'hour', 'Grandfather', 'Ben', 'Cuckoo']","['Full', 'Square', 'Door', 'Terraced', 'Home', 'Home']","['3D', 'square', 'rubik', '^3']","['Ice', 'Double', 'Whipped', 'Clotted', 'cookies', 'and']"
Mystery Word,Ram,Revolution,Bang,Fanfare,Shield,Robot,Tip,Snow,Treasure,Rain,Os,Revolution,Loch,Jardin,Skate,Nena,Vacances,Shower,Sky,Panier,Smoke,Trick,Cube,Bridge,\u00c9pice,Dragon,Cherry,Ehering,Fork,Dentist,Fox,Calendar,Beatles,Genius,Tip,Grain,Adele,Sausage,Mold,D\u00e9tective,Electricity,Cockroach,House,Heat,Frieden,Tie,Card,Triathlon,Radio,Lit,Fil,Tokio,Melon,Baleine,Valise,Adele,Tuna,Baie,Pepper,Quarter,Root,Garlic,Gel,Guard,Cage,Shower,Crane,Iceberg,Panda,Nut,Clover,Plastic,Soap,Painting,Passion,Poker,Ring,Vegetable,Tornado,Apple,Axe,Baker,Guillotine,Lait,Mosquito,Clock,House,Cube,Cream
Guess,sheep,Revolution,Bang,Halali,Defense,Robot,Terminal,snow,Treasure,rain,Os,revolution,Loch,Jardin,Skating,Nena,Vacances,shower,Sky,Panier,Smoke,Make,Cube,,Epice,Dragon,Cherry,Ring,fork,Dentist,Fox,Calendar,Beatles,Genius,Pochacco,grains,Adele,sausage,Mushroom,Sherlock,electricity,pest,Hogwarts,,Friede,Tie,card,Triathlon,Radio,Lit,Fil,Tokyo,orange,Baleine,valise,,Tuna,baie,sals,,,Garlic,Gel,guard,cage,Shower,Crane,Lifeboat,Grizzly,Nut,Clover,Cosmetics,Soap,Paint,Passion,Poker,Ring,Vegetable,Tornado,Apple,Axe,baker,guillotene,Lait,Mosquito,Clock,House,Cube,Cream
