ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62
Table Number,589860166,589780936,589428992,588707006,588906643,588375346,588839701,588710658,588695458,588625629,588221866,588131818,587950079,587696047,587756766,587836058,587252086,586568900,586800594,586887870,586733841,586734359,586665390,586254172,586331830,586099444,585996255,585819367,585819657,585808972,585650761,585390273,585558542,584834352,585177550,584874230,584539660,584077115,582772237,582368626,581767722,581560970,579787056,577852826,576920182,577180892,576873341,576762350,576413622,576073245,571815545,571195661,570734438,567406997,555552287,543879156,517095134,508130373,466081205,464921867,417255169,317609821
Move,['12'],['47'],['11'],['8'],['18'],['12'],['9'],['36'],['27'],['28'],['28'],['16'],['42'],['59'],['26'],['47'],['55'],['105'],['22'],['59'],['38'],['76'],['49'],['54'],['18'],['55'],['70'],['10'],['10'],['84'],['102'],['49'],['51'],['61'],['73'],['50'],['55'],['108'],['73'],['51'],['9'],['50'],['69'],['50'],['10'],['91'],['48'],['26'],['19'],['111'],['89'],['37'],['38'],['372'],['192'],['267'],['876'],['2199'],['786'],['788'],['3159'],['2531']
Mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,Deutsch,Français,Français,English,English,English,English,English,English,English,English,English,English,Français,Français,English,English,English,English,English,English,English,Français,English,Français,English,Français,English,English,English,Français,English,English,English,English,English,Français,English,English,English,English,English,Deutsch,Français,English,Français,English,English,Deutsch,English,English,Deutsch,English,Français,English,Français,Français,English,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Hundesteuermarke', 'Kartoffelprodukt', 'Kessel', 'Fernsehsnack', 'Datenspeicher', 'Knabberzeug']","['Magasin', 'Cher', 'Citi', 'Rompoyn']","['paille', 'froot', 'Fruit', 'Rouge']","['Divergence', 'Tine', 'Spoon', 'Dinglehopper', 'Dinglehopper']","['Krueger', 'Unreality', 'Sleep', 'Lucid', 'Freddy', 'Freddy']","['mosh', 'underarm', 'fire', 'despair', 'LaBrea', 'Chasm']","['sorting', 'Rabbit', 'Fez', 'beret', 'Bowler', 'Bowler']","['ankles', 'Punch', 'Stockings', 'Feet']","['Fist', 'Judy', 'Sucker', 'Boxer', 'Bowl', 'Tropical']","['K2', 'Hiking', 'Climb', 'Mckinley', 'goat', 'Kilimangaro']","['cent', 'Dime', 'Yen', 'Token', 'toss', 'Silver']","['Engelberg', 'passage', 'Gotthard', 'underground', 'Moles']","['laughter', 'Dunham', 'slapstick', 'sense', 'comedy', 'Comedy']","['Predateur', 'Animaux', 'Braconnier', 'Braconnier']","['\\u00c9lectronique', 'Poignet', 'Gourmette', 'Br\\u00e9silien']","['Rumble', 'storm', 'Thor', 'OKC', 'Sound', 'zeus']","['Talc', 'Puff', 'Baking', 'cosmetics', 'baby', 'Hkbf']","['Buddha', 'Building', 'Altar', 'Shrine', 'monastery', 'church']","['Holy', 'dairy', 'Milk', 'milk']","['Indiana', 'X', 'Pirate', 'Island', 'Island']","['Sick', 'ICU', 'Medical', 'Emergency', 'HIPPA', 'Surgeries']","['rechargeable', 'AAA', 'Lithium', 'Storage', 'Included', 'Hen']","['Lumi\\u00e8re', 'Alexandrie']","['Ray-ban', 'Spectacles', 'Astigmatism', 'stained', 'frame', 'Wine']","['Pipeline', 'Pet', 'fuite', 'CO', 'butane', 'm\\u00e9thane']","['shojo', 'Weeaboo', 'Matsumoto', 'Animation', 'anime', 'anime']","['Sherlock', 'basile', 'Blacksad', 'pikachu']","['light', 'space', 'stone', 'building']","['dinner', 'sunset', 'afternoon', 'night']","['Cannon', 'send', 'Hard', 'battle', 'Boat', 'Boat']","['Morteau', 'Francfort', 'Knaki', 'barbecue', 'Barbecue', 'Barbecue']","['mouth', 'Shop', 'Frustration', 'Relax', 'Pipe']","['whole', 'catan', 'bread', 'mill', 'Ingredient', 'Harvest']","['Blue', 'Starry', 'Airspace', 'Above', 'Landers', 'High']","['Yakuza', 'Sicariato', 'grupo', 'Aragua', 'rusa']","['Foot', 'Cotton', 'Dobbie', 'Happy', 'Puppet', 'Toes']","['UV', 'lunette', 'astre', 'jour', 'boule', 'jaune']","['Biles', 'Eyes', 'mountain', 'Messi', 'Animal', 'LeBron']","['Pizza', 'Blender', 'turtle', 'stealthy']","['Journal', 'Thief', 'Reserve', 'Schedule']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['Can', 'Fish', 'pizza', 'Smelly', 'topping', 'Topping']","['Mutiert', 'brains', 'Cranberries', 'Brainzzz', 'Cranberries']","['Cochon', 'Th\\u00e9', 'Abri', 'Maison', 'Bateaux', 'Bateau']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['tuichi', 'George', 'Liane', 'Mowgli']","['Ocean', 'Tentacles', 'Squid', 'Like', 'Sea', 'Octonauts']","['kleenex', 'Therapist', 'Soft', 'Mucus', 'Skin', 'Apchi']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Beret', 'Beanie', 'Bonnet', 'cap', 'Cap', 'Cap']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['De-fer', 'Broder', 'Ariane', 'Conducteur']","['Repair', 'Weapon', 'Thor', 'Tool', 'War', 'War']","['coron', 'grisou', 'Mines', 'Charbon', 'Majeur', 'Majeur']","['Film', 'Objectif', 'Infrarouge', 'Audiovisuel']","['flooring', 'Azul', 'CERAMIC', 'carcassonne', 'Ceramic', 'Carcassonne']","['Bread', 'Grain', 'From', 'Chaff']","['Egg', 'Resident', 'Baby', 'Hen']","['Rear', 'Wallside', 'Breeze', 'pane', 'Pane', 'pane']","['deBrest', 'Zeus', 'faraday', 'Petit', 'Thor', 'Thor']"
Mystery Word,Chip,Carrefour,Fraise,Fork,Dream,Pit,Hat,Sock,Punch,Mountain,Coin,Tunnel,Humor,Chasseur,Bracelet,Thunder,Powder,Temple,Cow,Treasure,Hospital,Battery,Phare,Glasses,Gaz,Manga,D\u00e9tective,Sun,Evening,Ship,Saucisse,Outlet,Wheat,Sky,Mafia,Sock,Soleil,Goat,Ninja,Book,Medal,Sardine,Zombie,Port,Cup,Jungle,Octopus,Tissue,Frankreich,Hat,Sting,Rose,Couch,Fil,Hammer,Mineur,Cam\u00e9ra,Tile,Wheat,Chick,Window,Tonnerre
Guess,Chips,Carrefou,Jus,Fork,Dream,pit,Hat,sock,Punch,mountain,copper,tunnel,Comedy,Lion,Bracelet,Thunder,Powder,temple,Angel,Treasure,Hospital,battery,Phare,Glasses,gaz,Manga,d\u00e9tective,star,evening,Shot,Smoke,Tobacco,Grain,Sky,mafia,Sock,Soleil,goat,ninja,,medal,Sardine,Schmetterling,cabane,,Jungle,Octopus,Tissue,Frankreich,Hat,Sting,Rose,Couch,Chemin,Hammer,Nord,Cam\u00e9ra,Tile,Wheat,Chick,Window,Tonnerre
