ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76
Table Number,492329828,492299365,491964501,492177338,492241175,492021018,491996031,491966363,491794414,491879054,491570803,491705934,491209348,491305856,491024641,491078712,490814407,490280100,490555540,490646369,490686525,490288305,490427053,489712176,489393325,489221823,488977589,488971242,488569471,488443426,488396760,488480710,487442469,487721649,487297911,487645326,487559215,487457382,486999494,486226243,484606827,483967058,484989975,484682575,484435490,483994780,481747388,480162112,480638723,479677325,478658601,475857014,473319518,471793759,465912719,466086694,466081205,466083684,466084384,465731184,465664137,465664095,465664206,465664286,465668656,465435499,445297184,444471586,423771261,411382679,387173467,381777020,363390977,341401520,322726720,319065151
Move,['11'],['19'],['14'],['9'],['12'],['24'],['36'],['57'],['36'],['32'],['14'],['38'],['5'],['20'],['23'],['43'],['18'],['37'],['38'],['45'],['68'],['68'],['54'],['56'],['50'],['21'],['37'],['83'],['64'],['43'],['31'],['84'],['103'],['64'],['88'],['62'],['94'],['54'],['77'],['51'],['26'],['39'],['118'],['96'],['55'],['48'],['73'],['19'],['16'],['82'],['63'],['10'],['36'],['74'],['51'],['42'],['48'],['49'],['46'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['47'],['57'],['2025'],['742'],['1389'],['1219'],['1673'],['2752'],['1189'],['404']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,English,Français,Français,English,English,English,English,Deutsch,Français,English,English,Français,English,Français,English,English,English,Français,English,Français,English,Deutsch,Français,English,English,Français,English,English,English,English,English,Français,English,English,English,Deutsch,Français,Français,English,Deutsch,Deutsch,Français,Français,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Deutsch,English,Deutsch,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['cad', 'Gardening', 'Leaves', 'leaves', 'garden', 'Garden']","['Rouge', 'Sir\\u00e8ne', 'Pipe', 'pyromane', 'caserne', 'caserne']","['\\u00c9t\\u00e9', 'Mer', 'Sable', 'Sable']","['Sports', 'Volley', 'chain', 'game', 'Soccer', 'Bounce']","['Hogwarts', 'horticulturist', 'infant', 'plant', 'emerge', 'bean']","['100.4', 'Tylonal', '38', 'Celcius', 'Saturday', 'Night']","['Underground', 'Hidden', 'Mountain', 'Drive', 'Gotthard', 'Base']","['Semmel', 'Geographie-Unterricht', 'frittiert', 'Fleisch']","['acacia', 'Reine', 'ruche', 'Abeille', 'Nectar', 'Nectar']","['Lighthouse', 'Flash', 'Batman', 'Signal', 'life', 'alert']","['doll', 'Ventriloquism', 'Pinocchio', 'Muppet']","['Moulin', 'Epautre', 'Bl\\u00e9', 'Bl\\u00e9']","['King', 'Dynasty', 'Roman', 'Mayan']","['dr\\u00f4le', 'Th\\u00eaatre', 'Rire', 'burlesque', 'musicale', 'Musicale']","['effect', 'Monarch', 'milkweed', 'Capistrano']","['towed', 'dwelling', 'Movie', 'Announcement', 'Film', 'Preview']","['\\u0411\\u0430\\u0442\\u0430\\u0440\\u0435\\u044f', '\\u0417\\u043d\\u043e\\u0439', '\\u041e\\u0433\\u043e\\u043d\\u044c', '\\u0416\\u0430\\u0440\\u043a\\u043e', '\\u0447\\u0430\\u0439\\u043d\\u0438\\u043a', '\\u0441\\u0430\\u0445\\u0430\\u0440\\u0430']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['asistencia', 'time', 'Prometido', 'ahora', 'ahora', 'Ahora']","['Casper', 'Flottant', 'ectoplasme', 'Mort', 'Quasi-Sans-T\\u00eate', 'Poltergeist']","['Jungle', 'Perkusja', 'kowade\\u0142ko', 'brzuchol']","['Achselhaare', '99', 'Luftballons', 'Luftballons', '99', 'Luftballons']","['Cadum', 'T\\u00e9tine', 'Nouveau-n\\u00e9', 'Enfants']","['snooker', 'puddle', 'table', 'dive', 'swimming', 'swimming']","['Kilcher', 'Emerald', 'Gem', 'Valuable']","['Blagues', 'Sens', 'Spectacle', 'Humoriste']","['Florida', 'plant', 'tree', 'coconut', 'tree', 'coconut']","['keratinous', 'shampoo', 'Bouffant', 'Musical', 'Locks', 'Cartiledge']","['Paradise', 'Gallaghers', 'Wonderwall', 'Wonderwall', 'Band', 'Band']","['Menstruation', 'punctuation', 'Grammar', 'Era']","['Brown', 'Puma', 'Cat', 'Cat']","['pucerons', 'Chance', 'Mexico', 'Choupette', 'Volkswagen', 'Volkswagen']","['Counter', 'monkey', 'Gymnastics', 'chocolate', 'Chocolate']","['rings', 'Pepper', 'Sliced', 'shallot', 'Layers', 'Layers']","['Temptations', 'Hammer', 'Conflict', 'Battalion', 'path']","['Schmetterling', 'H\\u00fclle', 'Puppennest', 'Raupe', 'Metamorphose', 'Geh\\u00e4use']","['Souterrain', 'Bout', 'Saint-Gothard', 'Manche', 'Eurostar', 'Couloir']","['Ecureuil', 'Cafe', 'scratch', 'Nutella']","['Dippitydo', 'ultrasound', 'Wax', 'Goo', 'Aloe', 'lube']","['Gl\\u00e4ser', 'Ohren', 'Kontaktlinsen', 'Monokel', 'Nase', 'Nase']","['Seide', 'Verwandlung', 'Schmetterling', 'Schmetterling']","['R\\u00e9paration', 'Bricolage', 'Tournevis', 'Marteau']","['Foudre', 'Zeus', 'Assourdissant', 'Brest', 'Brest', 'Brest']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Testv\\u00e9r', 'Ember', 'Gyerek', 'Kett\\u0151']","['sun', 'constellation', 'Movie', 'Astronomy', 'Polaris', 'Asterisk']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['blue', 'passcode', 'Hart', 'Smith']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Haystack', 'Pins', 'thread', 'Thread', 'vaccine', 'Vaccine']","['Newton', 'lab', 'biology', 'biology']","['staubig', 'Pulver']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['Poker', 'Greeting', 'Hoyle', 'joker']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['spicy', 'l\\u00e4nglich', 'rot', 'rot']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Blatt', 'Doppel', '-Kreislauferkrankung', 'Aortenklappe', 'Love']","['Oil', 'SPider-verse', 'snack', 'Malone', 'Malone']","['Hydroelectricity', 'Waterwheel', 'Propeller', 'driveSHAFT', 'Windmill', 'wind']","['Royal', 'Duchess', 'Peach', 'Peach']","['Billiards', 'Combine', 'Swim', 'Applicant', 'Noodle']","['Stormy', 'Balmy', 'Snow', 'Report', 'Forecast', 'Rain']","['Early', 'Sunrise', 'Am', 'Dawn', 'Glory', 'Wood']","['...tail', 'dwarf', 'my', 'little']"
Mystery Word,Rake,Pompier,Plage,Ball,Sprout,Fever,Tunnel,Schnitzel,Miel,Beacon,Puppet,Farine,Emperor,Com\u00e9die,Butterfly,Trailer,Heat,Valise,Present,Fant\u00f4me,Drum,Nena,B\u00e9b\u00e9,Pool,Jewel,Humour,Palm,Hair,Oasis,Period,Cougar,Coccinelle,Bar,Onion,War,Kokon,Tunnel,Noisette,Gel,Brille,Kokon,Outil,Tonnerre,Quarter,Root,Twins,Star,Fire,Lock,Guard,Needle,Science,Puder,Cage,Card,Club,Coin,Bar,Stone,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Chili,Vegetable,Herz,Sunflower,Turbine,Princess,Pool,Weather,Morning,Pony
Guess,,allume,Vacances,Ball,sprout,Fever,Tunnel,Schnitzel,Miel,Alarm,Puppet,farine,Empire,Com\u00e9die,butterfly,,inferno,valise,Turno,fant\u00f4me,B\u0119benek,Nena,B\u00e9b\u00e9,Billiards,Jewel,Drole,palm,Hair,vacation,Period,Shoes,Coccinelle,,onion,War,Kokon,Tunnel,Noisette,gel,Brille,Konkon,Outil,Tonnerre,mix,,Twin,Star,iron,lock,guard,needle,Science,Russ,cage,CARD,Club,Coin,Bar,Stone,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chilli,Vegetable,herz,bagel,Power,Princess,Pool,Weather,Morning,Pony
