ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56
Table Number,558960280,558367092,558298438,558263052,557952345,557829809,557686504,557845716,557655393,557610050,557571610,557326686,557384837,557208979,557225871,557059641,557080537,556940256,556788897,556583562,556021741,555743269,556270645,556146953,556032942,555420350,555848276,555755435,555376965,555276251,555427906,554454907,553759106,553847875,553840627,553370162,553700790,553593610,552711037,550189975,549836070,549768269,548181663,544337775,539675526,539937223,539412516,537929434,533993182,528022855,517095134,508130373,420552674,396307534,374138794,312552889
Move,['89'],['29'],['9'],['16'],['18'],['30'],['20'],['27'],['54'],['20'],['32'],['36'],['18'],['31'],['9'],['37'],['28'],['47'],['31'],['82'],['64'],['52'],['18'],['37'],['16'],['36'],['43'],['100'],['37'],['49'],['76'],['43'],['45'],['50'],['95'],['70'],['56'],['85'],['103'],['109'],['72'],['53'],['13'],['57'],['1373'],['40'],['91'],['94'],['45'],['184'],['593'],['1440'],['1010'],['717'],['2145'],['2466']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,Real-time • Normal speed (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,Français,English,English,English,English,English,Français,Français,English,English,English,English,English,English,English,Français,Français,English,English,Français,English,English,English,English,English,Français,English,English,English,English,Deutsch,English,English,Français,English,English,English,Deutsch,English,English,Français,Français,Deutsch,English,English,English,Français,Français,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['festival', 'repr\\u00e9sentation', 'Sc\\u00e8ne', 'r\\u00e9cital']","['decorative', 'flower$', 'Urn', 'Crete', 'Ceramic', 'ceramics']","['towed', 'hitch', 'Preview', 'Truck', 'caravan', 'cutscene']","['\\u00e9pisodes', 'suite', 'T\\u00e9l\\u00e9vision', 'Livre']","['boat', 'harbour', 'Transporting', 'sea', 'Send', 'Mail']","['Vivaldi', 'coiled', 'Flowers', 'Jump', 'Rain', 'Blossom']","['Meeting', 'Card', 'charcuterie', 'Surf', 'Chalk', 'Chalk']","['Break', 'family', 'Cruise', 'Holiday', 'Holiday', 'Holiday']","['Arcana', 'Bed', 'Mollusk', 'Gem', 'cum', 'necklace']","['noeud', 'papillon', 'Noeud', 'Papillon']","['cercueil', 'houblon', 'Kronenbourg', 'chope']","['Gaze', 'Lookout', 'guard', 'Rolex', 'clock', 'Clock']","['Jump', 'Jumping', 'Golden', 'Airplane', 'Skydive', 'skydiving']","['bathroom', 'Piano', 'Cement', 'Design', 'floor', 'Floor']","['plane', 'Simulator', 'Aircraft', 'Departure', 'delayed', 'Beer']","['box', 'shape', 'cubicle', 'Die']","['Shove', 'Horns', 'Thrust', 'Trucks', 'Memory', 'memory']","['Mozzarella', 'Napoli', 'Margherita', 'Cheesy', 'Circle', 'Hot']","['asiatique', 'Kube', 'dessin', 'Dessin']","['Cuniculture', 'Panpan', 'Animal', 'Alice', 'Chaud']","['Shredded', 'gorgonzola', 'Havarti', 'Ricotta', 'Manchengo']","['halloween', 'zorro', 'Gezicht', 'Verbergen', 'Milo', 'Carrey']","['Chrysalide', 'Soie', 'Nid', 'Douillet', 'nid', 'douillet']","['Plane', 'Drives', 'light', 'palm']","['Ram', 'Darnielle', 'Gruff', 'kidding', 'billy']","['Anti-tomato', 'Broccoli', 'Category', 'Comatose']","['the', 'Mauricio', 'Prohibida', 'Wilson', 'Chiloe']","['putt', 'Cart', 'Handicap', 'birdie', 'tee', 'tee']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['automaton', 'I', 'wall-e', 'eva', 'automation', 'automation']","['Freya', 'free', 'freaky', 'Freaky']","['Apparition', 'Casper', 'Casper', 'Casper']","['pillow', 'sleeptime', 'twin', 'size', 'rest', 'mattress']","['Kaliber', 'Magnum', 'Pistole', 'Beatlesalbum', 'Colt', 'Colt']","['Satyr', 'Oil', 'Kettle', 'Peter', 'milk', 'frying']","['sashimi', 'nemo', 'chips', 'Flounder']","['P\\u00e2ques', 'Tournois', 'Canne', 'Nid', 'Pondeuse', 'Pondeuse']","['Tampa', 'Chesapeake', 'Michael', 'Cove']","['Pearl', 'Pendant', 'Jewelry', 'collarbone', 'Glamour', 'diamond']","['paint', 'linen', 'Material', 'Waterproof', 'surface', 'cover']","['Butterfliege', 'Verpuppung', 'Flattert', 'Smettbo', 'Admiral']","['Ki\\u00e1ll\\u00edt\\u00e1s', 'R\\u00e9gi', 'Csontv\\u00e1z', '\\u00c9p\\u00fclet']","['Petrol', 'Lighting', 'Air', 'Babies', 'Pipe', 'Bio']","['boucle', 'Sauron', 'goloum', 'Alliance', 'Alliance', 'alliance']","['Enfer', 'Horrible', 'Yuei', 'Seirin', 'Prison', 'Enfant']","['Troubadix', 'Film', 'Obelix', 'Comic', 'Idefix', 'Idefix']","['Containing', 'Lightbulb', 'Genie', 'Object']","['list', 'Options', 'Board', 'cuisine', 'QR', 'main']","['Hemlock', 'Toxin', 'sick', 'Oak']","['pasteque', 'orange', 'porto', 'serrano']","['Orge', 'Kellogs', 'Bl\\u00e9', 'Bl\\u00e9']","['shine', 'Ra', 'moon', 'Heat', 'Helios', 'Apollo']","['Ceasar', 'Crouton', 'dressing', 'vinaigrette', 'mixture', 'vegetables']","['Ice', 'Topping', 'white', 'sicle', 'Whip', 'Whipped']","['board', 'birthday', 'Shark', 'Business']","['Placemat', 'folding', 'Excel', 'pivot', 'Picnic']"
Mystery Word,Concert,Vase,Trailer,S\u00e9rie,Ship,Spring,Board,Vacation,Pearl,Cravate,Bi\u00e8re,Watch,Parachute,Tile,Flight,Cube,Ram,Pizza,Manga,Lapin,Cheese,Mask,Cocon,Pilot,Goat,Vegetable,Island,Golf,Noisette,Robot,Friday,Ghost,Bed,Revolver,Pan,Fish,Poule,Bay,Necklace,Canvas,Schmetterling,Museum,Gas,Anneau,\u00c9cole,Asterix,Lamp,Menu,Poison,Melon,C\u00e9r\u00e9ale,Sun,Salad,Cream,Card,Table
Guess,Spectacle,Vase,trailer,s\u00e9rie,Ship,spring,Board,vacation,Pearl,,Bi\u00e8re,Watch,parachute,Marble,flight,square,Push,pizza,,Lapin,cheese,Mask,Papillon,Fly,sheep,vegetable,Isla,golf,Noisette,Robot,American,Ghost,Bed,Revolver,Pan,Fish,Oeuf,Bay,Necklace,sheet,Schmetterling,Museum,Gas,Anneau,\u00c9cole,Asterix,lamp,menu,Poison,Melon,C\u00e9r\u00e9ales,Sun,Salad,snowflake,card,Table
