ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56
Table Number,555414664,555410302,554457695,554730271,554724086,554158338,554526248,554327336,554237185,554285917,554145290,553707911,553654798,553281408,553197704,552717527,552712717,552842629,552523469,552375360,552502335,552466150,552422270,552318025,552074806,552033855,551739848,551721651,551020732,551051709,550401944,549941880,550049242,549768269,548719769,546080196,546165662,546021719,546055893,545288708,544337775,543997430,543879156,542091290,539675526,539937223,533993182,533093056,529393591,528436597,528822756,528022855,520589419,511221983,319065151,317609821
Move,['53'],['78'],['7'],['18'],['24'],['11'],['18'],['15'],['15'],['37'],['18'],['21'],['58'],['75'],['37'],['40'],['47'],['68'],['71'],['42'],['62'],['65'],['30'],['54'],['57'],['76'],['66'],['63'],['21'],['27'],['38'],['57'],['74'],['33'],['66'],['79'],['73'],['86'],['125'],['100'],['57'],['83'],['142'],['61'],['1182'],['40'],['45'],['31'],['74'],['61'],['206'],['168'],['70'],['1465'],['545'],['2289']
Mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Friendly mode
Speed,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,English,English,English,Français,English,Français,Deutsch,English,Français,Français,English,English,English,English,Français,English,English,English,Français,English,Français,English,English,English,English,Français,English,English,English,Deutsch,English,Deutsch,Deutsch,English,Français,English,Français,Français,English,Français,English,Français,Deutsch,English,English,English,English,English,Français,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Infinite
Clues,"['tulip', 'Lamp', 'light', 'asaur', 'ahha']","['shiny', 'band', 'finger', 'jewelry', 'glittery', 'color']","['Fluffy', 'hen', 'Hatch', 'Magnet']","['suckers', 'mollusk', 'Tentacles', 'Eight', 'Flapjack', 'Pearl']","['Deodorant', 'Arm', 'Mud', 'Mosh', 'Cherry', 'Cherry']","['hardware', 'fornicate', ""Phillip's"", 'nut']","['Billet', 'Agios', 'Monetaire', 'Billets', 'Argent', 'Argent']","['Harbor', 'White', 'Oyster', 'Oyster']","['Rose', 'D\\u00e9cortiquer', 'Grise', 'Avocat']","['Nachweis', 'Strassenbahn', 'Bus', 'Konzert', 'Eintritt', 'Flug']","['Trunks', 'Two-piece', 'burkini', 'Speedo', 'speedo', 'Speedo']","['D\\u00e9but', 'Journ\\u00e9e', 'R\\u00e9veil', 'AM']","['Enfant', 'Adolescent', 'Charbon', 'Grisou']","['glasses', 'picture', 'Door', 'OUTLINE', 'structure', 'seize']","['Permanent', 'Painful', 'dermis', 'Ink', 'Ink', 'ink']","['Homework', 'Idiot', 'Fix', 'hammer', 'craft', 'Saw']","['Rocinante', 'grey', 'stubborn', 'Mule', 'Diddy', 'Animal']","['Bobine', 'Broderie', 'Funambule', 'Tricot', 'Ariane', 'Ariane']","['Ear', 'Skin', 'Timpani', 'RINGO', 'bongo', 'Bongo']","['Peat', 'terrarium', 'Bryophyta', 'Stone', 'Kate']","['Daily', 'Horror', 'Explosion', 'Squad', 'da', 'diggity']","['appendicectomie', 'Math\\u00e9matiques', 'soustraction', 'Soustraction']","['City', 'Downtown', 'Canary', 'Forge', 'Bird', 'Bird']","['couette', 'edredon', 'plaid', 'plaid']","['direction', 'Angle', 'Divine', 'guard', 'Handed', 'Handed']","['Margarita', 'Martini', 'Cosmopolitan', 'Julep', 'mojito', 'gimlet']","['Tyre', 'Vehicle', 'Steer', 'Spin', 'Spinning']","['T\\u00f6mb', 'Gy\\u00fcjt\\u0151', 'Busz', 'Szelv\\u00e9ny', 'koncert', 'sz\\u00ednh\\u00e1z']","['Fille', 'Roi', 'Peach', 'Daisie']","['Exxon', 'Chevron', 'Classical', 'Freon', 'Helium', 'Neon']","['Fall', 'Groen', 'Tree', 'Boom']","['Shape', 'Spores', 'spores', 'Shape', 'spore']","['Teich', 'Gew\\u00e4sser', 'Ber\\u00fchmtes', 'Ballett', 'Vogel', 'Riesenvogel']","['V\\u00edz', 'Folyam', 'Folyik', 'Folyik']","['Kreuzigung', 'Wochentag', 'Robinson', 'Robinson', 'Robinson']","['Armee', 'Ukraine']","['Tennis', 'sphere', 'Volley', 'Sphere', 'Volley']","['Lucarne', 'Carreau', 'Volets', 'vitr\\u00e9e', 'Vitrail']","['Orchestra', 'Fiddle', 'Sherlock', 'Classical', 'Stradivarius', 'Stradivarius']","['excavation', 'Percage', 'Narine', 'Crevasse', 'Accroc', 'golf']","['boucle', 'Sauron', 'goloum', 'Alliance', 'Alliance', 'alliance']","['mossy', 'Boooooooo', 'alcove', 'cave', 'Cavelet']","['Battement', 'Sang', 'Organe', 'Vital', 'Bris\\u00e9', 'Lovdisk']","['Ganges', 'Nile', 'Pheonix', 'Phoenix']","['Casquette', 'Bonnet', 'melon', 'Lincoln', 'Couvre-chef', 'Magie']","['Troubadix', 'Film', 'Obelix', 'Comic', 'Idefix', 'Idefix']","['Hemlock', 'Toxin', 'sick', 'Oak']","['Sea', 'Sail', 'Salty', 'Indian', 'Arctic', 'Tides']","['snapchat', 'busters', 'Casper', 'Boo', 'boo', 'casper']","['APPENDAGE', 'Twig', 'Trolls', 'Trunk']","['Princess', 'Home', 'Buckeningham', 'Tajmahall']","['Inverse', 'Commencement', 'jours', 'sans']","['Urlaub', 'fliegen', 'Condor', 'Boing', 'HIMMEL']","['curds', 'Gruy\\u00e8re', 'Big', 'Feta', 'Camembert']","['migjorn', 'gregal', 'Air', 'Movement']","['versa', 'avis', 'seven', 'Tourne', 'Assemblage', 'Poisson']"
Mystery Word,Bulb,Gold,Chick,Octopus,Pit,Screw,Banque,Pearl,Crevette,Ticket,Swimsuit,Matin,Mineur,Frame,Tattoo,Tool,Donkey,Fil,Drum,Moss,Bomb,Op\u00e9ration,Pigeon,Couverture,Right,Cocktail,Wheel,Ticket,Princesse,Gas,Leaf,Mold,Schwanensee,River,Freitag,Krieg,Ball,Fen\u00eatre,Violin,Trou,Anneau,Grotto,C\u0153ur,River,Chapeau,Asterix,Poison,Ocean,Ghost,Branch,Palace,Fin,Plane,Cheese,Wind,Vis
Guess,flower,gold,Chick,Octopus,Pit,screw,Argent,Pearl,crevette,Ticket,Swimsuit,matin,Mineur,frame,Scar,tool,Donkey,Fil,Drum,moss,bomb,Calcul,Pigeon,couverture,,cocktail,Car,Ticket,princesse,Gas,Blaadjes,,Schwanensee,River,Karfreitag,Krieg,,,Violin,Trou,Anneau,Grotto,coeur,river,Chapeau,Asterix,Poison,Ocean,Ghost,tree,palace,nuit,Flugzeug,Cheese,Wind,Vice
