ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50
Table Number,555947726,556176897,556005859,556119147,556047103,556025624,555772425,555642742,554992763,555197395,555180199,555066907,555049154,554163028,554786150,554819656,554910005,554457695,553759106,554285917,553840627,553812308,553707911,553281408,552408247,552902669,552904963,552717527,552744519,552511060,552375360,552182554,551617180,551020732,550010707,549177953,549177453,548474553,544337775,543442361,539937223,533993182,528436597,517095134,509348231,508762408,478416865,422619886,381777020,319065151
Move,['6'],['16'],['9'],['13'],['9'],['30'],['33'],['30'],['13'],['19'],['37'],['12'],['18'],['14'],['24'],['7'],['40'],['21'],['18'],['83'],['49'],['22'],['31'],['102'],['43'],['71'],['14'],['58'],['56'],['19'],['58'],['38'],['21'],['21'],['51'],['39'],['50'],['62'],['57'],['78'],['40'],['45'],['61'],['567'],['1192'],['561'],['1370'],['859'],['1738'],['545']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Friendly mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,English,English,Deutsch,English,Français,Français,English,Français,English,English,English,English,English,English,Français,English,Français,English,English,English,English,Français,Français,Deutsch,English,English,Français,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['music', 'genre', 'Mineral', 'Hard', 'Gibraltar', 'pebble']","['parton', 'Baby', 'bratz', 'Porcelain', 'Jem']","['Katrina', 'lightening', 'Gale', 'tempest', 'Barn', 'Hurricane']","['nut', 'Sister', 'eyes', 'Witch', 'Eyes', 'Witch']","['arid', 'Camel', 'Rommel', 'Mirage', 'Sahara', 'Sahara']","['large', 'reach', 'Andr\\u00e9', 'Beanstalk', 'Iron', 'Humongous']","['Church', 'Seven', 'Rest', 'Weekend']","['Neck', 'Breathe', 'Strep', 'trachea', 'swallow', 'voice']","['Bronze', 'Metal', 'marble', 'David', 'Liberty', 'NYC']","['Golf', 'Dig', 'Void', 'Digging', 'Dug', 'Round']","['Construction', 'Precipitation', 'Umbrella', 'Misting', 'Purple', 'Water']","['Excalibur', 'Blade', 'big', 'dagger', 'Oathkeeper', 'Longclaw']","['Music', 'chacha', 'Rumba', 'Lambada', 'Mambo', 'tutu']","['Sleep', 'REM', 'Sweet-', 'nightmare']","['wrap', 'Container', 'Manilla', 'Stationery', 'letter', 'Letter']","['Capone', 'Gang', 'Familia', 'Sopranos']","['blonde', 'outre', 'stupide', 'Portable', 'Idiote', 'Randonn\\u00e9e']","['Plane', 'Jump', 'Skydiver', 'Skydive']","['information', ""Comic's"", 'Flyers', 'read', 'print', 'print']","['Korn', 'Roggen', 'M\\u00fchle', '\\u00c4hren', 'M\\u00fchle', '\\u00c4hren']","['Close', 'top', 'Three', 'Jar', 'Cover', 'Cover']","['arbre', 'bras']","['Vivaldi', 'Hirondelle', 'Mars', 'Mai']","['Building', 'bird', 'Hoist', 'Origami', 'origami', 'origami']","['gratter', 'Tombola', 'Metro', 'Caisse']","['Sleeve', 'Inked', 'ink', 'Ink']","['Ariel', 'Cavern', 'Italian', 'Stone']","['Fairytale', 'Hogwarts', 'Sabrina', 'sALEM', 'Cauldron', 'wicked']","['Dip', 'starters', 'First', 'Shareables', 'Entree', 'Entree']","['Dame', 'Wingspan', 'tweets', 'Feather', 'tweety', 'Tweety']","['cube', 'Getty', 'Control', 'broth', 'Broth']","['Zeus', 'Potter', 'Fermeture', 'Buzz', 'attaque', 'pikachu']","['radio', 'Dawn', 'Glory', 'after']","['Fille', 'Roi', 'Peach', 'Daisie']","['Billy', 'ewe', 'Kid', 'Graze', 'Ram', 'ram']","['yucca', 'Reader', 'hand', 'Hand']","['Pastery', 'Sugar', 'Sahara', 'Mirage']","['Wave', 'Sunny', 'Miami', 'Warmth', 'fireplace', 'stovetop']","['boucle', 'Sauron', 'goloum', 'Alliance', 'Alliance', 'alliance']","['Ondotologie', 'Pr\\u00e9molaire', 'gensive', 'pivot', 'Croc', 'Croc']","['Troubadix', 'Film', 'Obelix', 'Comic', 'Idefix', 'Idefix']","['Hemlock', 'Toxin', 'sick', 'Oak']","['APPENDAGE', 'Twig', 'Trolls', 'Trunk']","['Rus\\u00e9', 'For\\u00eat', 'Corbeau', 'Rox']","['takoyaki', 'Kraken', 'cephalopod', 'Gallega']","['camouflage', 'Telephone', 'Reptile', 'Karma']","['No\\u00ebl', 'Boules', 'Baumier', 'Conif\\u00e8re', 'Arbre', 'Arbre']","['stone', 'seed', 'Hollow', 'Hole']","['Jam', 'Hydraulic', 'Filtration', 'Sump']","['migjorn', 'gregal', 'Air', 'Movement']"
Mystery Word,Rock,Doll,Storm,Hazel,Desert,Giant,Sunday,Throat,Statue,Hole,Rain,Sword,Dance,Dream,Envelope,Mafia,Gourde,Parachute,Newspaper,Getreide,Lid,Branche,Printemps,Crane,Ticket,Tattoo,Grotto,Witch,Appetizer,Bird,Stock,\u00c9clair,Morning,Princesse,Goat,Palm,Desert,Heat,Anneau,Dent,Asterix,Poison,Branch,Renard,Octopus,Chameleon,Sapin,Pit,Pump,Wind
Guess,Rock,Doll,Nature,Pecan,Desert,giant,Sunday,throat,Statue,hole,Rain,Sword,Dance,dream,Carton,mafia,,parachute,Print,,Lid,bouleau,Printemps,crane,,black,grotto,Witch,appetizer,Bird,,\u00c9clair,Morning,princesse,Sheep,Kindle,Dessert,Heat,Anneau,dent,Asterix,Poison,tree,renard,Octopus,Chameleon,Sapin,Pit,Pump,Wind
