ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37
Table Number,564635642,564116566,563993245,564273169,563997999,563804996,563924079,563734591,563596599,563226168,563203554,563137425,563080471,562737570,562524435,561984919,561648372,559165548,559300850,558671887,558983329,558559854,558429523,555420350,555635469,555376965,551020732,542849457,535201906,522327882,521199099,509348231,508762408,484123113,480055062,470247957,313533300
Move,['5'],['9'],['19'],['18'],['32'],['9'],['26'],['18'],['50'],['50'],['47'],['26'],['52'],['51'],['17'],['36'],['71'],['68'],['115'],['81'],['10'],['64'],['44'],['178'],['78'],['37'],['41'],['659'],['75'],['601'],['647'],['1378'],['733'],['1338'],['853'],['2434'],['4851']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,Français,English,English,English,English,English,English,English,English,Français,English,Français,Français,English,English,Français,English,English,English,English,English,English,Français,Français,English,English,Français,Français,English,English,English,Deutsch,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['graveyard', 'Lidcombe', 'tombstone', 'Tombstone']","['cozy', 'quilt', 'Fire', 'weighted', 'Warmth', 'Warmth']","['china', 'bear', 'Clumsy', 'Animal', 'Black', 'White']","['Chanson', 'compositeur', 'Note', 'Instrumental', 'sol', 'Partition']","['Husband', 'Partnership', 'ceremony', 'reception', 'Anniversary', 'Bouquet']","['Slumber', 'Lucid', 'Sleep', 'morpheus', 'Boat', 'Weaver']","['Aquatic', 'Mammal', 'Flipper', 'Animal']","['Bow', 'Trapper', 'Searcher', 'Killua', 'gatherer', 'Gatherer']","['Hypodermic', 'Intravenous', 'Syringe', 'Tip']","['nicotine', 'sign', 'Cigar', 'Marlboro', 'Chimney']","['field', 'mausoleum', 'Burial', 'Gravedigger', 'Spooky', 'tombstones']","['cock', 'doodle', 'Sunrise', 'Call', 'bantam', 'barnyard']","['coron', 'Enfant', 'terril', 'Terril']","['locomotive', 'rail', 'Ticket', 'Preparing', 'Choochoo']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Lumiere', 'Orage', 'Tonnerre', 'Tonnerre']","['Museum', 'Picture', 'Square', 'Painting']","['burning', 'infantry', ""pyromaniac's"", 'opposite', 'flame', 'waterer']","['mercerie', 'Ourlet', 'Haute', 'fashion', 'Aiguille', 'Aiguille']","['civil', 'Frankie', 'poker', 'nuke', 'Troops', 'Troops']","['Alv\\u00e1s', '\\u00c1lom', 'K\\u00e9s\\u0151n', 'Vacsi']","['tandem', 'Road', 'raindrops', 'vechile', 'Pump']","['wick', 'fluid', 'Match', 'Cigarette', 'Paler', 'Paler']","['Building', 'Credit', 'River', 'Loan']","['Happy', 'Older', 'presents', 'Balloons']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['R\\u00e9curer', 'Po\\u00eale', 'faitout', 'queue']","['Rowing', 'Yacht', 'Vessel', 'Fishing', 'Fishing', 'Vessel']","['reflection', 'wall', 'View', 'see', 'Self', 'yourself']","['botanique', 'Paris', 'l\\u00e9gumes', 'PLant', 'Potager', 'Versailles']","['Gorgone', 'Sandales']","['Giza', 'scheme', 'itza', 'Tepozteco']","['Eagle', 'Gobi', 'Cheesecake', 'Pudding']","['rabbit', 'orange', ""Bunny's"", 'vegetable', 'hare', 'nibbles']","['Quecksilberimzahn', 'Rouladeninhalt', 'Zahnersatzteil', 'Pralinen\\u00fcberraschung', 'Kisseninhalt', 'Kariesschadensausbesserung']","['Moore', 'Trifolium', 'Leaf', 'Leprechaun', 'So', 'Mayor']","['chalice', 'Grail', 'Stanley', 'Ryder', 'saucer', 'saucer']"
Mystery Word,Cemetery,Blanket,Panda,Musique,Marriage,Dream,Dolphin,Hunter,Needle,Smoke,Cemetery,Rooster,Mineur,Train,Pluie,\u00c9clair,Frame,Firefighter,Couture,War,Evening,Bicycle,Lighter,Bank,Birthday,Noisette,Casserole,Boat,Mirror,Jardin,M\u00e9duse,Pyramid,Desert,Carrot,F\u00fcllung,Clover,Cup
Guess,Cemetery,Blanket,Panda,musique,Wedding,dream,Dolphin,hunter,Needle,smoke,cemetery,rooster,mineur,train,pluie,\u00c9clair,Art,Fireman,Gesch\u00e4ft,,Night,Bike,Lighter,bank,Birthday,Noisette,Casserole,Boat,mirror,Jardin,Chaussure,pyramid,Desert,Carrot,Amalgam,clover,Cup
