ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45
Table Number,565672369,565115517,564763778,564729136,564468602,564548365,564083019,563814683,563964286,564003282,563734591,563499479,563020485,562754120,562706994,562737570,562524435,561984919,561960544,561626574,561534650,561221178,561268230,561063949,560761021,560206739,559496271,559165548,558671887,558251247,557532448,557890730,555376965,555037234,551020732,545799180,539553561,535437353,534335856,522327882,517095134,506189713,481212678,422619886,417255169
Move,['70'],['7'],['8'],['20'],['14'],['57'],['26'],['18'],['36'],['28'],['18'],['27'],['32'],['55'],['49'],['51'],['17'],['36'],['28'],['63'],['27'],['75'],['65'],['68'],['92'],['51'],['71'],['68'],['81'],['28'],['77'],['50'],['37'],['63'],['41'],['352'],['93'],['104'],['934'],['601'],['660'],['1680'],['346'],['894'],['2902']
Mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Real-time • Normal speed (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+
Language,Français,English,English,English,English,Français,English,English,English,English,English,English,English,Deutsch,English,English,Français,Français,English,English,English,English,English,English,English,English,English,English,English,English,Français,English,Français,Français,Français,English,English,English,English,Français,Français,English,English,English,English
End,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['plus', 'moins', 'couple', 'Heureux', 'bonheur', 'attirer']","['Sand', 'barley', 'wheat', 'Wheat']","['wings', 'Sharable', ""Bloomin'"", 'Tidbit', 'Charcuterie']","['Horoszk\\u00f3p', 'Sz\\u00far', 'sz\\u00fclinapom', 'november']","['Shinkansen', 'Metro', 'bart', 'cal', 'choo', 'choo']","['Translucide', 'Eternel', 'Brut', 'Brut']","['Human', 'Cute', 'Belly', 'Birth']","['Orbit', 'Coup', 'Insurgence', '360', 'French', 'Change']","['Lathe', 'Work', 'Gear', 'mallet', 'Saw', 'Saw']","['Carneval', 'Protective', 'covid', 'Regalia', 'N95', 'The']","['Bow', 'Trapper', 'Searcher', 'Killua', 'gatherer', 'Gatherer']","['Erised', 'Chord', 'Insignificant', 'Teenager', 'major', 'Major']","['cheese', 'Spores', 'Form', 'Fungus', 'mildew']","['Frischobst', 'Mobil', 'Weihnachts', 'Gem\\u00fcse']","['Nicotine', 'Vape', 'plant', 'Cancer', 'Chewing', 'Chew']","['locomotive', 'rail', 'Ticket', 'Preparing', 'Choochoo']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Lumiere', 'Orage', 'Tonnerre', 'Tonnerre']","['blood', 'Renaissance', 'Epoch', 'Punctuation']","['Rise', 'Vertical', 'ascend', 'Ladder', 'ladder', 'Ladder']","['Destruction', 'Firearm', 'gun', 'scimitar', 'club', 'Offense']","['Dorito', 'Hypotenuse', 'percussion', 'Acute', 'Bermuda', 'Bermuda']","['Train', 'tracks', 'banister', 'guard']","['pipe', 'chew', 'Chew', 'smokeless', 'Smoke', 'chew']","['Holes', 'Hop', 'Peter', 'hat', 'HARE', 'Roger']","['rafter', 'pin', 'Earring', 'backing', 'Attractive', 'Male']","['Tin', 'anchovy', 'Pilchard', 'Crammed']","['burning', 'infantry', ""pyromaniac's"", 'opposite', 'flame', 'waterer']","['civil', 'Frankie', 'poker', 'nuke', 'Troops', 'Troops']","['Lucht', 'Grey', 'Wit', 'White']","['Mario', 'Plomberie', 'Pompier', 'Arrosage', 'Arrosage']","['Outburst', 'Picture', 'movie', 'Movie']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['Sirius', 'Mort', 'bateau', 'burka', 'hisser', 'vapeur']","['R\\u00e9curer', 'Po\\u00eale', 'faitout', 'queue']","['Factory', 'SaltnPepper', 'rub', 'Wind', 'Wind']","['Picking', 'Fruit', 'blonde', 'Flavour', 'Hope', 'Hope']","['cashmere', 'Goat', 'me', 'Animal', 'wool', 'Wool']","['weed', 'Rain', 'Gas', 'Plumbing', 'organ', 'dream']","['botanique', 'Paris', 'l\\u00e9gumes', 'PLant', 'Potager', 'Versailles']","['Bxl', 'Romanesco', 'Bruxelles', 'Rouge']","['Covid', 'Surgical', 'Majora', 'obscure', 'Hidden', 'Luchador']","['25000', '100000', 'Sarcophagus', 'Burial', 'Luxor', 'Shape']","['Sideways', 'Woodwind', 'Metal', 'Play']","['wish', 'Femur', 'Metatarsal', 'Tibia', 'Funny', 'Fibula']"
Mystery Word,Aimant,Grain,Appetizer,Scorpion,Train,Diamant,Baby,Revolution,Tool,Mask,Hunter,Minor,Mold,Markt,Tobacco,Train,Pluie,\u00c9clair,Period,Climb,Weapon,Triangle,Rail,Tobacco,Rabbit,Stud,Sardine,Firefighter,War,Cloud,Tuyau,Scene,Noisette,Voile,Casserole,Mill,Strawberry,Sheep,Pipe,Jardin,Chou,Mask,Pyramid,Flute,Bone
Guess,Alchimie,grain,Steakhouse,Scorpion,Train,Eau,baby,Revolution,Tool,,hunter,Minor,mushrooms,Essen,Tobacco,train,pluie,\u00c9clair,Period,jump,Weapon,Triangle,Railway,plumber,Rabbit,Stud,Sardine,Fireman,,Clouds,Tuyau,Flash,Noisette,Voile,Casserole,Brisket,Strawberry,sheep,pipe,Jardin,chou,Mask,Pyramid,Flute,Bone
