ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60
Table Number,461092271,460971733,460820116,460811997,460696843,460469609,460339424,460210524,460137613,459917174,459892081,459747297,459532429,459470730,459423883,459349513,459300493,459160078,459051026,459042782,458993678,458938717,458835837,458814729,458716764,458285032,458101851,458082230,457773217,457749670,457589195,457036000,456915945,456808852,456727197,456395238,456222316,455837502,455330446,455143990,455045761,455042660,454586755,453839362,452704150,451721423,450758314,449727973,448202573,446514318,446155644,441488112,426921218,411382679,405054016,381777020,357001162,356959263,348838927,313533300
Move,['18'],['9'],['5'],['9'],['15'],['7'],['23'],['18'],['37'],['47'],['27'],['53'],['85'],['6'],['17'],['12'],['21'],['19'],['55'],['30'],['19'],['27'],['89'],['47'],['18'],['75'],['75'],['62'],['73'],['37'],['31'],['19'],['37'],['30'],['36'],['77'],['91'],['142'],['56'],['45'],['56'],['56'],['11'],['82'],['46'],['99'],['73'],['65'],['40'],['20'],['36'],['102'],['343'],['626'],['1117'],['952'],['1799'],['1212'],['1403'],['3237']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,Français,English,Français,English,Français,English,English,English,Deutsch,English,English,English,Français,English,English,English,English,Français,English,English,English,English,English,English,Français,Français,Français,Deutsch,Français,English,English,English,English,English,English,Français,English,Français,English,Français,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Pompier', 'Chalumeau', 'Chemin\\u00e9e', 'briquet', 'Chaud', 'chaud']","['movies', 'show', 'World', 'finale', 'novel', 'MLB']","['Friser', 'Lily', 'Gustave', 'Allergie']","['Colossal', 'Andre', 'green', 'Titan', 'Friendly', 'Beanstalk']","['Doux', 'Contrefa\\u00e7on', 'Dollar', 'Vert']","['Crimson', 'Trefoil', 'Lucky', 'Lucky']","['Mer', 'Pacifique', 'Eau', 'Danny']","['Democrats', 'burro', 'braying', ""mule's"", 'mule', 'Mule']","['Beach', 'Floor', 'castle', 'skulpture', 'Hornbaek', 'Kalahari']","['sock', 'Kermit', 'handy', 'Animal', 'ventriloquist', 'ventriloquist']","['Hitze', 'Garraum', 'Kuchen', 'Pizza', 'W\\u00e4rme', 'Backen']","['Martini', 'Cosmo', 'Drink', 'menu']","['balance', 'lightsaber', 'smile', 'Wooden', 'laser', 'piercing']","['Week', 'Game', 'Worlds', 'Death', 'Aftiteling', 'Afgrond']","['Boisson', 'comptoir', 'Piano', 'Tabouret', 'vin']","['Leo', 'Mufasa', 'africa', 'cat', 'Witch', 'Wardrobe']","['Needle', 'Spool', 'sewing', 'String']","['Migration', 'White', 'Lynx', 'Africa', 'Animal', 'Farm']","['tense', 'birthday', 'Wrapped', 'Gift', 'Currently', 'Past']","['Villes', 'Champs', 'pingre', 'souris', 'Animal', 'Peste']","['Almond', 'Soy', 'soy', 'almond']","['Glamdring', 'Bee', 'Quartet', 'ouch', 'Ray']","['Head', 'decapitate', 'French', 'decapitate', 'French']","['tsukauchi', 'Watson', 'cop', 'Investigator', 'Sherlock', 'Sherlock']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['Cigar', 'drug', 'Nicotine', 'Plantation', 'Smokeable']","['Champ', 'Pain', 'Entier', 'C\\u00e9r\\u00e9ale', 'C\\u00e9r\\u00e9ale', 'C\\u00e9r\\u00e9ale']","['Naitre', 'Legume', 'Surnom', 'salade', 'Soupe', 'soupe']","['Professeur', 'Pipas', 'arachide', 'graine', 'Huile', 'Huile']","['Asthma', 'Schlager', 'ersticken', 'HeleneFischer', 'HeleneFischer', 'Ersticken']","['Musique', 'Parole', 'Paroles', 'Musique']","['Fore', 'par', 'Mini', 'Fairway', 'Wii', 'Mickelson']","['pulling', 'string', 'Discord', 'forum', 'needle', 'needle']","['Oyster', 'Wisdom', 'Krabs', 'Daughter', ""Diver's"", 'treasure']","['Filming', ""Photographer's"", 'Nikon', 'shoot']","['Rocketeer', 'Armstrong', 'Helmet', 'Gagarin', 'NASA', 'Tereshkova']","['Canned', 'Pasta', 'Silver', 'Fish', 'Bluefin', 'Starkist']","['Chouchou', 'saut', 'pliable', '\\u00c9tirable', 'souple', 'souple']","['Swatter', 'Plane', 'teetse', 'gnat', 'Soar', 'Pegasus']","['Caverne', 'Lascaut']","['observe', 'Night', 'Pocket', 'tick', 'TIMEPIECE']","['Condiment', 'Amora', 'Mayonnaise', 'jaune', 'savora', 'Dijon']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['Cash', 'skoal', 'Pipe', 'Spittoon', 'nicotine', 'Nicotine']","['15%', '\\u30a2\\u30e1\\u30ea\\u30ab', '\\u30af\\u30a4\\u30ba', '\\u30b2\\u30fc\\u30e0']","['accoutrement', 'armament', 'lethal', 'knife', 'Anything', 'Staff']","['oven', 'custard', 'Chart', 'Baked', 'dough']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Electrical', 'Tesla', 'Life', 'AAA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Presidential', 'Vote', 'Choose', 'Politician']","['Clinton', 'gates', 'Dolla', 'Ted', 'Pay']","['volley', 'base', 'Dodge', 'basket']","['Premeal', 'Sliders', 'Starter', 'Starter']","['Up', 'prison', 'pad', 'down', 'Smith', 'smith']","['cluster', 'Universe', 'chocolate', 'Samsung', 'spiral', 'spiral']","['Porte', 'Abba', '\\u00c9change', 'Deutschemark', 'Pi\\u00e9cettes', 'Funny']","['Dodo', 'Canary', 'ostrich', 'bluejay', 'heron', 'pelican']"
Mystery Word,Flamme,Series,Chat,Giant,Billet,Clover,Oc\u00e9an,Donkey,Sand,Puppet,Ofen,Cocktail,Beam,End,Bar,Lion,Thread,Goat,Present,Rat,Milk,Sting,Guillotine,Detective,Pearl,Tobacco,Bl\u00e9,Chou,Tournesol,Atemlos,Chanson,Golf,Thread,Pearl,Camera,Astronaut,Tuna,\u00c9lastique,Fly,Grotte,Watch,Moutarde,Crescent,Museum,Tobacco,Tip,Weapon,Pie,Grape,Meerjungfrau,Battery,Anchor,Election,Bill,Ball,Appetizer,Lock,Galaxy,Monnaie,Bird
Guess,Feu,Series,Crini\u00e8re,Giant,Billet,Cross,oc\u00e9an,Donkey,sand,frog,Backofen,Cocktail,sword,End,Bar,lion,Thread,,Present,rat,Attorney,Sting,,Detective,mussel,tobacco,Bl\u00e9,Chou,Cacahu\u00e8te,Atemlos,Maison,Golf,,Pearl,Camera,astronaut,Tuna,\u00c9lastique,Fly,Grotte,Warch,Moutarde,Crescent,,tobacco,IQ,Weapon,Pie,,Meerjungfrau,Battery,,election,bill,Ball,Appetizer,Jumpsuit,galaxy,Money,Bird
