ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53
Table Number,511675551,511221983,511194442,510811961,510762337,510605123,510245688,510376074,510392027,509984871,510360489,510234757,510218293,509900139,510051909,509865444,509669320,509586342,509583671,509416152,509211925,509128013,508632568,508819213,508740938,508761165,508240050,508161670,507989928,508116165,507832390,507334076,507294423,506533866,506014207,505109239,504721368,504876059,503906863,503454797,500892294,496926213,496712411,493769667,489469138,489194416,488379380,484123113,422619886,420552674,366888891,356959263,338553253
Move,['7'],['32'],['7'],['15'],['16'],['19'],['22'],['63'],['31'],['28'],['44'],['9'],['24'],['31'],['47'],['65'],['56'],['61'],['79'],['36'],['65'],['37'],['45'],['74'],['24'],['69'],['52'],['18'],['49'],['66'],['10'],['45'],['63'],['46'],['73'],['58'],['67'],['24'],['100'],['15'],['92'],['102'],['247'],['57'],['372'],['377'],['79'],['431'],['682'],['763'],['1252'],['1618'],['1912']
Mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+
Language,English,English,English,Français,Deutsch,Français,English,Français,Français,English,Français,Deutsch,Français,English,English,English,Français,English,English,English,English,Français,English,English,English,Français,Deutsch,Français,English,English,English,English,English,English,English,Français,Français,English,English,English,English,English,English,English,Français,Français,Français,English,English,English,English,English,English
End,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['bread', 'mildew', 'Fungus', 'Cheese']","['Capitulate', 'Spelunking', 'stalactites', 'stalagmite', 'stalactite']","['Carter', 'rations', 'Critical', 'critical']","['pmu', '...', 'Risque', 'Mise']","['Hopfenkaltschale', 'G\\u00e4rung', 'Hofbr\\u00e4u', 'Hopfengetr\\u00e4nk', 'Hopfengetr\\u00e4nk']","['optique', 'Avion', 'Oasis', 'Leurre', 'illusion', 'Illusion']","['one-fourth', 'Percentage', 'Fourth', 'Fourth']","['Volant', ""d'Orient"", 'Moquette', 'Poker', '...', '...']","['Azul', 'Fen\\u00eatre', 'Arbal\\u00e8te', 'P\\u00e9tanque']","['Follicle', 'afro', 'head', 'stylist', 'ball', 'Bouffant']","['camelid\\u00e9', 'vilain', 'mammif\\u00e8re', 'Bactrine']","['Kirche', 'W\\u00e4chterin', 'Feuerfalle', 'Parthenon', 'Hinduistischer', 'Karnak']","['Projectile', 'Cible', 'Carquois', 'Munition', 'Arc', 'Arc']","['First', 'season', 'warm', 'PlumFlower']","['Kirin', 'Tyskie', 'Germany', 'Lager', 'Hop', 'Stout']","['Pixar', 'Automobile', 'Wagon', 'Mercedes', 'toy', 'Electric']","['ann\\u00e9e', 'trimestre', 'Pompier', 'semaine', 'lunaire', 'Lunaire']","['ash', '\\u30b7\\u30a7\\u30f3\\u30ed\\u30f3', '\\u307c\\u30fc\\u308b', '\\u30ea\\u30aa\\u30ec\\u30a4\\u30e4']","['\\u3072\\u3060\\u308a\\u3066', '\\u30aa\\u30af\\u30e9\\u30db\\u30de\\u30df\\u30ad\\u30b5\\u30fc', '\\u3057\\u3087\\u3063\\u304d', '\\u30d1\\u30b9\\u30bf']","['Rings', 'teary', 'Spring', 'Scallion', 'Garlic', 'Pickled']","['Armisty', 'Love', 'War', 'Calm', 'Dove', 'Dove']","['Cloque', 'Id\\u00e9e', 'Incandescent', '\\u00c9lectricit\\u00e9', 'Edison', 'Edison']","['Tidal', 'Swimming', 'backstroke', 'pocket', 'billiards', 'Billiards']","['Beer', 'Grain', 'Maizena', 'Catan']","['takoyaki', 'suction', 'Camouflage', 'Eight', 'Doctor', 'Villain']","['New-York', '1234', 'Transport', 'Saga']","['buddeln', 'Spielplatz', 'Schippe', 'Sandkasten']","['Volatile', 'Ara', 'Rio', 'Oiseau', 'Repetition', 'R\\u00e9p\\u00e9tition']","['Night', 'Fantasys', 'I..', 'OfJeannie', 'Sleep', 'Visions']","['Megan', 'Sourgrapes', 'news', 'Coyote']","['spade', 'diamond', 'UNO', 'Deck']","['#2', 'Fecal', 'Faeces', 'excrement', 'beetle', 'beetle']","['Booking', 'Guesthouse', 'five-star', 'VanderValk', 'Hilton', 'Hilton']","['Postage', 'Card', 'Letter', 'Seal']","['Squishy', 'tape', 'Earth', 'Earth', 'Wiggly', 'Wiggly']","['bible', 'objet', 'Roman', 'poche', 'Pages', 'Reliees']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['flowing', 'water', 'Amazon', 'Mississippi', 'Rapids', 'Pocahontas']","['Flowery', 'Fragrance', 'Artificial', 'Dior', 'scent', 'Scent']","['Rock', 'Instrument', 'Bongo']","['Shardblade', 'Dagger', 'Attack', 'Numchucks', 'sword', 'Sword']","['Howl', 'Wild', 'Akela', 'Pack', 'Lycanthrope', 'Mammal']","['solstice', 'Glau', 'cookout', 'Adder', 'Hot', 'Hot']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['Abri', 'Toile', 'Camping', 'bivouac', 'Quechua', 'quechua']","['-a2mains', 'sklibur', 'arme', 'bouclier']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['opener', 'fob', 'skeleton', 'answer', 'padlock', 'padlock']","['finder', 'buff', 'Animal', 'Breeding']","['bikini', 'beach', 'burkini', 'clothing', 'fastskin', 'outfit']","['spiky', 'prick', 'plant', 'Spike', 'Spike', 'Spike']","['Sheep-Granny', 'Plantain', 'slippery', 'Split', 'Split', 'Split']","['Bullion', 'Silver', 'mine', ""Fool's"", ""Fool's""]"
Mystery Word,Mold,Cave,Emergency,Pari,Bier,Mirage,Quarter,Tapis,Carreau,Hair,Chameau,Tempel,Fl\u00e8che,Spring,Beer,Car,Calendrier,Dragon,Fork,Onion,Peace,Ampoule,Pool,Wheat,Octopus,Taxi,Schaufel,Perroquet,Dream,Fox,Card,Dung,Hotel,Envelope,Worm,Livre,Vache,River,Perfume,Drum,Weapon,Wolf,Summer,Spider,Tente,\u00c9p\u00e9e,Poup\u00e9e,Key,Stud,Swimsuit,Cactus,Banana,Gold
Guess,Mold,Cave,,Paris,Bier,Mirage,Quarter,Tapis,Tir,Hair,Chameau,Tempel,Balle,Spring,Beer,Cars,Calendrier,Dragon,fork,Onion,peace,Ampoule,Pool,Trigo,Octopus,,,Perroquet,Dream,immigrant,Cards,Poop,hotel,Stamp,ball,Livre,Vache,river,Perfume,Drum,Weapon,wolf,summer,Spider,tente,Epee,Poup\u00e9e,key,Stud,Swimsuit,cactus,banana,ore
