ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55
Table Number,574622103,573387639,574402531,574386560,574252949,574001489,573686557,573695156,573731586,573753681,573134841,572988382,572604061,571878839,572483594,572378958,571968334,571302579,571195661,571529653,571281050,570957594,569827801,570662345,570524328,569665701,569521605,567969300,567247937,568010964,567928849,567516188,566662988,567090385,566409377,566195849,564964740,564815758,564729136,563097724,562738234,562524435,562133986,561337934,560134917,558785511,557419238,551312356,550187728,539412516,478416865,422619886,363390977,356959263,336562502
Move,['19'],['9'],['13'],['10'],['7'],['19'],['49'],['50'],['18'],['63'],['33'],['16'],['31'],['13'],['92'],['41'],['52'],['6'],['36'],['57'],['56'],['36'],['65'],['55'],['101'],['18'],['33'],['98'],['82'],['37'],['56'],['68'],['38'],['37'],['47'],['59'],['63'],['77'],['69'],['72'],['93'],['17'],['11'],['71'],['236'],['84'],['83'],['376'],['277'],['179'],['1593'],['931'],['2618'],['2245'],['2244']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode
Speed,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,English,English,English,Deutsch,Français,English,English,English,English,English,English,English,English,Deutsch,English,Deutsch,Français,English,English,Français,Deutsch,English,English,Deutsch,English,English,English,English,Deutsch,English,English,Français,English,Français,English,English,English,English,Français,English,Français,English,English,Français,Français,Français,English,Français,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Cia', 'information', 'Undercover', 'undercover']","['satyr', 'gold', 'skillet', 'peter', 'Peter', 'Peter']","['Egypt', 'Scheme', 'Triangle', 'khufu', 'Illuminati', 'Stones']","['sand', 'trap', 'lawn', 'hockey']","['Cookies', 'liquid', 'lactose', 'Lactose']","['Pruimer', 'fall', 'trap', 'Angelina', 'Brad', 'brad']","['Schiri', 'stopfen', 'Tabak', 'Schiedsrichter', 'Popeye']","['Valet', 'Louis', 'Baratheon', 'Galette']","['Arena', 'Ponzi', 'Tri\\u00e1ngulo', 'Egipto', 'Tetraedrum', 'Tetraedro']","['hobo', 'shelter', 'Sleeping', 'Outside', 'Modern', 'Tepee']","['Big', 'Room', 'Etiquette', 'Location', 'Blitz', 'Boxers']","['socket', 'Factory', 'Store', 'faucet', 'release']","['Larva', 'Wings', 'monarch', 'social', 'Caterpillar', 'Caterpillar']","['Taste', 'Buds', 'muscle', 'sense', 'wagon', 'forked']","['Suit', 'Clip-on', 'Draw', 'Knot']","['bolt', 'phillips', 'Driver', 'Metal', 'Bolts']","['Inquisiton', 'Grillabend', 'Hinrichtung', 'Fackel', 'Holzberg', 'Vollstreckung']","['Pillen', 'Doctor', 'Forma\\u00e7\\u00e3o', 'Sa\\u00fade', 'Drugs', 'Krank']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Pipeline', 'Poutine', 'butane', 'propane']","['creature', 'scampi', 'Brine', 'Paste', 'Shellfish', 'shell']","['doujinshi', 'shonen', 'Naruto', 'Book']","['Livre', 'shojo', 'Japonais', 'Otaku', 'Naruto', 'Naruto']","['Nasereiben', 'Schiff', 'Norden', 'Nordm\\u00e4nner', 'Obelix', 'Helm']","['dentist', 'chomper', 'molar', 'bicuspid', 'Brush', 'fairy']","['Dijon', 'pretzel', 'yellow', 'seed', 'Colonel', 'colonel']","['Steuermann', 'Auto', 'Cockpit', 'Bruch', 'Co']","['Rolling', 'Weight', 'Masonry', 'Flint', 'Age']","['Dragon', 'Keeper', 'SM', 'BDSM']","['Tigris', 'Euphrates', 'French', 'pastry', 'roll', 'moon']","['Straw', 'Cap', 'Bowler', 'Bobble', 'Stetson', 'toque']","['Kolonisierung', 'Wilde', 'Indianer', 'Film', 'Erbarmungslos', 'Eastwood']","['Preview', 'Content', 'Sun', 'Flat', 'movie', 'door']","['brain', 'hair', 'kopf', 'Top', 'Yuanling', 'Jinchizhanglao']","['feu', '18', 'borne', 'Uniforme', 'Bal', 'Incendie']","['drainage', 'Sanitation', 'Underground', 'TMNT', 'TMNT']","['Signe', 'Multiplication', 'Symbole', 'Chr\\u00e9tien', 'Rouge', 'Gammee']","['secret', 'whiskey', 'brandy', 'Container']","['B\\u00e1r\\u00e1ny', 'Bunda']","['chanson', 'Chrysalide', 'Voler', 'Couleurs', 'superbus', 'Superbus']","['Apple', 'Bosc', 'Canned', 'Fruit', 'Shaped', 'Shape']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['Canne', 'Entass\\u00e9s', 'Cuisiner', 'Conserves', 'Poisson', 'Poissons']","['Solo', 'Words', 'Bird', 'Hymn']","['Bellagio', 'spray', 'youth', 'chocolate', 'Soda', 'Bubbler']","['Graines', 'Jaune', 'fleur', '\\u00e9cale', 'professeur', 'Professeur']","['Princesse', 'Ch\\u00e2teau', 'Ma\\u00eetresses', 'Tour', 'Tour', 'Tour']","['Qui', 'Aimait', 'Double', 'Infiltration', 'Agent', 'Agent']","['Pewdiepie', 'Ennemy', 'drama', 'episodes']","['Chateau', 'Glauque', 'Prison', 'Dragon', 'Dragon', 'Prison']","['Lid', 'Cap', 'Hide', 'Mask']","['Spiderverse', 'Girasol', 'Seed', 'Moonweed', 'Gogh']","['Protecting', 'Cherbourg', 'Rihanna', 'Academy', 'rihanna', 'Academy']","['PassePartout', 'MimieMathy', 'Grincheux', 'Jardin', 'Timide', 'Atchoum']"
Mystery Word,Spy,Pan,Pyramid,Golf,Milk,Pit,Pfeife,Roi,Pyramid,Tent,Ballroom,Outlet,Butterfly,Tongue,Tie,Screw,Scheiterhaufen,Medicine,Rose,Gaz,Shrimp,Manga,Manga,Wikinger,Tooth,Mustard,Pilot,Stone,Dungeon,Crescent,Hat,Western,Screen,Head,Pompier,Sewer,Croix,Flask,Wool,Butterfly,Pear,Pluie,Galaxy,Sardine,Song,Fountain,Tournesol,Donjon,Espion,Series,Donjon,Cover,Sunflower,Umbrella,Nain
Guess,,Pan,Pyramid,Golf,Batter,Sky,Pfeife,Roi,Pyramid,Camping,Hall,plug,Butterfly,tongue,Tie,screw,Lagerfeuer,Medicine,Rose,gaz,Shrimp,manga,Manga,Vikinger,tooth,Mustard,Pilot,stone,Train,crescent,Hat,,,head,Pompier,tunnel,Croix,Bottle,pulcsi,butterfly,Pear,pluie,galaxy,Armoires,Song,fountain,Tournesol,Roi,espion,Series,Lugubre,cover,plant,Crusade,Nain
