ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63
Table Number,507708820,506579686,506713688,507221262,506378449,506580010,506613702,506189713,506133386,505803967,505677863,505531145,505724592,505424012,505372125,505356470,505172808,505085244,505109239,505083872,504986038,504721368,504756449,503953488,503875739,503763963,503780993,503636736,503753424,503684985,503394382,503164125,503063996,502555488,501861973,501283844,500892294,500868789,500686195,500103092,498936864,498546586,498158851,497475123,495583488,493769667,493675456,492358188,491305856,490280100,489194416,488379380,484123113,484682575,484195799,478658601,423771261,405054016,402108912,358827793,322726720,319065151,314360735
Move,['7'],['22'],['6'],['5'],['12'],['8'],['45'],['36'],['25'],['30'],['30'],['21'],['53'],['27'],['57'],['27'],['26'],['47'],['26'],['38'],['56'],['67'],['32'],['55'],['64'],['87'],['57'],['44'],['38'],['56'],['31'],['37'],['36'],['42'],['83'],['66'],['83'],['101'],['72'],['99'],['32'],['8'],['59'],['251'],['83'],['57'],['7'],['102'],['39'],['37'],['330'],['79'],['325'],['98'],['65'],['109'],['2431'],['2081'],['1494'],['2174'],['1239'],['430'],['3235']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,Deutsch,Français,English,English,English,English,English,English,English,Français,English,Français,Français,Français,Français,English,Français,English,Deutsch,Français,English,Deutsch,English,English,Français,English,Français,English,Français,English,Français,English,English,English,English,English,Français,English,Français,Deutsch,English,English,Deutsch,English,English,English,Français,Français,Français,Français,English,English,Français,English,Deutsch,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Tiniest', 'Orchestra', 'Bow', 'Instrument']","['game', 'Material', 'Piece', 'BGA']","['Schifffahrt', 'Dienstgrad', 'Soldat', 'Medalie', 'Uniform', 'Uniform']","['M6', 'Travail', 'T\\u00e9l\\u00e9vision', 'Collier']","['Bench', 'Coppola', 'Nicholas', 'Apen', 'Tweety', 'Shark']","['\\u3057\\u3093\\u3058\\u3087\\u3046\\u3064\\u3088\\u3057', '\\u30e9\\u30b9', 'BIG', '\\u3053\\u30fc\\u3072\\u30fc', 'coffee']","['Ginger', 'underground', 'carrot', 'Licorice', 'Mandragora', 'Cheer']","['Measure', 'Fish', 'Reptile\\u2019s', 'weight', 'Weight', 'weight']","['Lookout', 'Glass', 'Shagged', 'Me', 'Ware', 'Kids']","['Two', 'Couple', 'Twins', 'Pigeon', 'Glasses', 'Shoes']","['effect', '\\u3080\\u3052\\u3093\\u3060\\u3044', '\\u3044\\u3082\\u3080\\u3057', '\\u30ca\\u30a4\\u30d5', '\\u308a\\u3093\\u3077\\u3093', '\\u3053\\u3093\\u3061\\u3085\\u3046']","['Cello', 'Archet', 'Instrumental', 'Corde', 'Instrument', 'Instrument']","['Achilles', 'Foot', 'Boots', 'Stiletto']","['PDG', 'Couvre', 'top', 'etchebest']","['Cam\\u00e9ra', 'Acteurs', 'Festival', 'Cannes']","['Parking', 'Metro', 'billet', 'amoureux']","['Bandit', 'Mer', 'Sparow', 'Bateau']","['Wrist', 'K-pop', 'Marching', 'Orchestra', 'drummer', 'Symphony']","['charcuterie', 'sang', 'Doigts', 'Dodus', 'porte', 'pommes']","['Restrain', 'Rope', 'Shoestring', 'Knot', 'neck', 'Larry...']","['Avocado', '-Apfel', 'atom', 'Atom']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['Headlines', 'Classifieds', 'Times', 'Guardian', 'printed', 'information']","['Rom', 'Asterix', 'Lorbeerkranz', 'Salat', 'Gaius', 'Gaius']","['Sewage', 'Altieri', 'fink', 'water', 'Splinter', 'Splinter']","['Moses', 'Bin', 'Hoop', 'weave', 'Easter', 'ball']","['Fauve', 'Bengale', 'F\\u00e9lin', 'Rayure']","['cycle', 'Menstruation', 'Dot', 'Dot']","['\\u00c9nergie', 'Volt', 'Courant', 'Statique', 'Jus', 'Jus']","['Dinosaurfossil', 'white', 'saw', 'Marrow', 'pelvic', 'skeleton']","['Cheveux', 'Shampooing']","['money', 'Shekel', 'Yen', 'Yen']","['Baie', 'Baigner', 'Abandonn\\u00e9', 'Ch\\u00e2teau']","['Catheadon', 'Wisdom', 'Jer', 'Rowlet']","['Letter', 'Surround', 'Postmarked', 'enclose', 'Manila', 'Money']","['cresta', 'claudio', 'chop', 'ciego', 'Cacareo', 'Campo']","['Conch', 'Crab', 'Sea', 'beach', 'Turtle', 'Clam']","['teaser', 'Wagon', 'Hauling', 'Excerpt', 'Park', 'Preview']","['patissier', 'Artisan', 'p\\u00e9trir', 'Pain', 'P\\u00e9trin', 'P\\u00e9trin']","['\\u3084\\u304c\\u3044', '\\u30d5\\u30a7\\u30b9\\u30c6\\u30a3\\u30d0\\u30eb\\u30db\\u30fc\\u30eb', '\\u3058\\u3087\\u3046\\u307b\\u30fc\\u308b', '\\u30c1\\u30b1\\u30c3\\u30c8', '\\u30af\\u30e9\\u30b7\\u30c3\\u30af']","['Chanteuse', 'Inferno', 'mort', 'quandonnementpas']","['Richtige', 'Postcode', 'Gl\\u00fcckspiel', 'Gl\\u00fccksspiel']","['White', 'Fiat', 'Chinese', 'China']","['Twelfth', 'Yuletide', 'Chrismahanukwanzakah', 'Final', 'Winter', 'End']","['Kanonenmunition', 'Eis', 'Pistole', 'Bowling', 'Bahn']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['Thermostat', 'Enforcement', 'Sun', 'Wave']","['Canal', 'vestibule', 'Drum', 'hear', 'Dumbo', 'airpodholder']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['Carrousel', 'grand-8', 'foire', 'attraction']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['blown', 'chimes', 'blow', 'father', 'gust', 'gust']","['pizza', 'half', '15', '15minutes']","['Blancheneige', 'Jardin', 'Tyrion', 'Petit', 'Petit']","['Fly', 'Parent', 'chopper', 'Rescue', 'flying', 'kobe']","['Zeitung', 'Bearbeitung', 'Rembrandt', 'Computer-', 'hauer']","['Umbilical', 'Orange', 'Belly', 'Belly']","['Jethro', 'piccolo', 'instrument', 'Pahud', 'pan', 'pan']","['Peau', 'Gris', 't\\u00e9tu', 'comme']","['News', ""Ship's"", 'Butter', 'Stop', 'Ship', 'Stopping']","['Ayoade', 'Bryophyta', 'Bethlehem', 'humidity']","['police', 'luggage', 'Suit', 'Bag', 'Brief', 'Murder']"
Mystery Word,Violin,Board,Offizier,Cha\u00eene,Cage,Boss,Root,Scale,Spy,Pair,Butterfly,Violon,Heel,Chef,Cin\u00e9ma,Ticket,Pirate,Band,Boudin,Tie,Kern,Vache,Newspaper,Caesar,Rat,Basket,Tigre,Period,\u00c9lectricit\u00e9,Bone,Poil,Currency,Plage,Owl,Envelope,Rooster,Shell,Trailer,Boulanger,Concert,Paradis,Lotterie,Panda,December,Kugel,Spider,Heat,Ear,Baleine,Valise,Man\u00e8ge,Poup\u00e9e,Wind,Quarter,Nain,Helicopter,Bild,Navel,Flute,\u00c2ne,Anchor,Moss,Case
Guess,Violin,brick,Matrose,,Cage,BOSS,Root,scale,Spy,Pair,butterfly,Violon,Heel,Chef,Film,Ticket,pirate,,boudin,Tie,Kern,Vache,newspaper,Caesar,rat,Basket,Tigre,Period,\u00e9lectricit\u00e9,Bone,propre,dollar,Lac,Owl,envelope,Rooster,Shell,Trailer,Boulanger,Concert,Paradis,,castle,Christmas,Kugel,Spider,,ear,Baleine,valise,Man\u00e8ge,Poup\u00e9e,pinwheel,,Nain,helicopter,Bild,Naval,flute,Ane,,moss,Case
