ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60
Table Number,518135798,516909664,517807134,517595237,517599135,517469912,517259470,517095134,517098518,517039024,516570228,516773405,516738278,516715554,515743132,516194248,515976401,515558776,515518017,515657052,515586612,515531482,515358026,514896075,515037990,514707951,514559666,514467387,514438929,514377397,514339808,513879745,512715448,513081149,513175456,513099344,512998864,510746861,510734812,510522677,510539771,510269410,509897088,508853595,509310457,508151957,508116165,506713688,506189713,504783443,505196983,504721368,493769667,489469138,488379380,478416865,464921867,423771261,396307534,348838927
Move,['9'],['28'],['10'],['63'],['94'],['8'],['30'],['20'],['29'],['35'],['56'],['18'],['223'],['30'],['28'],['28'],['55'],['49'],['30'],['49'],['16'],['5'],['87'],['72'],['57'],['21'],['64'],['82'],['26'],['72'],['38'],['24'],['32'],['43'],['74'],['38'],['45'],['73'],['221'],['49'],['73'],['33'],['73'],['52'],['75'],['40'],['75'],['31'],['229'],['31'],['83'],['67'],['57'],['510'],['79'],['700'],['114'],['2789'],['559'],['1893']
Mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,English,English,English,English,Français,English,English,English,English,English,Français,Deutsch,English,English,Français,Français,English,English,English,Français,English,English,Français,English,Français,Français,English,Deutsch,English,English,English,Deutsch,English,English,English,Français,English,English,English,English,English,English,English,English,Deutsch,English,English,English,Français,English,Français,Français,Français,English,Deutsch,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['wind', 'Koo-tin-lok', 'JayChou', 'Love', 'natural', 'whirl']","['chanterelle', 'Toadstool', 'Psychedelic', 'Shiitake']","['Garlicbread', 'Small', 'Wings', 'Starter']","['Eden', 'lawn', 'Cultivate', 'seeds']","['Dolittle', 'Who', 'McCoy', 'The', 'Strangelove']","['Veneti\\u00eb', 'Jimcarrey', 'Kermit', 'Kijkgaten', 'Ooggat']","['Rainforest', 'Amazon', 'Tarzan', 'Tarzan']","['Disque', 'Miel', 'X', 'Gamma']","['Dining', 'Furniture', 'nightstand', 'Wood']","['graduation', 'Bundt', 'Wedding', 'Antoinette']","['crossroads', 'carrefour', 'bond', 'Petticoat', 'Bridge', 'Connection']","['Camp', 'Drill', 'combustion', 'arson', 'fireman', 'Flames']","['Hammer', 'Saw']","['ge\\u00f4le', 'pi\\u00e8ce', 'Maison', 'Prison']","['Catan', 'Glocken', 'Karten', 'Gesellschaft', 'Partie', 'Mensch-\\u00e4rgere-dich-nicht']","['hole', 'Hairy', 'Tricky', 'red', 'Candy', 'republican']","['Jig', 'Slow', 'tap', 'Art', 'Moms', 'Square']","['Cr\\u00e9mant', 'Bouteille', 'Dionysos', 'Gewurztraminer']","['Bebe', 'Diminutive', 'Cire', 'Barbie', 'jouet', 'Jouet']","['Corn', 'Ear', 'Harvest', 'Breakfast', 'Thins', 'Chaff']","['mazaretti', 'chevy', 'Horseless', 'Carriage']","['Kyoya', 'Finn', 'kuro', 'eyes']","['For\\u00eat', 'Maison', 'G\\u00e9n\\u00e9alogie', 'Pecher', 'tronc', 'Tronc']","['Banana', 'Yacht', 'Landing', 'dinghy', 'ketch', 'rowing']","['Mcqueen', 'Flits', '...boem', 'Donder', 'Grease', 'Grease']","['Traversin', 'dormir', 'coussin', 'Coussin']","['Basket', 'Base', 'Tennis', 'Sphere', 'masquerade', 'Foot']","['Narratif', 'Tir', 'Carquois', 'en-ciel', 'Ciel', 'Ciel']","['Cadeau', 'P\\u00e2te', 'Cheveux', 'D\\u2019or', 'Ceinture', 'Fris\\u00e9e']","['Podatek', 'Parkingowa', 'Bramki', 'pocztowa', 'Autostrada', 'autostradowa']","['Pferd', 'M\\u00e4nnlich', 'Vierbeiner', 'M\\u00e4hne']","['bird', 'skin', 'light', 'pluck', 'Birds', 'White']","['Tahiti', 'Gilligan', 'beach', 'exotic']","['911', 'Help', 'Ambulance', 'Diarrhea']","['Kasten', 'Zange', 'Maulschl\\u00fcssel', 'Koffer', 'Schraubendreher', 'Schraubendreher']","['Lighter', 'Marlboro', 'Light', 'Smokey', 'Ash', 'Ash']","['Paris', 'tube', 'Transit', 'City', 'Tokio', 'London']","['Defend', 'buckler', 'volcano', 'Wooden', 'Protection', 'Protection']","['Vendanges', 'Beaujolais', 'Rouge', 'Cepage', 'Bourgogne', 'Bourgogne']","['porthole', 'glass', 'Blinds', 'Pane', 'Explorer']","['Ave', 'cover', 'Deporte', '\\u00d1ato', 'Crowley', 'Amarillo']","['Camoflauge', 'Outdoor', 'Person', 'food', 'Tracking', 'tracking']","['\\u30c9\\u30ea\\u30c3\\u30d7', '\\u307e\\u3081', '\\u3059\\u305f\\u30fc\\u3070\\u3063\\u304f\\u3059', '\\u306b\\u304c\\u3044']","['\\u306b\\u3093\\u3052\\u3093', '\\u30c9\\u30e9\\u30af\\u30a8\\u3066\\u304d', '\\u30d4\\u30e9\\u30df\\u30c3\\u30c9', '\\u307b\\u3046\\u305f\\u3044', '\\u30db\\u30a6\\u30bf\\u30a4']","['payday', 'Weekday', 'Good', '13th']","['Antibiotica', 'Siroop', 'Ziekte', 'Genezen']","['Nutmeg', 'Cinnamon', 'Cinnamon']","['rund', 'Tanzabend', 'Abschluss', 'Basket', 'Werfen', 'Fuss']","['Massive', 'Gym', 'Tarzan', 'George', 'rainforest', 'rainforest']","['Cooker', 'Fan', 'Hot', 'Cooking']","['Flight', 'Commander', 'captain', 'license', 'Honda']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['sec', 'Fard', 'Perlimpinpin', 'talc', 'Coca\\u00efne', 'Coca\\u00efne']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['Transport', 'Spatiale', 'Spatial', 'Sanguin', 'Spatial', 'Sanguin']","['Gun', 'noise', 'Chitty', 'Energy']","['Sagen', 'Ger\\u00fccht', 'J\\u00f6rmungandr', 'Busters', 'Unwahrheit']","['Losanges', 'orifice', 'passage', 'food-air', 'Neck', 'neck']","['Calimero', 'Calimero', 'erraur', 'Erreur', 'Calimero', 'Erreur']"
Mystery Word,Tornado,Mushroom,Appetizer,Garden,Doctor,Mask,Jungle,Rayon,Table,Cake,Junction,Fire,Tool,Cellule,Spiel,Fox,Dance,Vin,Poup\u00e9e,Wheat,Car,Glasses,Arbre,Boat,Lightning,Oreiller,Ball,Arc,Boucle,Charge,Hengst,Feather,Island,Emergency,Werkzeug,Cigarette,Metro,Shield,Vin,Window,Duck,Hunter,Coffee,Mummy,Friday,Medicine,Spice,Ball,Jungle,Oven,Pilot,Vache,Spider,Poudre,Poup\u00e9e,Vaisseau,Bang,Mythos,Throat,Coquille
Guess,Storm,MUSHROOM,Nados,Garden,Doctor,,jungle,Rayon,Table,cake,junction,Fire,Tool,,Spiel,Foxy,Dance,vin,Poup\u00e9e,grain,Automobile,glasses,Arbre,Boat,Bliksum,,ball,arc,Boucle,Op\u0142ata,Hengst,Feather,Island,Emergency,Werkzeug,cigarette,metro,Shield,Vin,Window,,,coffee,hensin,friday,Medicatie,Spice,Ball,jungle,fry,Pilot,Vache,Spider,Poudre,Poup\u00e9e,Navette,Bang,Mythos,Throat,Flamme
