ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56
Table Number,574510057,574622103,574557909,574402531,574386560,573997585,574001489,573686557,573695156,573218567,573732828,573478692,572988382,572893494,572604061,571508244,571691396,571302579,571195661,571529653,571281050,570662345,570930435,570426642,569653565,569521605,569000947,569178978,568999874,568844193,567969300,568038398,567796044,567928849,566662988,567090385,566409377,566295689,564729136,564468602,562738234,562524435,562133986,561337934,560134917,558785511,557419238,534335856,528822756,516738278,511221983,478416865,422619886,417255169,363390977,336562502
Move,['7'],['19'],['32'],['13'],['10'],['12'],['19'],['49'],['50'],['47'],['36'],['27'],['16'],['65'],['31'],['17'],['85'],['6'],['37'],['62'],['56'],['55'],['36'],['33'],['63'],['33'],['37'],['55'],['60'],['65'],['98'],['85'],['107'],['56'],['38'],['37'],['47'],['42'],['69'],['93'],['93'],['17'],['11'],['71'],['236'],['84'],['83'],['1238'],['339'],['1367'],['1884'],['1593'],['931'],['2986'],['2618'],['2244']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,Français,English,English,English,English,Français,English,Deutsch,Français,Français,Français,English,English,Deutsch,English,English,English,English,Deutsch,Français,English,Deutsch,English,Français,English,Deutsch,Français,English,English,English,English,English,English,English,English,English,Français,English,English,English,English,Français,English,Français,English,English,Français,English,English,English,English,Français,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Pression', 'Chemise', 'Interrupteur', 'Acn\\u00e9']","['Cia', 'information', 'Undercover', 'undercover']","['Mr.0', 'Arabasta', 'Carnivore', 'Alligator']","['Egypt', 'Scheme', 'Triangle', 'khufu', 'Illuminati', 'Stones']","['sand', 'trap', 'lawn', 'hockey']","['Espelette', 'Arrache', 'dish', 'heat']","['Pruimer', 'fall', 'trap', 'Angelina', 'Brad', 'brad']","['Schiri', 'stopfen', 'Tabak', 'Schiedsrichter', 'Popeye']","['Valet', 'Louis', 'Baratheon', 'Galette']","['Enseignement', 'Scolarit\\u00e9', 'Buissonni\\u00e8re', 'Cartable', 'Montessori', 'Maternelle']","['balai', 'chaudron', 'Enchanteresse', 'Salem']","['Kosher', 'Morton', 'table', 'cHLORIDE', 'NaCl', 'Pork']","['socket', 'Factory', 'Store', 'faucet', 'release']","['Kabinett', 'Meeres', 'Nerhegeb', 'Schneewittchen']","['Larva', 'Wings', 'monarch', 'social', 'Caterpillar', 'Caterpillar']","['Mycelium', 'Mario', 'Porcini', 'deathcap', 'Truffle']","['Mood', 'Fellowship', 'signet', 'Engagement', 'circle']","['Pillen', 'Doctor', 'Forma\\u00e7\\u00e3o', 'Sa\\u00fade', 'Drugs', 'Krank']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Baguettes', 'Major', 'Son', 'Batterie']","['creature', 'scampi', 'Brine', 'Paste', 'Shellfish', 'shell']","['Nasereiben', 'Schiff', 'Norden', 'Nordm\\u00e4nner', 'Obelix', 'Helm']","['Camouflage', 'Orange', 'Gun', 'Poacher', 'Camo', 'Camo']","['debout', 'alarme', 'heure', 'Sonnerie']","['Bauta', 'Face', 'Iron', 'Iron']","['Steuermann', 'Auto', 'Cockpit', 'Bruch', 'Co']","['Kraken', 'Diplomatico', 'charette', 'alcool', 'punch', 'Punch']","['month', '25th', 'Bleak', 'Midwinter']","['stiller', 'Building', 'Old', 'artefacts', 'History', 'History']","['Vaccine', 'Illness', 'Covid', 'Tiny', 'ill', 'particles']","['Rolling', 'Weight', 'Masonry', 'Flint', 'Age']","['Limb', 'Twig', 'Local', 'Legislative', 'LIBRARY', 'Trolls']","['Toss', 'Handhold', 'bomb', 'Bruno', 'Pineapple', 'smoke']","['Straw', 'Cap', 'Bowler', 'Bobble', 'Stetson', 'toque']","['Preview', 'Content', 'Sun', 'Flat', 'movie', 'door']","['brain', 'hair', 'kopf', 'Top', 'Yuanling', 'Jinchizhanglao']","['feu', '18', 'borne', 'Uniforme', 'Bal', 'Incendie']","['Sol', 'Weekend', ""Lord's"", 'Day']","['B\\u00e1r\\u00e1ny', 'Bunda']","['English', 'Bobby', 'sheriff', 'workplace', 'Law', 'Enforcement']","['Apple', 'Bosc', 'Canned', 'Fruit', 'Shaped', 'Shape']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['Canne', 'Entass\\u00e9s', 'Cuisiner', 'Conserves', 'Poisson', 'Poissons']","['Solo', 'Words', 'Bird', 'Hymn']","['Bellagio', 'spray', 'youth', 'chocolate', 'Soda', 'Bubbler']","['Graines', 'Jaune', 'fleur', '\\u00e9cale', 'professeur', 'Professeur']","['Snake', 'inch', 'tape', 'Wiggley', 'Tape', 'Wiggly']","['Standup', 'Slapstick', 'Funny', 'Routine']","['Kings', 'Soldier']","['claudius', 'Groove', 'Roman', 'Penguin', 'Penguin']","['Chateau', 'Glauque', 'Prison', 'Dragon', 'Dragon', 'Prison']","['Lid', 'Cap', 'Hide', 'Mask']","['Dinner', 'Restaurant', 'Order', 'Browse', 'Pamphlet', 'Meals']","['Spiderverse', 'Girasol', 'Seed', 'Moonweed', 'Gogh']","['PassePartout', 'MimieMathy', 'Grincheux', 'Jardin', 'Timide', 'Atchoum']"
Mystery Word,Bouton,Spy,Crocodile,Pyramid,Golf,Piment,Pit,Pfeife,Roi,\u00c9cole,Sorci\u00e8re,Salt,Outlet,Spiegel,Butterfly,Mushroom,Ring,Medicine,Rose,Tambour,Shrimp,Wikinger,Hunter,R\u00e9veil,Mask,Pilot,Rhum,December,Museum,Virus,Stone,Branch,Grenade,Hat,Screen,Head,Pompier,Sunday,Wool,Police,Pear,Pluie,Galaxy,Sardine,Song,Fountain,Tournesol,Worm,Comedy,Knight,Emperor,Donjon,Cover,Menu,Sunflower,Nain
Guess,Bouton,,Crocodile,Pyramid,Golf,piment,Sky,Pfeife,Roi,\u00c9cole,,Salt,plug,Spiegel,Butterfly,Mushroom,Ring,Medicine,Rose,Tambour,Shrimp,Vikinger,Hunting,Reveil,Mask,Pilot,rhum,December,monuments,Virus,stone,Branch,Grenade,Hat,,head,Pompier,sunday,pulcsi,Police,Pear,pluie,galaxy,Armoires,Song,fountain,Tournesol,,comedy,Knight,Emperor,Lugubre,cover,Menu,plant,Nain
