ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80
Table Number,445197766,445175321,445091052,445081488,444954361,444946898,444924890,444805939,444471586,444472506,444466056,444468084,444426580,444386479,444304303,444046209,443958521,443947504,443870122,443819359,443758153,443530152,443497166,443493935,443360595,443362132,443254519,443155485,443128025,443073822,443013355,442986633,442941057,442755037,442653699,442659636,442586027,442523856,442356323,442066014,442005150,442005710,441917664,441748158,441715474,441606664,441435897,441340285,441125330,441032575,440978972,440934043,440668441,440225058,440175021,440137987,440061981,439942118,439839200,439393461,439107100,438948569,438944087,438284391,437748209,435781132,435366714,433052685,432865949,431356594,430526833,422619886,402108912,381777020,357001162,348838927,348302073,322726720,313533300,312175859
Move,5,6,12,9,12,6,52,9,5,47,36,28,22,28,36,50,19,46,19,32,91,46,26,19,36,92,57,49,28,22,49,57,67,12,47,48,63,14,46,64,47,42,111,96,93,75,72,93,109,14,7,73,84,106,25,85,93,25,52,60,113,97,56,68,111,11,69,85,20,8,18,288,623,774,1685,1338,2030,960,2950,1649
Clues,"['St\\u00e9toscope', 'M\\u00e9tier', 'Guillaume', '\\u00c9tudes']","['investigator', 'monocle', 'Investigate', 'Sleuth', 'Sherlock', 'Ace-Ventura']","['Great', 'Superior', 'Dale', 'Hollow', 'Huron', 'Huron']","['Petit', 'Oreo', 'Sabl\\u00e9', 'LU', 'Gourmandise', 'Croquant']","['Switch', 'Star', 'Street', 'Match', 'Lamp', 'Lamp']","['miss', 'gerbe', 'lauriers', '\\u00e9pines', 'Symbole', 'Royal']","['parabola', 'JenniferLawrence', 'Archery', 'archer', 'bending']","['Join', 'Stress', 'joint', 'juncture', 'Hem', 'Hem']","['Base', 'Source', 'Beer', 'Tree']","['Church', 'black', 'Mosque', 'hindu', 'Buddha', 'Artemis']","['Er', 'Childbirth', 'Building', 'Building']","['Envie', 'Sommeil', 'D\\u00e9sir', 'Songe', 'Songe', 'Songe']","['Bergloch', 'Stalagmit', 'L\\u00f6wen', 'Neandertaler']","['Conjurer', 'Showman', 'Illusion', 'Sorcier']","['Beteiligung', 'Urne', 'Demokratie', 'Demokratie']","['Seguin', 'Biquette', 'Baltringue', 'pentagone']","['Social', 'Media', 'Zuckerberg', 'Meta', 'Zuckerberg', 'Meta']","['Key', 'COmbination', 'Vault', 'password', 'pick', 'pad']","['Grill', 'hole', 'sinkhole', 'mosh', 'trap', 'crevasse']","['Picard', 'Worf', 'armstrong', 'aldrin', 'Space', 'Helmet']","['bearded', 'Firebreathing', 'Hoard', 'Puff', 'Breath', 'Rhaegal']","['luthier', 'alto', 'Stradivarius', 'Ingres', 'archet', 'Pisser']","['Bourgogne', 'Limace', 'Coquille', 'Coquille']","['Cr\\u00e8me', 'Kahle', 'Mignon', 'Bruxelles', 'faire.', '.blanc']","['Souffle', 'Mauvaise', 'dentifrice', 'F\\u00e9tide', 'Odeur', 'Odeur']","['Eight', 'grilled', 'Squid', 'Detroit', 'Cephalopod', 'Cephalopod']","['Oregano', 'Thyme', '420', 'weed', 'witchcraft', 'healing']","['Corm', 'Tuber', 'Filament', 'Change', 'incandescent', 'Tesla']","['experiment', 'Container', 'potion', 'Tube', 'drinking', 'Mad-Eye']","['Biggest', 'Mammal', 'Sea', 'Sperm']","['Meule', 'Moulu', 'Poudre', 'Bl\\u00e9', 'Bl\\u00e9', 'Bl\\u00e9']","['handpulled', 'palabok', 'spaghetti', 'Ramen']","['Respect', 'tie', 'tie', 'NA']","['Ice', 'mousse', 'Milkfat', 'Butter', 'of', 'Crop']","['granny', 'verte', 'Champomy', 'Cidre']","['Lit', 'Couverture', 'Natte', 'Palmier', 'Edredon', 'Edredon']","['protection', 'Magic', 'Sallet', 'CTE', 'hardhat', 'safety']","['Conan', 'Biden', 'Square', 'Glory']","['inside', 'Wash', 'Living', 'Den', 'bath', 'Bath']","['Sunkist', 'Speaker', 'villar', 'Tangerine', 'Annoying-']","['port', 'bight', 'Beach', 'Gulf', 'Cianshuei', 'Boats']","['Bakery', 'bread', 'Microwave', 'kitchen', 'Dutch']","['Jacketed', 'gun', 'Gunpowder', 'Zoo', 'Shoot', 'Shoot']","['Jaune', 'Chaussure', 'Table', 'Ace', 'Set', 'raquette']","['Little', 'Shetland', 'Trotter', 'petit', 'nain', 'Cheval']","['tubercule', 'Cubique', 'plante', 'Carr\\u00e9e', 'Phedre', 'ph\\u00e8dre']","['Animaux', 'excursion', 'Jeep', 'Afrique', 'Navigateur', 'Navigateur']","['indian', 'liner', 'Danny', 'Atlantic', 'Pacific', 'Pacific']","['Guernica', 'Pablo', 'Kubismus', 'Pablo', 'Pablo', 'Cubismus']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Melted', 'Burn', 'Wax', 'Wax']","['Clinics', 'ER', 'Aid', 'Medical']","['Driver', 'Transport', 'F150', 'Rivian', 'tow', 'tow']","['cloth', 'Square', 'Bib', 'Wipe', 'towelette', 'Towelette']","['Structural', 'rate', 'bowling', 'turn', 'Picture', 'Border']","['Chess', 'School', 'chalks', 'Monopoly', 'Directors', 'Directors']","['Porter', 'Stein', 'Hops', 'Mug', 'Brew', 'brew']","['hen', '-fil-A', 'peep', 'fowl', 'baby', 'Baby']","['Arrang\\u00e9', 'antilles', 'Martinique', 'Martinique']","['lake', 'desert', 'champagne', 'Supernova', 'H20', 'Spot']","['Floor', 'azul', 'linoleum', 'Grout', 'ceramic', 'Bathroom']","['Slippery', 'trombone', 'MICROSCOPE', 'Water', 'playground']","['Betriebsk\\u00fcche', 'Mittagspause', 'Mahlzeiten', 'Betrieb', 'Mensa', 'Mensa']","['fraction', 'residence', 'horse', 'Half', 'fourth', 'Fourth']","['Milo', 'Dog', 'Opera', 'Meow', 'Meow', 'Meow']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['Daddy', 'Ramses', 'Tutanchaton', 'Undead', 'Egyptian', 'Egyptian']","['Dune', 'muscade', 'Pain', 'Canelle']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['Chill', 'relax', 'Bloody', 'rest']","['0', 'X', 'browser', 'Browser']","['technique', 'Magic', 'prank', 'Prank']","['clean', 'alkali', 'bubble', 'Suds', 'suds', 'suds']","['Louvre', 'Smithsonian', 'Met', 'Exhibits']","['Judge', 'Wears', 'Draw', 'knot', 'Bow', 'bow']","['Bougie', 'Joyeux', '21', 'gateau', 'Quarante', 'Quarante']","['Pull', 'Merinos', 'Mouton', 'Roche', 'Matiere', 'Matiere']","['Early', 'Glow', 'Earth', 'Creature', 'Bait', 'Bait']","['straight', 'cupid', 'point', 'quiver', 'Pointer', 'quiver']","['Gagarin', '\\u0141ajka', 'Armstrong', 'Ksi\\u0119\\u017cyc']"
Mystery Word,Docteur,Detective,Lake,Biscuit,Light,Couronne,Bow,Seam,Root,Temple,Hospital,R\u00eave,H\u00f6hle,Magician,Wahl,Ch\u00e8vre,Facebook,Lock,Pit,Astronaut,Dragon,Violon,Escargot,Chou,Haleine,Octopus,Herb,Bulb,Flask,Whale,Farine,Noodle,Bow,Cream,Pomme,Couette,Helmet,Hunter,Room,Orange,Bay,Oven,Bullet,Tennis,Poney,Racine,Safari,Ocean,Picasso,Scale,Candle,Hospital,Truck,Napkin,Frame,Board,Beer,Chick,Rhum,Oasis,Tile,Slide,Kantine,Quarter,Cat,Poil,Mummy,\u00c9pice,Lamb,Sunday,Safari,Trick,Soap,Museum,Tie,Anniversaire,Laine,Worm,Arrow,Astronaut
Guess,Docteur,detective,Lake,Gateau,Light,Rose,bow,Junction,,God,Hospital,reve,H\u00f6hle,Magician,Friedhof,Ch\u00e8vre,Facebook,lock,pit,Astronaut,dragon,Violon,Escargot,Soupe,haleine,Octopus,Medicine,Bulb,flask,Whale,Farine,Noodle,artist,Cream,Pomme,sommeil,helmet,,Room,Orange,Bay,Oven,Bullet,Tennis,Poney,Racine,Safari,ocean,Picasso,,,hospital,truck,,Frame,Board,Beer,Chick,Rhum,Water,Tile,Algae,Kantine,Acre,cat,Poil,Mummy,Epice,,igiveup,,Magician,soap,Museum,hair,Anniversaire,Laine,Worm,Arrow,Astronaut
