ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58
Table Number,539794979,539262180,539327221,538960014,539056880,538590796,538692739,538703282,538404150,538427106,537515857,538203218,537725271,537527137,537166216,537315451,537176647,536807493,536792863,536712717,535977963,536326956,536275864,536050302,536221852,536115418,535800855,535380893,534720897,535286304,534528798,534620978,534087252,534343823,534335856,533093056,533212776,531294042,530819309,529212406,528624330,528244412,526405578,526272417,523577529,523793465,522327882,521791242,520589419,517125895,517095134,480055062,431028987,422619886,396307534,374138794,358827793,319065151
Move,['5'],['12'],['9'],['11'],['6'],['7'],['27'],['23'],['47'],['59'],['5'],['54'],['63'],['37'],['36'],['68'],['67'],['48'],['42'],['55'],['67'],['44'],['32'],['16'],['78'],['61'],['55'],['11'],['36'],['82'],['25'],['93'],['64'],['73'],['222'],['30'],['101'],['13'],['49'],['80'],['52'],['44'],['153'],['24'],['111'],['85'],['279'],['38'],['34'],['221'],['317'],['654'],['1444'],['795'],['652'],['1975'],['2555'],['515']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,Français,English,Français,English,Deutsch,English,English,Français,Français,English,English,English,Français,English,English,English,English,English,Deutsch,English,Deutsch,English,English,English,English,English,Français,Français,English,English,Deutsch,English,English,English,English,English,Deutsch,Français,English,English,English,English,Français,Français,Français,English,Français,English,English,English,Français,Deutsch,English,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['lyrique', 'rat', 'Garnier', 'gateau']","['Cistine', 'Micheal', 'heavenly', 'host', 'pinhead', 'Gabriel']","['froid', '\\u00e9t\\u00e9', 'Santa', 'FlocoN', 'Saison', 'saison']","['Prefood', 'Food', 'Teaser', 'Predinner']","['Freund', 'Comic', 'Zaubertrank', 'Hinkelstein', 'Obelix', 'Obelix']","['semolina', 'wheat', 'Grain', 'Round', 'Tabouleh', 'Morocco']","['Electric', 'Sprout', 'round', 'Tulip', 'Tulips', 'Tulip']","['\\u00e9toffe', 'cacher', 'Mariee', 'T\\u00eate']","['District', 'Cl\\u00e9mentine', 'Latin', 'ville', 'Cartel', 'premier']","['Johnny', 'Apple', 'Flax', 'Mustard', 'Plant', 'Sperm']","['Railway', 'station', 'Subway', 'Subway']","['coke', 'Gin', 'raisin', 'appleton', 'Malibu', 'molasses']","['course', 'textile', 'sol', 'sol']","['shinobi', 'Donatello', 'Kusarigama', 'Shaolon']","['Salt', 'Capsicum', 'shaker', 'Shaker']","['Dragon', 'Lettering', 'Skin', 'henna', 'Henna', 'Henna']","['clothing', 'Work', 'Dress', 'Police', 'Identical', 'mandatory']","['Skipjack', 'overfished', 'Ahi', 'Bluefin', 'bluefin', 'Bluefin']","['Superinteresse', 'Hobby', 'Eifersucht', 'Ritter']","['fling', 'Coil', 'fertility', 'Cleaning', 'Boing', 'Life']","['...ns\\u00e4ge', 'Sklave', 'H\\u00e4ftlingsbefesstigunsgegenstand', 'feingliedrig', 'Perlen', 'Perlen']","['Citrus', 'Shade', 'fruit', 'color', 'nectarine', 'terracotta']","['smart', 'IQ', 'einstein', 'hawkings']","['Cobra', 'Rattle', 'biggest', 'stuffed']","['Hypothesis', 'Experiment', 'Mystery', 'Theater', 'Chemistry', 'Physics']","['sensei', 'class', 'Kid', 'Belt', 'Japanese', 'Defence']","['Doges', 'Bouche', 'Garnier', 'Bourbon', 'Ch\\u00e2teau', 'Matignon']","['Collier', 'Doom', 'Bijou', 'Brillant', 'Hu\\u00eetre']","['FFVII', 'azure', 'Precipitation', 'Cumulonimbus']","['Baccardi', 'gone', 'Beverage', 'Pirate', 'Malibu', 'spiced']","['Religion', 'Sanctuary', 'Indiana', 'Kerkelijk', 'prey']","['Roman', 'Suds', 'Turkish', 'Hammam', 'Bubble', 'Bubble']","['Yacht', 'Galleon', 'Send', 'Battle']","['Pack', 'Wild', 'Howling', 'Were', 'Wilddog', 'Predator']","['pi', 'Round', 'Hoop', 'Revolution', 'Prayer', 'radius']","['Sea', 'Sail', 'Salty', 'Indian', 'Arctic', 'Tides']","['Jahrmarkt', 'Kirmes', 'Fahrgesch\\u00e4ft', 'Kirmes', 'Kirmes', 'Fahrgesch\\u00e4ft']","['Restaurant', 'Maigre', 'Service', 'Choix', 'Carte', 'Carte']","['It', 'Bozo', 'Funny', 'Smaldini', 'circus', 'makeup']","['Curl', 'Hello', 'Tidal', 'Tidal']","['toothpaste', 'container', 'pipe', 'soft', 'you', 'inner']","['tuxedo', 'garfield', 'Nip', 'meow', 'meow', 'Meow']","['Gardien', 'Mac\\u00e9o', 'Dieu', 'Aur\\u00e9ole']","['Concert', 'Notes', 'note', 'm\\u00e9lodie']","['Pancarte', 'succ\\u00e8s', 'Blanc', 'Bristol', 'Bricolage', 'colis']","['Paste', 'off', 'Hair', 'bristle', 'groom', 'paint']","['R\\u00e9cipient', 'Vitre', 'Miroir', ""d'eau"", 'plastique', 'Sable']","['wool', 'mehhhh', 'Count', 'grass', 'soft', 'Animal']","['Scneiden', 'schneiden', 'Nagel', 'Trennen', 'papier']","['Crawl', 'Sex', 'Underneath', 'Jail', 'Master', 'Traps']","['Gong', '\\u00c9glise', 'Dingdong', 'Eglise']","['T\\u00e4uschung', 'EAV-lied', 'W\\u00fcstenph\\u00e4nomen', 'Luftschichtenlichtbrechung', 'Erscheinung', 'Anagrom']","['Chocolate', 'Pub', 'Drinks', 'stool']","['circus', 'Performer', 'Red', 'Nose']","['rotational', 'energy', 'rotating', 'engine', 'revolving', 'rotor']","['cow', 'heap', 'poo', 'poop']","['Cordon', 'Ombilical', 'egocentrisme', 'organe']","['light', 'onion', 'Edison', 'Copy']"
Mystery Word,Op\u00e9ra,Angel,Hiver,Appetizer,Asterix,Couscous,Bulb,Voile,Quartier,Seed,Metro,Rum,Tapis,Ninja,Pepper,Tattoo,Uniform,Tuna,Leidenschaft,Spring,Kette,Orange,Genius,Snake,Science,Karate,Palais,Perle,Cloud,Rum,Tempel,Bath,Ship,Wolf,Circle,Ocean,Karussell,Menu,Clown,Wave,Tube,Cat,Ange,Musique,Carton,Brush,Verre,Sheep,Shears,Dungeon,Cloche,Fata Morgana,Bar,Clown,Turbine,Dung,Nombril,Bulb
Guess,Opera,angel,Hiver,Appetizer,Asterix,seed,bean,voile,Quartier,Fertilize,central,Sugar,tapis,Ninja,Pepper,Care,Uniform,Tuna,Leidenschaft,spring,Kette,orange,Genius,snake,science,Karate,Palais,Perle,Cloud,Rum,,bath,Ship,Wolf,circle,Ocean,Kirmes,Menu,clown,,toothbrush,cat,,Musique,CRton,,Verre,sheep,Schere,Dungeon,Cloche,Fatamorgana,Bar,Clown,Motor,Dung,Nombril,Bulb
