ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67
Table Number,528555144,528367123,528298801,527469878,527862316,527868335,527845125,527848625,527600898,527076264,527208734,527063265,527029597,526594990,526396033,526375460,526294954,526224139,526272417,525886705,525909589,525733903,524976643,525738113,525572868,525353801,525524355,525274507,525019528,524071158,523602163,523534665,523395476,522534931,522762765,522043003,521576994,521075789,520391399,518691126,518247278,517125895,517973951,517039024,516738278,515518017,514377397,509897088,507812897,508116165,507514787,504783443,496712411,489469138,489266717,484123113,480162112,480055062,466081205,464921867,431028987,420552674,417255169,374138794,343894377,322726720,314360735
Move,['10'],['6'],['5'],['8'],['9'],['12'],['6'],['6'],['18'],['28'],['27'],['83'],['5'],['38'],['40'],['18'],['21'],['65'],['6'],['30'],['61'],['28'],['36'],['36'],['56'],['73'],['54'],['66'],['94'],['35'],['30'],['20'],['57'],['18'],['114'],['5'],['11'],['54'],['21'],['68'],['86'],['120'],['17'],['35'],['527'],['31'],['301'],['73'],['82'],['75'],['37'],['31'],['459'],['720'],['37'],['716'],['45'],['556'],['207'],['198'],['1357'],['861'],['2209'],['1815'],['2885'],['1311'],['3372']
Mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,Français,English,English,Deutsch,English,English,English,English,English,English,English,English,English,English,Deutsch,Français,Français,Français,Français,Français,English,Français,Français,English,Français,Français,English,Français,Français,English,English,English,Français,English,English,English,English,English,English,English,English,English,English,Français,English,English,English,English,English,English,English,Français,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['\\u3059\\u3063\\u3071\\u306c\\u304d', '13', '\\u3056\\u3063\\u3057', '\\u30d6\\u30e9\\u30c3\\u30af', '\\u30d7\\u30ec\\u30df\\u30a2\\u30e0']","['Pixar', 'floor', 'Magma', 'lamp', 'Magma', 'Lamp']","['Queue', 'P\\u00e9tanque', 'Boules', 'huit']","['Orange', 'gourd', 'Orange', 'halloween', 'Halloween']","['White', 'cavities', 'Cube', ""Confectioner's"", 'Fructose', 'fructose']","['Roman', 'gedruckt', 'verbrennung', 'G\\u00f6bbels', 'Gebunden', 'gebunden']","['waddle', 'Antarctic', 'happy', 'feet', 'Emperor', 'Emperor']","['swing', 'course', 'Tiger', 'Woods', 'tiger', 'woods']","['siege', 'Minaret', 'lighthouse', 'highrise', 'Baradur', 'High']","['Nimbus', 'Fluffy', 'Floating', 'Stratus']","['Cutco', 'dagger', 'Cutter', 'paring', 'Stab', 'Jack']","['\\u30bb\\u30f3\\u30bf\\u30ea\\u30f3\\u30b0', '\\u30d0\\u30ae', '\\u30ad\\u30ea\\u30b9\\u30c8\\u304d\\u3087\\u3046', '\\u00d7', '\\u304d\\u3087\\u3046\\u304b\\u3044', '\\u30ed\\u30b6\\u30ea\\u30aa']","['spare', 'reaps', 'weapon', 'fish']","['Andromeda', 'Guardians', 'nebula', 'Theatre', 'theater', 'Theater']","['Flash', 'Raiden', 'Storming', 'bolt', 'weather', 'Rod']","['Salad', 'Saltwater', 'Fish', 'Ahi', 'Starkist', 'Starkist']","['Kassensteher', 'Giftig', 'Ayame', 'Tierkreiszeichen']","['confiture', 'baie', 'Tagada', 'Tartelette', 'Shortcake', 'tarte']","['Lumi\\u00e8re', 'Id\\u00e9e', 'Pus', 'Lampe']","['Intermittent', 'Du', 'Saltimbanques', 'Enfants', 'Repr\\u00e9sentation', 'Repr\\u00e9sentation']","['Barque', 'Vraquier', 'Ferry', 'Paquebot']","['V-Baton', 'crucifix', 'j\\u00e9sus', 'calvaire']","['Pound', 'M.C.', 'carpenter', 'Head', 'Nail', 'Nail']","['amora', 'dijon', 'Colonel', 'Sauce']","['Cher', 'Poisson', 'Gastronomie', 'Luxe', 'Gastronomie', 'Luxe']","['coward', 'poultry', 'McNugget', 'Wings', 'Farm', 'afraid']","['M\\u00e9lodie', 'Comptine', 'Op\\u00e9ra', 'Hyme', 'Paroles', 'Paroles']","['sorbet', 'tain', 'Boule', 'Vanille', 'Flotte', 'Congel\\u00e9e']","['Water', 'tulips', 'Rose', 'Ornamental', 'decorative', 'Greek']","['Golf', 'Cible', 'fissure', 'v\\u00eatement']","['vitres', 'volet', 'Huisserie', 'Menuiserie', 'Oscillo-battante', 'oscillo-battant']","['Woodwind', 'Silver', 'riley', 'band']","['armour', 'human', 'Defend', 'Block', 'protect', 'guard']","['Yam-tat-wah', 'Popcorn', 'AllAroundYou', 'Film', 'boardway', 'Boardway']","['lapin', 'P\\u00eacheur', 'Braconnier', 'Pr\\u00e9dateur', 'Fusil', 'poulet']","['Tail', 'Ride', 'Eeor', 'Grandad']","['Rail', 'watch', 'Protect', 'protect']","['eye', 'statue', 'Petrify', 'Petrificus']","['Choochoo', 'track', 'Transport', 'Rails', 'Shinkansen', 'rer']","['Monet', 'Sistine', 'Impressionist', 'Pollock', 'Seurat', 'canvas']","['Sanitary', 'Wipe', 'Dixie', 'Serviette']","['Flat', 'Surface', 'Air', 'Boeing', 'Aero', 'Level']","['sea', 'Flat', 'ship', 'magain', 'Yacht']","['graduation', 'Bundt', 'Wedding', 'Antoinette']","['Camouflage', 'Lizard']","['Bebe', 'Diminutive', 'Cire', 'Barbie', 'jouet', 'Jouet']","['szatynka', 'Dlugie', 'rude', 'Blond', 'blond', 'rude']","['\\u30c9\\u30ea\\u30c3\\u30d7', '\\u307e\\u3081', '\\u3059\\u305f\\u30fc\\u3070\\u3063\\u304f\\u3059', '\\u306b\\u304c\\u3044']","['yearn', 'Scented', 'needle', 'fresh', 'Coniferous', 'Norwegian']","['Nutmeg', 'Cinnamon', 'Cinnamon']","['stopper', 'Greatest', 'Display', 'demonstrate', 'Tell', 'Tell']","['Cooker', 'Fan', 'Hot', 'Cooking']","['cheer', 'ground', 'Beer', 'Turnip', 'Al-cute-a', 'canal']","['goufre', 'stalactites', 'Lascaux', 'Lascaux', 'Caverne', 'Caverne']","['crossword', 'Printed', 'Headline', 'Journalist']","['sipping', 'tube', 'scarecrow', 'hay', 'scarecrow', 'hay']","['Shamu', 'Orca', 'moby', 'dick', 'Fishy', 'Baluga']","['Suchmaschine', 'Microsoftkonkurrent', 'Seit15.09.1997', 'Irland', 'Suchmaschinengigant', 'Multimilliardendollarunternehmen']","['Dinner', 'Towel', 'Supper', 'Wiper']","['Camouflaged', 'Hue', 'Lizard', 'Lizard']","[""Go-Go's"", 'relaxation', 'Travel', 'Travel']","['device', 'earphone', 'soundbar', 'talker', 'talker', 'talker']","['Bounty', 'Mouth', 'Towlette', 'Lap', 'Cloth', 'Cloth']","['italian', 'mob', 'Sopranos', 'Sicily']","['AM', 'Good', 'Early', 'Day']","['Grinder', 'Corn', 'Flakes', 'Spicy', 'Sneeze', 'Black']","['Melted', 'Transparent', 'Beaker', 'smelted', 'Sand', 'sand']"
Mystery Word,Friday,Lava,Billard,Pumpkin,Sugar,Buch,Penguin,Golf,Tower,Cloud,Knife,Cross,Spear,Galaxy,Lightning,Tuna,Schlange,Fraise,Ampoule,Spectacle,Bateau,Croix,Hammer,Moutarde,Caviar,Chicken,Chanson,Glace,Vase,Trou,Fen\u00eatre,Flute,Shield,Cinema,Chasseur,Donkey,Guard,Medusa,Train,Painting,Napkin,Plane,Sail,Cake,Chameleon,Poup\u00e9e,Hair,Coffee,Pine,Spice,Show,Oven,Root,Grotte,Newspaper,Straw,Whale,Google,Napkin,Chameleon,Vacation,Speaker,Napkin,Mafia,Morning,Pepper,Glass
Guess,boss,up,billard,Guess,sugar,Buch,Penguin,Golf,TOWER,Cloud,Knife,cross,fishing,Galaxy,Lightning,Tuna,Schlange,Jeam,Ampoule,spectacle,Bateau,croix,Hammer,Moutarde,Aquarium,Chicken,Musique,Glace,plant,Trou,fen\u00eatre,flute,soldier,Movie,Chasseur,Donkey,,glass,train,painting,Napkin,Plane,sail,cake,Cameleon,Poup\u00e9e,Wlosy,coffee,Pine,Spice,show,fry,Root,grotte,Newspaper,straw,whale,Google,Napkin,Green,,Speaker,Napkin,mafia,Morning,Pepper,Glass
