ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64
Table Number,484178715,483854887,483774430,483714023,483617867,483353040,482593659,482955686,482794569,482835771,482686694,482501943,482545256,482460792,481815788,482306572,481556552,481747388,481646065,481261875,480192475,480824929,480718657,480442221,480770866,480203821,479106712,479718854,479290252,479677325,478633691,478644550,478232420,477899787,476681990,476564427,476741983,475857014,475235402,474111019,473319518,473890082,472781352,472630374,468164131,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,461036696,457064795,451463411,420552674,346689693,322628136
Move,['21'],['7'],['21'],['19'],['10'],['8'],['11'],['10'],['37'],['57'],['35'],['13'],['21'],['20'],['55'],['27'],['41'],['12'],['36'],['73'],['64'],['90'],['11'],['21'],['40'],['57'],['35'],['93'],['100'],['63'],['38'],['18'],['87'],['48'],['102'],['44'],['40'],['10'],['89'],['33'],['36'],['9'],['73'],['90'],['38'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['68'],['36'],['40'],['564'],['2730'],['4492']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,Français,English,Deutsch,Français,Deutsch,English,Français,English,English,English,Deutsch,English,English,Deutsch,English,Français,English,Français,Français,Français,English,Français,Deutsch,English,Deutsch,English,English,English,English,Français,English,English,English,Deutsch,English,English,English,Français,English,Deutsch,English,English,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,English,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite
Clues,"['\\u041e\\u043a\\u043e\\u043d\\u043d\\u043e\\u0435', '\\u041f\\u0443\\u043b\\u0435\\u043d\\u0435\\u043f\\u0440\\u043e\\u0431\\u0438\\u0432\\u0430\\u0435\\u043c\\u043e\\u0435', '\\u0425\\u0440\\u0443\\u0441\\u0442\\u0430\\u043b\\u044c', '\\u041e\\u0441\\u043a\\u043e\\u043b\\u043a\\u0438']","['Choron', 'P\\u00e9dagogue', 'Enseignant', 'Instituteur']","['Drop', 'lifesaving', 'PersonalConnections', 'skydiving', 'air', 'equipment']","['Kinderspielzeug', 'Technik', 'Klemmbaustein', 'bauen', 'Duplo', 'DUPLO']","['Cyclone', 'Tourbillon', 'Vent', 'Vent']","['Frack', 'S\\u00fcdpol', 'Fluguntauglich', 'Antarktis', 'Sissi']","['Hillary', 'For', 'Folsom', 'Blues']","['AAA', 'Plate', 'Face', 'Batterie']","['Ride', 'flamme', 'pedals', 'Raleigh', 'tandem', 'spokes']","['Got', 'Mustache', 'Cereal', 'Liquid', 'Moo', 'Drink']","['Phone', 'Mitochondria', 'prison', 'Blood', 'Blood']","['Marmelade', 'Frucht', 'Waldfrucht', 'Stachelstrauch', 'Fischteich', 'Abk\\u00fcrzung']","['Castle', 'Rapunzel', 'Diana', 'peach']","['T-shirt', 'fabric', 'arm', 'cuff', 'wrist', 'matte']","['Schranke', 'Fritten', 'Gelb', 'geriffelt', 'Kartoffelst\\u00e4bchen', 'Beilage']","['chewy', 'snickerdoodle', 'Tollhouse', 'Dough']","['Transport', 'cat\\u00e9naire', 'Thalys', 'Roulant', 'Retard']","['tall', 'building', 'Babel', 'Defense', 'Eiffel', 'Pisa']","['Ouille', 'Tombe', 'Camus', 'Niagara', 'Cascade', 'Boum']","['Cambriolage', 'casse', 'Vent', 'Oiseau', 'bourdon', ""L'arrach\\u00e9""]","['Canne', 'ingr\\u00e9dient', 'cristal', 'Caramel', 'Edulcorant', 'Canderel']","['sharp', 'Choke', 'Beheading', 'Antoinette', 'tools']","['reptile', 'gueule', 'caimans', 'vert']","['Idiophone', 'Pling', 'Mehrwinkelschlaginstrument', 'Instrument']","['Bean', 'Germinate', 'Eatables', 'Growth', 'Hufflepuff', 'Mung']","['Sch\\u00e4dlinge', 'Ratatouille', 'Bodentaube', 'Lese-', 'Nagetier', 'Remy']","['toy', 'Barbie', 'Barbie', 'Barbie']","['Twister', 'Huricane', 'Bihucourt', 'Tsunami', 'Wind', 'Wind']","['Boulder', 'Dwayne', 'Pebble', 'Fossil', 'Geode', 'igneous']","['breakfast', 'Dawn', 'Evening', 'coffee', 'Sunrise', 'Sunrise']","['serrure', 'Passe-Partout']","['Construction', 'neck', 'Egret', 'Machine', 'Liebherr', 'Ichabod']","['Shelter', 'Outside', 'Outdoors', 'Glamping', 'Pitch', 'tepee']","['Macchio', 'kata', 'dojo', 'Miyagi', 'belt', 'Belt']","['Fantasy', 'Noldor', 'Spitzohr', 'Zw\\u00f6lf', 'Fee', 'Tolkien']","['Say', 'Colby', 'Dairy', 'Wisconsin']","['Pulling', 'Grip', 'Tool', 'Tool']","['Newton', 'lab', 'biology', 'biology']","['Lenoir', 'Louboutin', 'Aiguille', 'Achille', 'Achille']","['Killer', 'Blue', 'Large', 'Sea']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Prince', 'Coronation', 'Queen', 'Royalty', 'Tiara']","['Oak', 'Pine', 'Sycamore', 'Linden', 'Birch']","['Stenen', 'Hoog', 'Beklimmen', 'Koud']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Sediment', 'Geode', 'granite', 'actor', 'salt', 'Gneiss']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['wall-e', 'pet', 'crawly', 'filthy', 'vermin', 'kitchen']","['priorit\\u00e9', 'moindre', 'rumble', 'sombrefer']","['Sword', 'swedish', 'Anchovy', 'Filet', 'Fresh']"
Mystery Word,Glass,Professeur,Parachute,Lego,Tornade,Kaiserpinguin,Prison,Pile,Bicycle,Milk,Cell,Brombeere,Princess,Sleeve,Pommes,Cookie,Train,Tower,Chute,Vol,Sucre,Guillotine,Crocodile,Triangel,Sprout,Ratte,Doll,Tornado,Rock,Morning,Cl\u00e9,Crane,Tent,Karate,Elfe,Cheese,Pliers,Science,Talon,Whale,Puder,Dress,Crown,Tree,Mountain,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Rock,Fox,Ninja,Cockroach,Mineur,Fish
Guess,glass,professeur,parachute,Lego,tornade,Pinguin,Prison,pile,bicycle,milk,Cell,Stachelbeere,Princess,Sleeve,Pommes,Cookie,train,tower,Chute,vol,sucre,Guillotine,crocodile,Glocke,Edamame,Ratte,Ball,tornado,Rock,Morning,Clef,Crane,Tent,Karate,Elben,Cheese,Hand,Science,Talon,Whale,Russ,,King,tree,Mountain,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,rock,Fox,,Cockroach,Mineur,fish
