ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71
Table Number,446308351,445873906,445876585,445742197,445702967,445658593,445612883,445534312,445277685,445174771,445081488,445061175,444991194,444901147,444885005,444743473,444728315,444628693,444335863,444324494,444184757,444011577,443699613,443581825,443524927,443360030,443080096,443073822,442988521,442941057,442659636,442557084,442523856,442429430,442259612,442217871,441538900,441032575,440978972,440932333,440922135,440912825,440225058,440183793,440060482,439675484,438356637,435781132,433612231,432865949,432632784,432637374,431028877,430526833,408307697,396307534,393621459,360247361,357001162,348838927,348302073,343894377,341401520,337346134,336562502,328236739,322726720,318929216,317609821,314877288,313533300
Move,27,9,6,14,9,18,8,6,27,16,38,5,18,76,35,21,72,28,18,19,73,66,69,42,14,38,72,22,17,67,60,101,14,38,74,57,16,14,7,41,74,73,106,93,113,39,106,11,61,20,57,53,224,18,52,285,745,1451,1698,1338,2036,1865,2179,3149,1315,2773,966,2469,1371,3314,2959
Clues,"['Jacuzzi', 'tub', 'shower', 'cleaning', 'bubble', 'bubble']","['twitter', 'stitch', 'spooled', 'Replies', 'Sewing', 'Weaver']","['Striped', 'Feline', 'Calvin', 'Hobbes', 'Orange', 'Cat']","['bobcaT', 'Predator', 'Midlife', 'Jaguar']","['Reel', 'angler', 'hook', 'hook', 'Trawler', 'Trawling']","['campout', 'camping', 'Canvas', 'Sleeping', 'pitch', 'Pitch']","['beef', 'Powder', 'Gas', 'Colonel', 'Colonel']","['Aid', 'Pogues', 'Rock', 'Group', 'Metal', 'Metal']","['falaise', 'Mousqueton', 'Grimper', 'Encha\\u00eenement', 'Arkose', 'Prise']","['Scorching', 'Warmth', 'Furnace', 'Miami', 'Miami']","['Particule', 'Ma\\u00efs', 'Moudre', 'bl\\u00e9', 'Folie', 'Beaut\\u00e9']","['Leprechaun', 'Charm', 'Honey', 'and']","['Jamaika', 'Genre', 'Marley', 'Ub40', 'Rastaz\\u00f6pfe', 'Rastamusik']","['Magnesia', 'Percent', 'Duds', 'breast', ""goat's"", ""mother's""]","['Fedora', 'Mexican', 'Hat', 'Mexican', 'hat']","['Harp', 'utopia', 'Lost', 'Nirvana']","['multilevel', 'polyhedron', 'Egyptian', 'Wonder', 'Giza', 'Giza']","['Word', '\\u30b5\\u30af\\u30e9\\u30ae\\u30cf\\u30ca\\u30df\\u30c1', 'FRUITS', 'Carry', '\\u30ef\\u30fc\\u30c9']","['instrument', 'ongle', 'k\\u00e9ratine', 'rhinoc\\u00e9ros', 'brume', 'brume']","['Trick', 'Fedora', 'noble', 'Cat', 'cap', 'Bowler']","['headstone', 'Pet', 'Yard', 'Graveyard', 'Graveyard']","['iPad', 'interface', 'Sun', 'Mesh', 'Monitor', 'Monitor']","['Coque', 'Arachides', 'Grenoble', 'macadamia', 'p\\u00e9can', 'p\\u00e9can']","['Wolken', 'Bliksem', 'Thor', 'Zeus', 'Zeus']","['Latte', 'Machhiato', 'Barista', 'Cortado', 'Arabica', 'Arabica']","['D\\u00e9tartrage', 'Carrie', 'Fraise', 'Bucal', 'Stomatologue', 'Stomatologue']","['vows', 'Bride', 'divorce', 'couple', 'Matrimony', 'matrimony']","['Biggest', 'Mammal', 'Sea', 'Sperm']","['Zee', 'Vis', 'Jaws', 'Vin']","['Respect', 'tie', 'tie', 'NA']","['Photo', 'Afrique', 'Tourisme', 'Folie', 'Savane', 'Savane']","['terre', 'Marelle', 'Paradis', 'Nuages', 'Nuage', 'mon-mardi']","['Conan', 'Biden', 'Square', 'Glory']","['Desert', 'Hallucination', 'oasis', 'illusion', 'Oasis', 'Illusion']","['drake', 'Goose', 'Howard', 'quack', 'mallard', 'Dodgeball']","['combo', 'Link', 'fools', 'Letter', 'rope', 'rope']","['Or', 'Argent', 'Pi\\u00e8ces', 'Pi\\u00e8ces', 'Argent']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Melted', 'Burn', 'Wax', 'Wax']","['Ungulate', 'Quadruped', 'Mj', 'Billy', 'Billy']","['Roue', 'bicyclette', 'bourvil', 'cyclo', 'Saumur']","['bird', 'tuxedo', 'waddle', 'Avian', 'Antarctica', 'Publisher']","['cloth', 'Square', 'Bib', 'Wipe', 'towelette', 'Towelette']","['Obscura', 'Film', 'canon', 'Photo', 'Holga', 'Aperture']","['Peigne', 'Cheval', 'Cheveux', 'Dents', 'Crini\\u00e8re', 'D\\u00e9m\\u00ealant']","['Wager', 'Gamble', 'Gambling', 'You']","['soy', 'Homogenised', 'Curdle', 'chocolate', 'lactaid', 'Lactaid']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['Bike', 'Football', 'MIPS', 'Sallet', 'Motorcycle', 'Construction']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['Daffodil', 'Carnation', 'Hydrangea', 'Alyssum']","['Cologne', 'Deoderant', 'Scent', 'Scented']","['news', 'host', 'harbour', 'Secure', 'boat', 'Boat']","['0', 'X', 'browser', 'Browser']","['Package', 'knife', 'Meat', 'Meat']","['Eat', 'thanksgiving', 'supper', 'brunch', 'Dinner', 'dinner']","['Piquet', 'ombrelle', 'Plage', '\\u00e9t\\u00e9', '\\u00e9t\\u00e9']","['VX', '\\u30d5\\u30b0', '\\u30c6\\u30c8\\u30ed\\u30c9\\u30c8\\u30ad\\u30b7\\u30f3', 'HFaq', '\\u305d\\u308a\\u307e\\u3061\\u305f\\u304b\\u3057', '\\u3068\\u308a\\u304b\\u3076\\u3068']","['leek', 'cry', 'Rings', 'Spring', 'layered', 'stinky']","['Bougie', 'Joyeux', '21', 'gateau', 'Quarante', 'Quarante']","['Glaive', 'Arme', 'Damocles', 'Dague', 'Sabre', 'Sabre']","['Egg', 'Home', 'eagle', 'basket']","['Wingless', 'Alicorn', 'Virgin', 'Mythical', 'Charlie', 'Horn']","['YOU.in.b4.everyone.else.says.you', 'You', 'Ace', 'u', 'u']","['Mirabelle', 'Rouge', 'doudou', 'cueillir', 'bigarreau', 'reverchon']","['knight', 'broken', 'Excalibur', 'Saber', 'blade']","['Mince', 'Leg', 'Baby', 'Sheep', 'Chops', 'Spring']","['luggage', '32kg', 'issues', 'Emotional', 'Emotional']","['beurre', 'Brasserie', 'Westmalle', 'Hopus', 'Pils', 'lupin']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']","['Einstein', 'Sheldon', 'IQ', 'smart', 'Lyrics', 'Mensa']"
Mystery Word,Bath,Thread,Tiger,Cougar,Fishing,Tent,Mustard,Band,Escalade,Heat,Grain,Clover,Reggae,Milk,Sombrero,Paradise,Pyramid,Basket,Corne,Hat,Cemetery,Screen,Noix,Thunder,Coffee,Dentiste,Marriage,Whale,Shark,Bow,Safari,Ciel,Hunter,Mirage,Duck,Chain,Monnaie,Scale,Candle,Goat,V\u00e9lo,Penguin,Napkin,Camera,Brosse,Bet,Milk,Poil,Helmet,Lamb,Flower,Perfume,Anchor,Safari,Butcher,Meal,Parasol,Poison,Onion,Anniversaire,\u00c9p\u00e9e,Nest,Unicorn,King,Cerise,Sword,Lamb,Baggage,Bi\u00e8re,Circle,Genius
Guess,bath,thread,Tiger,Cougar,Catch,tent,,First,Escalade,Heat,Brin,Clover,Raggae,Milk,hat,,Pyramid,basket,Corne,Hat,Cemetery,Screen,Noix,Onweer,coffee,dent,Wedding,Whale,Shark,artist,Safari,Ciel,,craving,duck,Chain,Bijou,,,Deer,V\u00e9lo,Penguin,,Camera,brosse,bet,Milk,Poil,Helmet,,flower,perfume,Port,,Amazon,dinner,Parasol,Poison,Onion,Anniversaire,\u00c9p\u00e9e,nest,Unicorn,High,cerise,sword,Lamb,Baggage,bi\u00e8re,Circle,genius
