ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79
Table Number,496532374,496712341,496190594,496205484,496193931,496122321,496180039,494934289,496054420,495963450,495605195,495336146,495331551,495228715,495135298,494660541,495004577,495050738,494780905,494974137,494939501,494798544,494257207,494663104,493972187,494229009,494232956,494260387,493925782,494057122,493867003,493662581,493453582,493355144,492868677,492924419,492631273,492241175,490945085,491657169,491800599,490834543,491305856,490280100,490240657,490039944,489221823,489194416,484682575,484435490,484206945,484195799,482734999,481212678,479677325,475857014,471793759,465730124,465730355,465730615,465732005,465733714,465664095,465664286,465669875,465665695,465435499,464921867,444471586,423771261,422619886,405054016,396307534,374138794,348302073,343894377,328236739,322726720,313533300
Move,['10'],['7'],['37'],['5'],['42'],['18'],['18'],['28'],['36'],['17'],['14'],['55'],['40'],['27'],['18'],['44'],['47'],['29'],['18'],['44'],['36'],['52'],['82'],['18'],['36'],['47'],['31'],['36'],['49'],['74'],['49'],['24'],['42'],['73'],['76'],['64'],['82'],['60'],['30'],['64'],['85'],['51'],['39'],['37'],['100'],['45'],['58'],['130'],['98'],['55'],['96'],['31'],['43'],['66'],['82'],['10'],['74'],['48'],['43'],['43'],['43'],['48'],['44'],['43'],['42'],['43'],['366'],['51'],['57'],['2135'],['634'],['1806'],['483'],['1461'],['2609'],['2545'],['3582'],['1207'],['3843']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,Français,English,English,English,Français,Deutsch,Français,English,English,English,Français,English,Deutsch,Français,English,English,English,English,Français,English,English,English,English,Français,English,English,English,English,English,Deutsch,Français,English,Français,Français,English,English,English,English,English,Français,Français,English,English,Français,Français,English,English,English,Français,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,English,English,Deutsch,English,English,English,English,Français,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Godard', 'Intensit\\u00e9', 'ardente', 'fruit', 'Amour', 'Amour']","['Antidote', 'Cabinet', 'Chinese', 'Remedy']","['Science', 'paracetamol', 'Vaccine', 'Health', 'Cabinet', 'Tablets']","['larynx', 'Gouffre', 'profonde', 'Profonde']","['Tablemanners', 'Cloth', 'Knoeien', 'Restaurant']","['Tarzan', 'George', 'Cruise', 'Kipling', 'Book', 'book']","['Borg', ""Rubik's"", '3D', 'Square', 'Shape', 'Polyhedron']","['vitr\\u00e9e', 'Crique', 'myrtille', 'Anges', 'luciani', 'Informatique']","['Avengers', 'gr\\u00fcn', 'Marvel', 'Dr.Banner']","['BouT', 'sauter', 'Tir', 'tirer']","['Manatee', 'Ruminant', 'Heifer', 'heifer']","['Old', 'Candle', 'Temperature', 'thrower', 'thrower', 'Thrower']","['Saddle', 'Jockey', 'shoe', 'Equestrian', 'Hiladgo']","['Lancer', 'Bois', 'Tranchant', 'Tomahawk', 'Bucheron', 'Bucheron']","['Sol', 'North', 'Shooting', 'Sun', 'Shooting', 'Sun']","['Zentralgestirn', 'Tageslicht', 'Brand', 'Warm', 'Aufgang', 'Lichtquelle']","['Mexicooooo', 'couvre-chef', 'mexicain', 'large', 'Mariachi', 'Marriachi']","['Cross', 'Crossroads', 'Intersection', 'intersection']","['antifreeze', 'Toxin', 'Monoxide', 'arsenic', 'Arsenic', 'Arsenic']","['hairdresser', 'pencil', 'COiffeur', 'Tool']","['Egypt', 'King', 'Queen', 'Gold']","['Luzerne', 'Atout', 'Irlande', 'Embl\\u00e8me']","['Massive', 'Kipling', 'welcome', 'place', 'Book', 'Tarzan']","['Lobe', 'Cartilage', 'Pierce', 'Listen', 'Corn', 'Q-tip']","['James', 'Fuzzy', 'cobbler', 'Hairy', 'Georgia', 'fruit']","['Solar', 'Outlook', 'date', 'Yearly', 'G-Suite', 'Appointment']","['Surveillance', 'Pellicule', 'Filmer', 'Objectif', 'Filmer', 'Objectif']","['mr.', 'Mechanical', 'R2D2', 'Wall-e', 'Cyborg', 'Metal']","['iron', 'Mario', 'Plumber', 'cylinder', 'long', 'Organ']","['Fastner', 'Clippers', 'File', 'Pound', 'Hammer', 'Hammer']","['cockpit', 'pre-series', 'Airplane', 'Trial', 'Control', 'Aviator']","['Connection', 'Join', 'Conjoin', 'Crossroad', 'Intersection', 'Synonym']","['Haufen', 'G\\u00fclle', 'Kuh', 'Kacke']","['dessert', 'givr\\u00e9e', '\\u00c2ge', 'Sorbet', 'Refroidi', 'C\\u00f4ne']","['Dead', 'Headstone', 'Plot', 'Serious', 'tomb', 'Tomb']","['T\\u00eate', 'Traversin', 'Plume', 'Taie', 'taie', 'taie']","['Vo\\u00fbte', 'triomphe', 'Robin', 'Narratif', 'Arbal\\u00e8te', 'Tell']","['more', 'pale', ""smoker's"", 'necessity', 'Less', 'Heavy']","['Zwart', 'Miauwen', 'Huisdier', 'Nieuws']","['Kayak', 'trip', 'Respite', 'Respite']","['peppermint', 'Limp', 'Stick', 'Sugar', 'Sugar', 'sugar']","['Playground', 'chute', 'Slippery', 'Slip', 'slip']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['Mammal', 'Trapper', 'Fuzz', 'Ball', 'elise', 'soft']","['Obsession', 'Timex', 'Clock', 'Rolex', 'Observe', 'dial']","['F4', 'Film', 'D\\u00e9bris', 'catastrophe']","['plante', 'jaune', 'huile', 'huile']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['vampire', 'Cooking', 'Italian', 'Bread', 'breath', 'Breath']","['Vollaile', 'Flic', 'Police', 'Kfc', 'KFC']","['Gleit', 'Styling', 'Haarschmiere', 'Haar-', 'Festigend']","['Partnership', 'NATO', 'Pact', 'NATO', 'Nato', 'Pact']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Newton', 'lab', 'biology', 'biology']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['Bird', 'KungFu', 'karate', 'kick']","['Titanic', 'ship', 'Killer', 'killer']","['Furry', 'bear', 'Two-toned', 'two-tone']","['Cashew', 'Brazil', 'squirrel', 'treat']","['Crimson', 'and', 'lucky', 'irish']","['Mean', 'Girls', 'kardashian', 'face']","['Dish', 'Liquid', 'sudsy', 'clean']","['Miniature', 'Prep', 'my', 'job']","['Great', 'desire', 'fruit', 'love']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['Engagement', 'gold', 'circus', 'perimeter']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Tsch\\u00fcss', '31', 'Town', 'Laken', 'K\\u00fcrbislaterne']","['Nicholas', 'Job', 'Nick', 'Chan']","['Opem', 'Tongue', 'Eat', 'Eating']","['eruption', 'Mana-Loa', 'Vesuvius', 'effusive', 'Lava', 'Haleakala']","['fruit', 'green', 'Shaped', 'drop']","['creuser', 'montagne', 'Sous', 'Manche', 'Sous', 'Manche']","['Of', 'Salt', 'Barley', 'Wheat']","['Poo', 'Swatter', 'Insect', 'Plane', 'plane']","['Print', 'Frame', 'Oil', 'Tent', 'Easel', 'Painting']","['mail', 'lorry', 'Tonka', 'flatbed', 'Uhaul', 'Haul']"
Mystery Word,Passion,Medicine,Medicine,Gorge,Napkin,Jungle,Cube,Baie,Hulk,Corde,Cow,Flame,Horse,Hache,Star,Sonne,Sombrero,Junction,Poison,Brush,Pharaoh,Tr\u00e8fle,Jungle,Ear,Peach,Calendar,Cam\u00e9ra,Robot,Pipe,Nail,Pilot,Junction,Mist,Glace,Grave,Oreiller,Arc,Lighter,Cat,Vacation,Cane,Slide,Baleine,Valise,Fur,Watch,Tornade,Tournesol,Quarter,Root,Garlic,Poulet,Gel,Alliance,Guard,Science,Cage,Crane,Iceberg,Panda,Nut,Clover,Plastic,Soap,Painting,Passion,Poker,Ring,Vegetable,Halloween,Firefighter,Mouth,Volcano,Pear,Tunnel,Grain,Fly,Canvas,Truck
Guess,D\u00e9mon,medicine,Medicine,Gorge,Servet,Jungle,cube,Baie,Hulk,corde,cow,hot,Horse,H\u00e2che,Pine,Sonne,Sombrero,Path,Poison,scissors,Pharaoh,Tr\u00e8fle,Jungle,Ear,peach,calendar,Cam\u00e9ra,robot,drain,nail,flight,Junction,Fladen,Glace,Cemetary,Oreiller,Arc,light,Cat,Canyon,polo,Slide,Baleine,valise,Fur,Watch,Tornade,Mimosa,,,Garlic,Poulet,Gel,Marriage,guard,Science,cage,Crane,Lifeboat,Grizzly,Nut,Clover,Cosmetics,Soap,Paint,Passion,Poker,Ring,Vegetable,Halloween,Firefighter,Mouth,volcano,pear,Tunnel,Grain,Fly,Art,Truck
