ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45
Table Number,583443864,582784470,582405413,582097141,582064913,581981495,581946877,581343883,581767722,581645780,581485531,581129445,580703909,580788243,580619419,579530410,578349815,579215113,578678645,578656661,578893521,576920182,577922074,577528424,577180892,576413622,575798268,575723606,575366215,571815545,571195661,570734438,569765107,569169544,567969300,566662988,557334313,551312356,539412516,521199099,517125895,466081205,464921867,420552674,374138794
Move,['10'],['29'],['18'],['25'],['43'],['38'],['32'],['15'],['9'],['75'],['55'],['55'],['48'],['30'],['83'],['92'],['48'],['25'],['84'],['72'],['123'],['10'],['59'],['106'],['91'],['19'],['20'],['41'],['68'],['89'],['37'],['38'],['176'],['152'],['205'],['56'],['647'],['523'],['235'],['949'],['478'],['770'],['773'],['1221'],['2363']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode
Speed,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,English,Français,English,English,English,English,English,English,English,Français,Deutsch,Deutsch,English,English,Français,English,Deutsch,Deutsch,English,English,English,Français,Deutsch,English,English,Français,English,Deutsch,English,Français,English,English,English,English,Français,English,Français,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Shark', 'Song', 'Crib', 'Bottle']","['Mighty', 'Down', 'Daisy', 'Breadcrumbs', 'Dan', 'Cover']","['explosion', 'Handheld', 'catch', 'hand', 'pin', 'Pin']","['Hive', 'Darling', 'Manuka', 'Sweet', 'Nectar', 'Nectar']","['Cadum', 'Areuh', 'nourrisson', 'pr\\u00e9matur\\u00e9', 'P\\u00e9diatrie', 'Sage-femme']","['offshoot', 'Tree', 'Git', 'Checkout', 'bank', 'Bank']","['Surround', 'mail', 'sealed', 'Delivery', 'Lick']","['American', '1776', 'Rebel', 'Guillotine']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['Pie', 'David', 'carving', 'Orange', 'Spice', ""jack-o'-lantern""]","['Dior', 'Eau', 'scented', 'Bouquet', 'liquid', 'spritz']","['Hole', 'Chain', 'unlocker', 'ring', 'door', 'opener']","['Mer', 'Dents', 'Dent', 'Aileron']","['Absturzhilfe', 'Flugzeugsprung', 'springen', 'auffangen', 'Infanterie', 'Sprungtuch']","['LaMuerte', 'Argentino', 'Argentinien', 'TANZ', 'Paartanz']","['Religious', 'Crucifix', 'X', 'ferry', 'Angry']","['malaria', 'Culicoidea', 'Wooden-Wonder', 'Vector-borneDisease', 'annoying', 'vampire']","['Mickey', 'gris', 'Chat', 'chat']","['Dominatrix', 'crack', 'crack', 'Crack']","['weiden', 'Catan', 'Einzahl', 'Hund', 'Wolle', 'Wolle']","['Gedr\\u00e4nge', '\\u00d6l', 'Heringswasserbewohner', 'B\\u00fcchsenfisch', 'Mallorcastrand', 'Dose']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['Dinosaur', 'Fairytale', 'Smaug', 'Strong', 'imaginary', 'Animals']","['Casting', 'Wall', 'cheeses', 'Spores', 'spores', 'Spores']","['tuichi', 'George', 'Liane', 'Mowgli']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Jesus', 'Jewelery', 'Easter', 'Redemption']","['Wolftrap', 'listen', 'Hollywood', 'Bowl']","['Dodo', 'Sommeil', 'Traversin', 'Coussin', 'Coussin', 'Coussin']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Spatial', 'Lune', 'Am\\u00e9ricain', 'Metier', 'M\\u00e9tier']","['Gouda', 'Cheddar', 'Wendy\\u2019s', 'Havarti']","['Ballad', 'swan', 'Track', 'Theme', 'Writer']","['Internet', 'Deacon', 'restaurant', 'computer', 'waitress', 'waiter']","['Dropbox', 'cumulonimbus', 'Cumulus', 'Stratus', 'Sky', 'Cotton']","['Premier', 'Degr\\u00e9s', 'Dr\\u00f4le', 'Rigolo', 'Comique', 'Comique']","['Korean', 'Conflict', 'Napoleonic', 'Vietnam']","['Chanson', 'Classique']","['Winter', 'Vine', 'Boob', 'Cucumber', 'Baller', 'Water']","['Film', 'House', 'fancy', 'theater']","['for', 'less', 'to', 'impress']","['forearm', 'Body', 'Image', 'Skin', 'art', 'Art']","['bob', 'bath', 'victoria', 'genoise']"
Mystery Word,Baby,Duck,Grenade,Honey,B\u00e9b\u00e9,Branch,Envelope,Revolution,Medal,Pumpkin,Perfume,Key,Requin,Fallschirm,Tango,Cross,Mosquito,Souris,Whip,Schaf,Sardine,Cup,Dragon,Mold,Jungle,Frankreich,Cross,Concert,Oreiller,Sting,Rose,Couch,Astronaute,Cheese,Song,Server,Cloud,Humour,War,Musique,Melon,Cinema,Dress,Tattoo,Sponge
Guess,Baby,Duck,grenade,Honey,B\u00e9b\u00e9,branch,Envelope,Revolution,medal,Pumpkin,Perfume,Key,Requin,Fallschirm,Mexiko,cross,mosquito,Souris,,Feld,Sardine,,Fantasy,,Jungle,Frankreich,cross,Music,Oreiller,Sting,Rose,Couch,Apollo,Cheese,Song,,Cloud,Blague,War,Tube,Globe,Studio,Dress,tattoo,sponge
