ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59
Table Number,457198181,457019141,456810278,456808852,456499089,456295529,456276681,455970678,455944000,455856411,455325991,455328020,455303315,455274224,455275490,455082060,455045761,454552328,454423550,454365085,454340708,454009839,453724178,453530516,453436342,453219940,453157825,453042281,452972658,452873797,452780156,452776511,451909063,451401548,451359006,450822521,450476300,449724610,449365455,448202573,447297035,446545117,446514318,446102639,445628197,444843544,443958521,443775902,442941057,441488112,441032575,402108912,353362991,344838144,331907183,330741642,321888448,317609821,314877288
Move,['11'],['9'],['6'],['6'],['29'],['9'],['15'],['16'],['36'],['24'],['51'],['47'],['31'],['56'],['27'],['37'],['16'],['55'],['30'],['45'],['42'],['84'],['105'],['63'],['85'],['67'],['24'],['64'],['95'],['74'],['84'],['57'],['109'],['81'],['41'],['75'],['68'],['67'],['93'],['40'],['61'],['100'],['20'],['96'],['26'],['66'],['75'],['642'],['67'],['102'],['16'],['787'],['1510'],['1450'],['875'],['2541'],['2850'],['1461'],['3314']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,English,Deutsch,English,Français,Deutsch,Deutsch,Deutsch,English,Français,English,Français,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,English,English,English,Français,English,English,English,English,Deutsch,Français,English,English,Français,Français,Deutsch,English,Deutsch,English,Deutsch,Français,English,English,English,English,English,English,English,Français,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['tarte', 'Lunettes', 'Rayons', 'astre', 'Rayon', 'Astre']","['HGV', 'Transportation', 'simulator', 'Wagon', 'lorry', 'Dump']","['Shoot', 'Animals', 'Samuel', 'Hastriter', 'Elk', 'Chaser']","['Giza', 'Tut', 'Egypt', 'Triangle', 'MLM', 'Khufu']","['K\\u00fcchenschabe', '\\u00dcberlebensk\\u00fcnstler', 'Spielzubeh\\u00f6r', 'Vorratssch\\u00e4dling', 'Ungeziefer', 'Ungeziefer']","['remove', 'Grass', 'comb', 'Gardening', 'autumn', 'Fall']","['odeur', 'glace', 'Arome', 'Vanille']","['Perwoll', 'Erstellen', 'Frisch', 'Frisch']","['Winston', 'Weltkrieg', 'Premierminister', 'England']","['Leuchtmittel', 'Kopf', 'Herbst', 'Gl\\u00fch', 'Gl\\u00fchlampenform']","['waist', 'Rubber', 'stretch', 'Stretch']","['Pipe', 'Nicotine', 'Chiquer', 'Cigarette', 'chesterfield', 'Chesterfield']","['Shoe', 'Cheek', 'lick', 'muscle', 'Lick', 'Muscle']","['Nerval', 'Abondance', 'Tric\\u00e9ratops', 'Rhinoc\\u00e9ros']","['profession', 'Spacefarer', 'Iss', 'Buzz', 'Gagarin', 'gagarin']","['road', 'Ink', 'mass', 'transit']","['precipitation', 'Dance', 'Downpour', 'Singing', 'Umbrella']","['booty', 'Coke', 'Bacardi', 'Mojito', 'Alcohol', 'sugarcane']","['Bird', 'Home', 'Circular', 'Twigs', 'Egg', 'Roost']","['Ellie', 'Human', 'Infant', 'Infant']","['Nyarlatotep', 'Loup', 'Ffp2', 'Ffp2']","['Brundle', 'Wings', 'Tsetse', 'Aircraft', 'Goldblum', 'Goldbloom']","['Boat', 'fly', 'Para', 'Captain', 'Pyrate', 'Wind']","['Fischer', 'strategy', 'Rook', 'Magnus', 'rook', 'Magnus']","['hipster', 'Moustache', 'Santa', 'crumbs', 'goatee', 'goatee']","['Hair', 'hairtie', 'Rubber', 'lycra', 'Waistband', 'waistband']","['Gunpowder', 'Nick', 'Warship', 'Stationary', 'Artillery', 'Artillery']","['Funk...', 'Teilung', 'Verbrecher', 'Zimmer', 'Knast', 'Knast']","['Subject', 'Astrophysics', 'Nebula', 'Method', 'Hypothesis', 'Einstein']","['waterfull', 'Siivutetaan', 'Galia', 'honey', 'Honey']","['funny', 'Tragedy', 'genre', 'Romantic-', 'Hilarious', 'giggle']","['rare', 'Corail', 'Rocaille', 'Collier', 'Huitre', 'Hu\\u00eetre']","['herbivore', 'Takenoko', 'friend-shaped', 'kungfu', 'bamboo', 'Bamboo']","['Final', 'Likingpark', '3-letters', '3-letters', 'Start', 'THESTART']","['Animal', 'Slaughterer', 'Cutter', 'Cutter']","['percent', 'give', 'upend', 'overbalance', 'Hint', 'Apex']","['Himmrlsk\\u00f6rper', 'Funkeln', 'Himmelsfixpunkt', '....projektor', '...von-Bethlehem']","['enveloppe', 'hockey', 'Stjacques', 'Escargot', 'oeuf', 'oeuf']","['green', 'Alley', 'Spare', 'spare', 'Lanes', 'lanes']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Centimes', 'Salle', 'Monnaie', 'Appartement']","['sol', 'Fa', 'Trousseau', 'possibles', 'Molette', 'Mollette']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['waistband', 'stretchy', 'spanx', 'Bands', 'Girl']","['Zigaretten', 'Rauchen', 'Pflanze', 'nikotin', 'Nikotinhaltig', 'pflanzlich']","['L4D2', 'Undead', 'Survival', 'Decayed', 'Brainsssss', 'BRAINS']","['br\\u00fcten', 'Kuckuck', 'Vogel', 'Eier', 'Vogel', 'Eier']","['Engin', 'Agricole', 'Engin', 'Agricole']","['Respect', 'tie', 'tie', 'NA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Gura', 'Predator', 'doot', 'hammerhead', 'Fuller', 'Carnivorous']","['zone', 'Jambo', 'Kangaskhan', 'jeep']","['jamba', 'squeeze', 'orange', 'orange']","['Aria', 'Sydney', 'Carmen', 'Phantom', 'Phantom', 'Phantom']","['Hagrid', 'Ogre', 'Vert', 'Vert']","['Fifteen', 'Minutes', 'Quadrant', 'Fourth', 'Fraction', 'Coin']","['Momifi\\u00e9', 'Rams\\u00e8s', 'Akhenaton', 'Hatchepsout', 'Roi', 'chef']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']"
Mystery Word,Soleil,Truck,Hunter,Pyramid,Kakerlake,Rake,Parfum,Neu,Churchill,Birne,Elastic,Tabac,Tongue,Corne,Astronaut,Rail,Rain,Rum,Nest,Baby,Masque,Fly,Sail,Chess,Beard,Elastic,Cannon,Zelle,Science,Melon,Comedy,Perle,Panda,End,Butcher,Tip,Stern,Coquille,Bowling,Grape,Pi\u00e8ce,Cl\u00e9,Meerjungfrau,Elastic,Tabak,Zombie,Nest,Tracteur,Bow,Anchor,Scale,Shark,Safari,Juice,Opera,G\u00e9ant,Quarter,Pharaon,Circle
Guess,,Truck,Hunter,Pyramid,kakerlake,Rake,Parfum,Neu,Churchill,Birne,Band,Fumer,,Corne,Astronaut,cab,rain,Rum,Nest,Baby,,fly,Sail,Price,beard,swimsuit,Cannon,Fahndung,Science,melon,comedy,Pierre,panda,countdown,Butcher,Legend,Stern,Coquille,,,pi\u00e8ce,Cl\u00e9,Meerjungfrau,Panties,Tabak,Zombie,,,artist,,,Shark,safari,juice,Opera,G\u00e9ant,Quarter,Phare_\u00e0_on,Circle
