ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56
Table Number,580245345,580329935,580009433,579779702,579691996,579691187,579691585,579215113,578983456,579218406,578837567,578653649,578675609,578546051,578270347,578460748,578450103,578381705,578260616,576920182,577439810,577395738,576660175,576529403,576337027,576413622,576416928,576102993,574898042,575483356,574669691,573434196,572966310,571195661,570957594,570807962,570734438,570477684,569521605,567406997,567157193,563814683,562524435,562133986,559608546,557334313,550187728,543879156,542849457,521199099,517125895,511221983,496712411,363390977,336562502,317609821
Move,['9'],['10'],['15'],['9'],['9'],['9'],['19'],['10'],['38'],['19'],['36'],['28'],['77'],['38'],['66'],['33'],['20'],['73'],['20'],['10'],['37'],['62'],['44'],['51'],['40'],['18'],['94'],['43'],['43'],['96'],['64'],['78'],['58'],['37'],['56'],['102'],['38'],['50'],['81'],['269'],['73'],['73'],['17'],['11'],['186'],['560'],['334'],['241'],['1085'],['901'],['472'],['2038'],['1060'],['2669'],['2300'],['2456']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,Français,English,English,English,English,English,Français,English,Français,Deutsch,English,English,English,Français,English,Français,English,English,English,English,English,English,English,Français,Deutsch,Deutsch,English,English,English,Français,Français,Français,Deutsch,English,English,English,English,Deutsch,Français,English,English,Français,English,Français,English,Français,Français,English,Français,English,English,English,English,Français,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Camping', 'pop-up', 'shelter', 'canvas', 'tarp', 'Rainfly']","['Jumelles', 'Defense', 'Pise', 'Pise']","['stake', 'heart', 'man', 'blood']","['Hip', 'Warm', 'Thermal', 'Conical', 'Thermos', 'Thermo']","['Poppins', 'Rain', 'Revolution', 'parasol', 'Parasol', 'Parasol']","['Pentium', 'Virus', 'Hardware', 'Laptop', 'Binary', 'Desktop']","['ascend', 'Rank', 'Hike', 'Ladder', 'up', 'Mitdbo']","['V\\u00e9lo', 'Tourne', 'Voiture', 'Avion']","['Gray', 'Dumbo', 'Pachyderm', 'Safari', 'tusk', 'Tusks']","['Casserole', 'Aluminium', 'fer', 'Acier', 'Acier', 'fer']","['Druckwerk', 'Roman', 'Lesen', 'Geschichten', 'Bibel', 'Gebunden']","['Advent', 'Gregorian', 'Program', 'lunar', 'Date', '12']","['Scythe', 'how', 'Scythe', 'How']","['Shop', 'Sweet', 'Cane', 'Cane', 'Cotton', 'Cotton']","['Candeloro', 'roulettes', 'Galoche', 'Galoche']","['twine', 'tie', 'skipping', 'hemp', 'Climbing', 'Accessory']","['Tuches', 'Baton', 'Patate', 'Patate']","['theater', 'Residue', 'director', 'M\\u00e9li\\u00e8s', 'thin', 'exposure']","['Mini', 'bar', 'Tipton', 'Transylvania', 'bell', 'lobby']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['Glacier', 'Floating', 'arctic', 'Polar', 'Lettuce', 'Titanic']","['Granules', 'Morocco', 'Pearl', 'Israeli', 'Pilaf']","['Nasdaq', 'Trade', 'Exchange', 'Goods']","['Esophagus', 'Cut', 'dry', 'Neck', 'swallowing', 'Swallow']","['sport', 'upercut', 'Tyson', 'Cassius']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Rigel', 'Taler', 'Sonne', 'Beteigeuze']","['photon', 'Kindle', 'feather', 'star']","['7pm', 'Nighttime', 'time', 'late', 'after', 'dinner']","['Young', 'Infant', 'underage', 'Little', 'underage', 'Little']","['Saumon', 'brouillard', 'Chicha', 'Chicha']","['Duel', 'Arme', 'Sword', 'Cutlass', 'fleuret', 'foil']","['Militaire', 'Bleu', 'T\\u00eate', 'protection', 'Moto', 'moto']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Federer', 'Ace', 'Wimbledon', 'Wimbledon']","['container', 'Bicycle', 'Case', 'Weaving', 'weave', 'Hoop']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Gaiden', 'Naruto', 'Nippon', 'Shuriken', 'Stealth', 'Stealth']","['Orient', 'Jasmin', 'Wunderlampe', 'M\\u00e4rchen', 'M\\u00e4rchen']","['Mariage', 'Charia', 'Bateau', 'Bateau']","['1st', 'course', 'whetting', 'snack', ""Starvin'"", 'Marvin']","['Spear', 'Rifle', 'Broadsword', 'Shotgun', 'Violent', 'Utilised']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['division', 'arbre', 'Racine', 'Aerienne']","['Animal', 'pasture', 'Wolf', 'Clothes', 'Catan', 'Catan']","['Friandise', 'Halloween', 'Malabar', 'Carambar', 'Sucrerie', 'Caramel']","['Casse', 'Huile', 'P\\u00e9can', 'Coco', 'Cajou', 'Cajou']","['Walking', 'Sugar', 'Old', 'Support', 'Citizen', 'Crutch']","['Pmu', 'Automobile']","['Cake', 'Guardian', 'Eyes', 'Biblical', 'Topper', 'Cherub']","['Pineapple', 'Dominos', 'Hawaiian', 'Domino\\u2019s', 'hawiian']","['old', 'mcdonald', 'Dairy', 'Funny', 'Animals', 'Animal']","['VCU', 'Argonauts', 'Battering', 'dodge', 'Truck']","['Routi\\u00e8re', 'IGN', 'Tr\\u00e9sor', 'Tarot', 'Jeu', 'Jeu']","['\\u00e0pain', 'cr\\u00e9mation', 'Micro-onde', 'Midable', 'Moulin', 'Moulin']"
Mystery Word,Tent,Tour,Vampire,Flask,Umbrella,Computer,Climb,Roue,Elephant,M\u00e9tal,Buch,Calendar,Mill,Candy,Patin,Rope,Frites,Film,Hotel,Cup,Iceberg,Couscous,Stock,Throat,Boxe,Frankreich,Stern,Light,Evening,Minor,Fum\u00e9e,\u00c9p\u00e9e,Casque,Rose,Tennis,Basket,Couch,Ninja,Aladdin,Voile,Appetizer,Weapon,Pluie,Galaxy,Branche,Sheep,Bonbon,Noix,Cane,Course,Angel,Pizza,Farm,Ram,Carte,Four
Guess,Tent,Tour,vampire,Flask,War,Computer,Climb,roue,elephant,Marmite,Buch,Calendar,,Bakery,patin,,Famille,,hotel,,Antarctica,Couscous,Stock,Throat,Boxe,Frankreich,Stern,light,Bedtime,baby,Fum\u00e9,Couteau,Casque,Rose,Tennis,basket,Couch,Ninja,Aladin,Robe,Appetizer,Weapon,pluie,galaxy,branche,Sheep,Bonbon,noix,Cane,Course,Angel,Pizza,Farm,ram,Carte,Four
