ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61
Table Number,522767375,521579994,522117108,521648485,522327882,522043003,522074776,521976502,521939464,521938924,521788218,521586091,521708459,521576994,521199099,520391399,520987556,520583929,520958200,520820103,520729232,520657365,520704045,520055966,520154633,520168238,520146397,519484673,519556051,518816937,518683308,518583318,518178811,517973951,517678078,517103589,517095134,517039024,516738278,516089261,515518017,514679425,514377397,512785830,510269410,509897088,509348231,508762408,507812897,508116165,504783443,504721368,504876059,495208466,489194416,480055062,426921218,387173467,358827793,336562502,319065151
Move,['5'],['18'],['24'],['16'],['9'],['5'],['23'],['36'],['18'],['24'],['31'],['27'],['44'],['11'],['46'],['21'],['67'],['8'],['28'],['28'],['43'],['31'],['85'],['33'],['37'],['49'],['56'],['32'],['37'],['49'],['64'],['32'],['62'],['17'],['50'],['42'],['79'],['35'],['412'],['75'],['31'],['74'],['188'],['64'],['33'],['73'],['384'],['202'],['64'],['75'],['31'],['67'],['30'],['75'],['551'],['507'],['862'],['1877'],['2354'],['1937'],['457']
Mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode
Speed,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,Deutsch,Français,English,English,English,English,Français,Français,English,English,English,Français,English,English,English,English,Français,English,English,English,Deutsch,English,English,Français,English,Deutsch,English,English,Français,Français,English,Deutsch,English,Français,English,English,English,Français,English,English,Deutsch,English,English,English,English,English,English,English,Français,English,English,Français,Deutsch,English,English,Français,Français,English
End,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Press\\u00e9', 'H\\u00f4pital', '911', 'Pressante']","['Cardboard', 'Voice', 'carton', 'X...', 'Package', 'Container']","['Pork', 'Peach', 'Pizza', 'Apple', 'blueberry']","['Flussstr\\u00f6mung', 'Getreideverarbeitung', 'Mehlproduktion', 'Maschine', 'Mehlproduktionsgeb\\u00e4ude']","['exporte-A', 'm\\u00e9got', 'Marlboro', 'fum\\u00e9e', 'Fum\\u00e9e', 'Fum\\u00e9e']","['Tail', 'Ride', 'Eeor', 'Grandad']","['Rifle', 'Caperucita', 'Rick', 'X', 'x', 'X']","['This', 'Little', 'Ham', 'Boar', 'Skin', 'Pork']","['Imbibe', 'Distilled', 'Isopropyl', 'Tequila', 'Scotch', 'Cask']","['Centre', 'Bidon', 'Cordon', 'Trou', 'Ventre', 'Ventre']","['baisser', 'D\\u00e9gringole', 'tomber', 'Tombe']","['treasure', 'pectoral', 'Hairy', 'Lunge', 'Drawers', 'Toy']","['Edward', 'Fangs', 'Night', 'Creature', 'Transylvania', 'Carotid']","['Rail', 'watch', 'Protect', 'protect']","['Lig', 'insecte', 'Effet', 'Cocon', 'Macaon', 'l\\u00e9pidopt\\u00e8res']","['Choochoo', 'track', 'Transport', 'Rails', 'Shinkansen', 'rer']","['French', 'sparkles', 'fizz', 'wine', 'Mo\\u00ebt', 'Mo\\u00ebt']","['stop', 'Kuh', 'optimusprime', 'Autobahn', 'Brummi']","['damp', 'Flowerless', 'Humid', 'Fishtank', 'Greenery', 'Kate']","['Ulysse', 'Alarme', 'pompiers', 'Klaxon']","['Directions', 'Dart', 'Pointer', 'Bow', 'Point', 'Bow']","['Forest', 'Conifer', 'Evergreen', 'Tree', 'Needle', 'Needles']","['Roadshow', 'Ringling', 'Trapeze', 'Monkeys', 'Ringmaster', 'Barnum']","['stechen', 'Stechvieh', 'Stich', 'Mosquito', 'Mosquito']","['mob', 'hitmen', '3-6', 'gangsters']","['cathetus', 'Love', 'tetrahedron', 'Bermuda', 'geometry', 'Instrument']","['fromage', 'rocamadour', 'Soignon', 'Biquette', 'Seguin', 'Rendre']","['intersection', 'joining', 'Waistcoatslip', 'Coupling', 'Petticoat', 'Station']","['Verliererwunsch', 'Gegenaktion', 'Reaktion', 'Verrat', 'Revanche', 'Revanche']","['Crusoe', 'Black', 'freaky', 'freedom', 'Thursday', 'Saturday']","['log', 'straight', 'Transporter', 'Scotty', 'Balance', 'Balance']","['Chambre', 'California', 'Mercure', 'Mercure']","['roulettes', 'soute', 'Suppl\\u00e9ment', 'poids', 'voyage', 'cabine']","['sea', 'Flat', 'ship', 'magain', 'Yacht']","['K\\u00e4fig', 'Hagenbeck', 'Gorilla', 'Gehege', 'Gehege']","['Zeus', 'Power', 'Storms', 'Yellow', 'Bolt', 'Bolt']","['Feu', 'Braise', 'Olympique', 'Briquet']","['graduation', 'Bundt', 'Wedding', 'Antoinette']","['Money', 'Element']","['Family', 'Double-sided', 'Espionage', 'Mi6', 'Agent', 'Undercover']","['Bebe', 'Diminutive', 'Cire', 'Barbie', 'jouet', 'Jouet']","['hoot', 'barn', 'Snowy', 'Duolingo', 'Stare']","['D\\u017awi\\u0119k', 'Kierownica', 'kozi', 'obfito\\u015bci', 'titek', 'ostrzegawczy']","['Kappe', 'M\\u00fcnchhausen', 'Schandmaul', 'Eulenspiegel', 'Eulenspiegel']","['Camoflauge', 'Outdoor', 'Person', 'food', 'Tracking', 'tracking']","['\\u30c9\\u30ea\\u30c3\\u30d7', '\\u307e\\u3081', '\\u3059\\u305f\\u30fc\\u3070\\u3063\\u304f\\u3059', '\\u306b\\u304c\\u3044']","['choker', 'pendant', 'Jewelry', 'Jewelry']","['Melody', 'Bird', 'Music', 'rhapsody']","['chopped', 'punishment', 'Headless', 'execution', 'eatcake', 'Bastille']","['Nutmeg', 'Cinnamon', 'Cinnamon']","['Cooker', 'Fan', 'Hot', 'Cooking']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['Thwack', 'Naenae', 'Hair', 'Crack', 'Cool', 'Cool']","['Nickle', 'Slot', 'Loose', '1$']","['Avent', 'pompier', ""-de-l'avant"", '-gr\\u00e9gorien']","['Salzgegner', 'Gew\\u00fcrzk\\u00f6rner', 'nasenreinigend', 'geschmackverbessernd', 'Hasenliege', 'Streuer']","['M', 'For', 'Curious', 'George']","['Strangle', 'anatomy', 'Tube', 'Underchin', 'Deep', 'Slit']","['4fromages', 'Napolitaine', 'Repas', 'Donatello']","['Beaut\\u00e9', 'M\\u00fbre', 'Femme', '40ans', 'Lynx', 'Puma']","['gladiator', 'protect', 'Buckler', 'Dalkon']"
Mystery Word,Urgence,Box,Pie,M\u00fchle,Cigarette,Donkey,Hunter,Pig,Alcohol,Nombril,Chute,Chest,Vampire,Guard,Papillon,Train,Champagne,Truck,Moss,Sir\u00e8ne,Arrow,Pine,Circus,M\u00fccke,Mafia,Triangle,Ch\u00e8vre,Junction,Rache,Friday,Beam,H\u00f4tel,Valise,Sail,Zoo,Lightning,Flamme,Cake,Gold,Spy,Poup\u00e9e,Owl,Horn,Narr,Hunter,Coffee,Necklace,Song,Guillotine,Spice,Oven,Vache,Whip,Coin,Calendrier,Pfeffer,Monkey,Throat,Pizza,Cougar,Shield
Guess,Urgence,Box,Pie,Bauernhof,Cigarette,Donkey,Hunter,Pig,Alcohol,Nombril,Tomber,doll,Vampire,,Papillon,train,,Lkw,seeweed,Sir\u00e8ne,Bullseye,,Circus,Moskito,Mafia,Triangle,ch\u00e8vre,Junction,Revanche,Friday,captain,Hotel,Valise,sail,Zoo,Lightning,Flamme,cake,Gold,Spy,Poup\u00e9e,Owl,,Narren,,coffee,necklace,Song,guillotine,Spice,fry,Vache,Whip,coin,Calendrier,Pfeffer,Monkey,Throat,pizza,Yeux,shield
