ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70
Table Number,544679536,544604519,544598334,544317673,543377685,544107250,544048874,544033867,544105430,544067486,543998936,543878076,543819095,543836528,543667184,543698210,543163701,543107185,543088070,543159061,542710102,542826274,542849457,542382389,541956550,541631959,541493139,541434875,540784207,540639198,540502585,540502801,539675526,540361426,540330319,539553561,539937223,539553380,539877940,539174201,539263213,537929434,537730552,536784008,537722907,537713044,537913892,537036300,536949914,535380893,533993182,534528798,533093056,531294042,530819309,528244412,528022195,526405578,526272417,521791242,516738278,498938279,489194416,478416865,431028877,431028987,405054016,396307534,381777020,358827793
Move,['10'],['7'],['22'],['9'],['26'],['59'],['60'],['40'],['30'],['28'],['49'],['101'],['42'],['46'],['56'],['31'],['36'],['78'],['19'],['53'],['60'],['56'],['68'],['58'],['72'],['115'],['46'],['51'],['56'],['72'],['32'],['42'],['264'],['110'],['36'],['27'],['39'],['63'],['20'],['63'],['67'],['27'],['83'],['56'],['94'],['25'],['745'],['66'],['74'],['11'],['45'],['25'],['31'],['14'],['49'],['44'],['63'],['153'],['24'],['38'],['941'],['2829'],['781'],['1229'],['1403'],['1444'],['2760'],['665'],['1681'],['2566']
Mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode
Speed,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,Français,English,Deutsch,Français,English,Français,English,English,Français,English,English,English,English,English,English,Français,English,Français,Deutsch,English,English,Deutsch,Français,English,English,English,English,English,Français,English,Français,English,English,English,Deutsch,English,English,English,Deutsch,English,Français,English,English,English,English,Deutsch,English,Français,English,Deutsch,English,Français,English,English,English,Français,Français,English,English,English,Français,Français,English,English,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Sapeur', 'Metier', 'Contre', 'Piroman']","['antibiotics', 'Chinese', 'Healing', 'Prescription']","['Walking', 'Appui', 'Stick', 'B\\u00e2ton']","['Bear', 'Express', 'Chinese', 'Kungfu', 'bamboo', 'Bamboo']","['Wecker', 'CobraII', 'Warnung', 'Pornodialog', 'Sirene']","['Diamants', 'Lit', 'Courant', 'Affluent', 'Affluent']","['Cake', 'Mid-autumnfestival', 'Appollo11', 'Yellow', 'Yellow']","['Liqueur', 'Degr\\u00e9', '\\u00c9thanol', 'Gin']","['cleaver', 'Cutter', 'Billie', 'slaughter', 'meat', 'Meat']","['liquor', 'drink', 'Margaritas', 'Blend']","['colis', 'kira', 'kira', 'emballage', 'Kira', 'Emballage']","['circuit', 'Tubes', 'Season', 'world', 'Season', 'world']","['Hit', 'Nails', 'Tool', 'Jack']","['Hell', 'Phantom', 'Heaven', 'Eden']","['Airway', 'Broadcast', 'Cuba', 'Gooding', 'FM', 'Station']","['Dolly', 'Herd', 'Cloud', 'Animal']","['white', 'Crystal', 'cone', 'Jon', 'Dwarfs', 'Angel']","['lynx', 'Vieille', 'Chaudasse', 's\\u00e9ductrice', 'Puma', 'Puma']","['Wedding', 'Union', 'license', 'Officiant', 'Wedlock', 'Vows']","['vetement', 'D\\u00e9guisement', 'mari\\u00e9', 'Mariage']","['K\\u00f6rperkunst', 'Loreen', 'Haut', 'Arschgeweih']","['Fancy', 'formal', 'Dancing', 'Strictly', 'waltz', 'Waltz']","['Disney', 'Kate', 'Mononoke', 'Bride', 'Royalty', 'Royal']","['Tief', 'Grundversorgung', 'Trinkreservoir', 'Samara']","['sph\\u00e8re', 'Bill', 'neige', 'Neige']","['Four', 'Playoff', 'Winter', 'spring', 'autumn', 'autumn']","['digestive', 'Bread', 'flaky', 'tea', 'gravy', 'Gravy']","['protect', 'attorney', 'security', 'Offence', 'Tower']","['sunny', 'Sweat', 'Glau', 'pool', 'camp']","['landscape', 'oasis', 'Dunes', 'Tabernas']","['D\\u00e9couper', 'Apero', 'Surf', 'Gainage', 'Gainage']","['pedals', 'handlebars', 'Two', 'Tyres', 'Ride', 'Spokes']","['Informatique', 'Norton', 'R\\u00e9tro', 'Vih', 'Pand\\u00e9mie', 'Ordinateur']","['Desert', 'Illusion', 'desert', 'illusion']","['Selection', 'placemat', 'Drink', 'Restaurant', 'list', 'List']","['Life', 'Friend', 'Unending', 'Geometry', 'round', 'o']","['Troubadix', 'Film', 'Obelix', 'Comic', 'Idefix', 'Idefix']","['Horseplay', 'party', 'bar', 'chlorinated', 'Billiards', 'Billiards']","['snoop', 'sleuth', 'espionage', 'Espionage']","['Girl', 'Baby', 'Baby', 'Baby']","['Kopenhagen', 'Flossenm\\u00e4del', 'nicht', 'Blaubarschbube', 'Blaubarschbube']","['Muffin', 'Butch', 'horse', 'Hottie', 'piercing', 'Bolt']","['Marseille', 'cochon', 'Molky', 'Cochonnet', 'Cochonnet']","['Ignite', 'Camp', 'Charcoal', 'combustion', 'inferno', 'blaze']","['Bounce', 'Rubber', 'stretchy', 'Waistband', 'stretchy', 'Hairband']","['Molten', 'Sand', 'CUP', 'Breakable', 'shatter', 'fragile']","['Claw', 'Prongs', 'cash', 'hoe', 'Tool', 'Tool']","['Madeira', 'Mallorca', 'Atlantis', 'Wasser', 'Ibiza']","['Afters', 'icecream', 'magnum', 'Menu', 'Sweet', 'Sweet']","['Collier', 'Doom', 'Bijou', 'Brillant', 'Hu\\u00eetre']","['Hemlock', 'Toxin', 'sick', 'Oak']","['Religion', 'Sanctuary', 'Indiana', 'Kerkelijk', 'prey']","['Sea', 'Sail', 'Salty', 'Indian', 'Arctic', 'Tides']","['Restaurant', 'Maigre', 'Service', 'Choix', 'Carte', 'Carte']","['It', 'Bozo', 'Funny', 'Smaldini', 'circus', 'makeup']","['tuxedo', 'garfield', 'Nip', 'meow', 'meow', 'Meow']","['Desert', 'Vision', 'Illusion', 'Oasis', 'False', 'Image']","['Gardien', 'Mac\\u00e9o', 'Dieu', 'Aur\\u00e9ole']","['Concert', 'Notes', 'note', 'm\\u00e9lodie']","['wool', 'mehhhh', 'Count', 'grass', 'soft', 'Animal']","['Medic', 'Building']","['class', 'computer', 'BillNye', 'Subject', 'gravity', 'theory']","['albacore', 'Mayo', 'poisson', 'Poisson']","['Nature', 'Fiction', 'Infuse', 'Enseignement', 'Humaine', 'Humaine']","['case', 'tailor', 'Wedding', 'Attire', 'and', 'tie']","['Chocolate', 'Pub', 'Drinks', 'stool']","['Rocks', 'Shade', 'Green', 'Green']","['Underground', 'toilet', 'line', 'septic', 'drainage', 'drain']","['Bespoke', 'classic', 'Tuxedo', 'Barney']","['maillons', 'accroch\\u00e9s', 'Nebulaire', 'String']"
Mystery Word,Pompier,Medicine,Canne,Panda,Alarm,Rivi\u00e8re,Moon,Alcool,Butcher,Cocktail,Carton,Series,Hammer,Paradise,Radio,Sheep,Snow,Cougar,Marriage,Costume,Tattoo,Ballroom,Princess,Brunnen,Boule,Season,Biscuit,Defense,Summer,Desert,Planche,Bicycle,Virus,Mirage,Menu,Circle,Asterix,Pool,Spy,Chick,Meerjungfrau,Stud,P\u00e9tanque,Fire,Elastic,Glass,Rake,Insel,Dessert,Perle,Poison,Tempel,Ocean,Menu,Clown,Cat,Mirage,Ange,Musique,Sheep,Hospital,Science,Thon,Science,Suit,Bar,Moss,Sewer,Suit,Cha\u00eene
Guess,Pompier,Medicine,canne,panda,Alarm,Rivi\u00e8re,Moon,Alcool,butcher,Alcohol,Paquet,Subway,hammer,Ethereal,Radio,Sheep,Snow,Cougar,Marriage,Costume,,,Princess,zisterne,Boule,season,Biscuit,Defence,Suntan,Desert,Planche,bicycle,Virus,X,bar,Circle,Asterix,Pool,Detective,Female,Meerjungfrau,lightning,petanque,Fire,Ball,glass,Tool,Insel,,Perle,Poison,,Ocean,Menu,clown,cat,Mirage,,Musique,sheep,Hospital,Science,Thon,Science,suit,Bar,Shadow,sewers,Suit,Chaine
