ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83
Table Number,498375628,498548445,498282968,498240290,498436600,498300596,497956953,498066468,498166671,497793723,498012057,497624698,497839637,497566435,497293911,497278122,496884758,497121688,497173298,496196885,496950019,497091178,496927186,496938426,496378140,496532374,496060966,496511396,496416430,495942525,495885528,495984241,495708536,495617876,495552382,495349332,494733829,494781052,494908508,494801385,494674952,494473652,494522455,493769667,494157787,493490598,493675456,493151089,493453582,493334781,491092635,491305856,490280100,489547867,489534385,485539344,484682575,484435490,484195799,479677325,478416865,471793759,465730124,465730355,465730615,465732005,465733714,465664095,465664286,465669875,465665695,465435499,464921867,444471586,405054016,396307534,387173467,381826421,374138794,358827793,356959263,322726720,319065151
Move,['27'],['5'],['27'],['9'],['6'],['24'],['19'],['27'],['46'],['33'],['68'],['28'],['27'],['51'],['41'],['74'],['56'],['48'],['74'],['35'],['24'],['19'],['56'],['24'],['41'],['77'],['27'],['65'],['46'],['18'],['47'],['55'],['58'],['78'],['76'],['43'],['73'],['30'],['84'],['62'],['71'],['74'],['64'],['36'],['59'],['38'],['7'],['88'],['64'],['86'],['37'],['39'],['37'],['33'],['110'],['65'],['98'],['55'],['39'],['82'],['374'],['74'],['48'],['43'],['43'],['43'],['48'],['44'],['43'],['42'],['43'],['366'],['51'],['57'],['1862'],['489'],['1491'],['812'],['1477'],['2072'],['1537'],['1214'],['420']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,Français,Français,English,Français,English,English,Français,Deutsch,Deutsch,English,English,English,English,English,English,Deutsch,Français,English,English,Deutsch,English,Français,Français,English,Français,English,English,Français,Français,English,English,English,English,English,English,English,Deutsch,Français,Français,English,English,English,English,English,English,English,Deutsch,Deutsch,English,Deutsch,Français,Français,Deutsch,English,English,English,English,Français,English,Français,English,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['rough', 'accessory', 'Carbon', 'Shine', 'Baseball', 'Baseball']","['rhume', 'essui', 'poche', 'boite']","['Allergie', 'chouchou', '\\u00e9l\\u00e9phant', 'Arachide', 'Beurre', 'Beurre']","['Spiral', 'Shell', 'Pace', 'Gary', 'Mucin', 'Slow']","['Travaux', 'Escabeau', 'Richter', 'Barreau', 'Richter', 'Barreau']","['silver', 'slug', 'Rifle', 'Whiskey', 'BB', 'velocity']","['Beaker', 'laboritory', 'Cask', 'cup', 'Container', 'Groomsmen']","['Serpill\\u00e8re', 'Joconde', '\\u00e9', 'Reseau', 'Peinture', 'Peinture']","['Puppen', '-Doppel-', 'Wohn', '-Geb\\u00e4ude']","['Sonnenbrille', 'Volkslieder', 'Schlager', 'Hannelore', 'Schlagers\\u00e4nger', 'Hannelore']","[""you're"", 'dead', 'blast', 'bomb', 'gong', 'noise']","['Prada', 'she', 'Mephistopheles', 'eggs', 'Horny', 'Asmodeus']","['bongo', 'Beat', 'Bass', 'Ringo', 'Band', 'percussion']","['Exchange', 'Pound', 'Coinage', 'Bills', 'money', 'Money']","['Obgyn', 'Cardiologist', 'Medicine', 'Hospital']","['Aida', 'Figaro', 'Sydney', 'House', 'fat', 'lady']","['Extremsport', 'laufen', 'Ironman', 'Fahrrad', 'Schwimmen', 'schwimmen']","['Train', 'Souterrain', 'Rail', 'Tunnel']","['UKROCK', '\\u3057\\u3093\\u304d\\u308d\\u3046', '\\u307f\\u3064\\u3046\\u3089\\u3084\\u3059\\u3053', '\\u307f\\u3064\\u3046\\u3089\\u3084\\u3059\\u3053', '\\u3055\\u3070\\u304f', '\\u30b5\\u30d0\\u30af']","['deathrow', 'Bastille', 'Bars', 'begijnenstreet']","['Film', 'Rochefort', 'Porthos', 'Aramis', 'drei', 'Drei']","['Rock', 'Spherical', 'Round', 'Honeydew', 'Honeydew', 'Honeydew']","['Esseul\\u00e9', 'Onanisme', 'Isol\\u00e9', 'Bague', 'Hermite', 'Diamant']","['Eau', 'Ciel', 'Bruine', 'Forte', 'temps', 'humide']","['Forward', 'Bayonet', 'Battery', 'battery', 'battery']","['Nicotine', 'Cancer', 'Camel', 'pantalon', 'Goudron', 'Cendriller']","['\\u3048\\u304d\\u3061\\u3085\\u3046', '\\u30bf\\u30e9\\u30f3\\u30c1\\u30e5\\u30e9', 'web', '\\u306f\\u3061\\u307b\\u3093\\u3042\\u3057', '\\u30b2\\u30f3\\u30a8\\u30a4\\u30ea\\u30e7\\u30c0\\u30f3', '\\u30bd\\u30ea\\u30c6\\u30a3\\u30a2']","['stub', 'fair', 'Entrance', 'admission', 'Admission', 'Admission']","['Tricot', 'Capitaine', 'mousqueton', 'pirate', 'Esse', 'Aiguille']","['Poudre', 'Origan', 'Safran', 'Curi', 'Assaisonnement', 'Recette']","['Grind', 'grinder', 'mill', 'Salt', 'Cayenne', 'Saltand']","['Mario', 'Vault', 'Leap', 'Hop', 'hurdles', 'Trampoline']","['Osakan', 'Asian', 'Yagami', 'Japanese', 'Tokyo', 'graphic']","['Jeep', 'lions', 'Moon', 'woburn']","['charlie', 'trough', 'eohippus', 'Preakness', 'Bojack', 'man']","['Glass', 'Toe', 'Hint', 'Money']","['oral', 'Registered', 'Alfred', 'gingivectomy', 'teeth', 'Tooth']","['Schornstein', 'Brennen', 'Flammen', 'INDIANER', 'Zigarette', 'Zigarette']","['Reims', 'Spiritueux', 'Fl\\u00fbte', 'Vouvray', 'Ardennes', 'Ardene']","['Kronenbourg', 'LEffe', 'Oktoberfest', '1664', 'Cercueil', 'Cane']","['Vermin', 'Earwig', 'pest', 'insect', 'pest', 'insect']","['Lizzo', 'Skin', 'Glass', 'music', 'Bansuri']","['Twitterpated', 'Themepark', 'fatal', 'Magnetic', 'Magnetic']","['Tug', 'Sail', 'Titanic', 'Fishing']","['Fireball', 'Light', 'Helios', 'Shine']","['Siklik', 'H\\u00f3', 'Sport', 'Sport']","['Thermostat', 'Enforcement', 'Sun', 'Wave']","['Red', 'WWF', 'Autotyp', 'China', 'Fiat', 'Fiat']","['Fisch', 'Dosenfisch', 'Alosidae', 'Dose']","['Knot', 'Windsor', 'shoelaces', 'Shoelaces']","['Kaulitzband', 'Japanstadt', 'Ghoul', 'Monsterarena']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['...Ganele', 'Frau', '23', 'Grammy', 'Sengerin', 'S\\u00e4ngerin']","['Physics', 'Astronomy', 'Geology', 'Laboratory', 'theory', 'Chemistry']","['salt', 'habanero', 'condiment', 'spicy']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Jaune', 'Colis', 'D\\u00e9m\\u00e9nagement', 'd\\u00e9m\\u00e9nagement', 'D\\u00e9m\\u00e9nagement']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Visionnement', 'Capitole', 'Film', 'Salle', 'Salle', 'Film']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['Bird', 'KungFu', 'karate', 'kick']","['Titanic', 'ship', 'Killer', 'killer']","['Furry', 'bear', 'Two-toned', 'two-tone']","['Cashew', 'Brazil', 'squirrel', 'treat']","['Crimson', 'and', 'lucky', 'irish']","['Mean', 'Girls', 'kardashian', 'face']","['Dish', 'Liquid', 'sudsy', 'clean']","['Miniature', 'Prep', 'my', 'job']","['Great', 'desire', 'fruit', 'love']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['Engagement', 'gold', 'circus', 'perimeter']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Pie', 'Juice', 'Jack', 'Newton']","['Baby', 'Horse', 'Express', 'Ride', 'tiny', 'equine']","['Morse', 'Columbo', 'Sherlock', 'Poirot', 'Pikachu', 'Pikachu']","['Street', 'Matt', 'Ted', 'Dozen']","['blades', 'chopper', 'Huey', 'Lynx']","['Pat', 'Blitz', 'et', 'mat']","['in-point', 'Trunk', 'file', 'Basket', 'court', 'Pencil']","['Full', 'Square', 'Door', 'Terraced', 'Home', 'Home']","['3D', 'square', 'rubik', '^3']"
Mystery Word,Diamond,Mouchoir,Cacahu\u00e8te,Snail,\u00c9chelle,Bullet,Flask,Toile,Haus,Heino,Bang,Devil,Drum,Currency,Doctor,Opera,Triathlon,M\u00e9tro,Oasis,Prison,Musketier,Melon,Solitaire,Pluie,Charge,Cigarette,Spider,Ticket,Crochet,\u00c9pice,Pepper,Jump,Manga,Safari,Horse,Tip,Dentist,Rauch,Champagne,Bi\u00e8re,Cockroach,Flute,Attraction,Boat,Sun,Ski,Heat,Panda,Sardine,Tie,Tokio,Baleine,Valise,Adele,Science,Pepper,Quarter,Root,Carton,Guard,Cin\u00e9ma,Cage,Crane,Iceberg,Panda,Nut,Clover,Plastic,Soap,Painting,Passion,Poker,Ring,Vegetable,Apple,Pony,Detective,Baker,Helicopter,\u00c9chec,Case,House,Cube
Guess,Diamond,Mouchoir,Cacahu\u00e8te,Snail,echelle,Bullet,Flask,,Haus,Heino,Bang,devil,Drum,Money,Doctor,Opera,Triathlon,M\u00e9tro,Oasis,prison,Musketier,,Solitaire,Pluie,Front,Cigarette,spider,Ticket,Crochet,Epice,Pepper,Jump,Manga,Safari,Horse,Pochacco,dentisit,Lagerfeuer,Champagne,Bi\u00e8re,pest,,Crash,Boat,Sun,Sled,,Panda,Aal,Tie,Tokyo,Baleine,valise,,Science,sals,,,Poste,guard,Cin\u00e9ma,cage,Crane,Lifeboat,Grizzly,Nut,Clover,Cosmetics,Soap,Paint,Passion,Poker,Ring,Vegetable,Apple,pony,Inspector,baker,helicopter,\u00c9chec,Case,House,Cube
