ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52
Table Number,584910166,584770361,584471879,584341710,584294096,584310648,584393137,584037461,583637824,583397452,583443864,583603715,583615382,583494023,582838274,582637562,582772237,582545752,582302763,582064913,581423250,581767722,581560970,581300078,581342951,580788243,580496854,579787056,579683076,579215113,578873232,576920182,577180892,576545693,576413622,576073245,576100022,575723606,571815545,571195661,570734438,570477684,569765107,569000947,568064462,566662988,564468602,551312356,546055893,470247957,387173467,338553253
Move,['18'],['9'],['8'],['9'],['26'],['27'],['6'],['18'],['28'],['41'],['10'],['6'],['59'],['37'],['37'],['46'],['21'],['54'],['82'],['55'],['55'],['9'],['19'],['85'],['32'],['36'],['47'],['41'],['56'],['35'],['77'],['10'],['91'],['55'],['19'],['75'],['45'],['41'],['89'],['37'],['38'],['74'],['185'],['73'],['63'],['56'],['168'],['536'],['549'],['2761'],['2603'],['2280']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+
Language,English,English,Deutsch,English,English,Français,English,Deutsch,Français,Français,English,English,English,English,English,English,English,English,English,Français,Français,English,English,English,English,Deutsch,English,Deutsch,Français,Français,English,English,Français,English,Deutsch,English,Français,English,English,Deutsch,English,English,Français,Français,Deutsch,English,English,Français,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Primate', 'Business', 'Arctic', 'Dance', 'Banana', 'Tarzan']","['Salad', 'Milkfat', 'Ice', 'Dairy', 'whipping', 'Whipping']","['AUFNKOPF', 'Sandkasten', 'Besen', 'Schippe', 'Bagger']","['Lap', 'Swim', 'Cue', 'SNOOKER', 'cue', 'Cue']","['plane', 'Hovering', 'apache', 'rotor', 'fly', 'Flyer']","['Mer', 'Astre', 'sirius', 'Berger', 'Filante', 'proxima']","['Vision', 'see', 'spectacles', 'goggles', 'Eyes', 'Wear']","['Eischale', 'Geh\\u00e4use', 'Schnetterling', 'Verpuppung', 'Schutzraum', 'Metamorphose']","['Suzanne', 'Robinet', 'Piscine', 'marie', 'Moussant', 'Moussant']","['Cantatrice', 'pavarotti', 'Castafiore', 'Boheme', 'Garnier', 'Garnier']","['Shark', 'Song', 'Crib', 'Bottle']","['mackerel', 'Fish', 'Tin', 'Oily', 'canned', 'Canned']","['Key', 'Keyhole', 'Deadbolt', 'Kwikset']","['ride', 'bmx', 'Chainrings', 'Handlebars', 'two', 'wheels']","['jamba', 'Apple', 'Lizzo', 'Steroids', 'squeezed', 'Squeeze']","['Dozen', 'bread', 'profession', 'British', 'Cakes', 'Cake']","['Isolated', 'crustacean', 'Crab', 'alone']","['flask', 'Wine', 'beer', 'beer', 'serving', 'Serving']","['pharmacy', 'Prescription', 'capsule', 'ball', 'Pills', 'therapeutics']","['Eglise', 'Cire', 'Lampiotte', 'Fondant', 'moteur', 'allumage']","['Gorgones', 'Pers\\u00e9e', 'Plage', 'Visqueux', 'Radeau', 'Radeau']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['Clam', 'Beach', 'Fish', 'Sea', 'Shotgun', 'Snail']","['Shoe', 'raspberry', 'Fire', 'lick', 'Lick']","['Formal', 'Boardshorts', 'Bikini', 'Worn', 'Bathers', 'Bathers']","['Sturmhose', 'Taifun', 'Kampfflugzeug', 'Wirbelsturm', 'Windhose', 'Windhose']","['Beach', 'surf', 'sine', 'greeting', 'Hi', 'cheer']","['CLAMP', 'R\\u00fcckw\\u00e4rtscomic', 'Noragami', 'Japanisch', 'lesen']","['Similaire', 'Identique', 'Policier', 'militaire', 'Tenue', 'tenue']","['Taper', 'Cuisine', 'dresseur', 'ustensile']","['reflection', 'Alice', 'mimic', 'Imitate']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['tuichi', 'George', 'Liane', 'Mowgli']","['Servings', 'Kids', 'restaurant', 'list', 'List', 'Restaurant']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['patch', 'Jack', 'Spice', 'Pie', 'Orange', 'gourd']","['Sauces', 'Trio', 'Ketchup', 'Poutine', 'Friture', 'Friture']","['Wolftrap', 'listen', 'Hollywood', 'Bowl']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Bread', 'Pudding', 'Comedic', 'Slip', 'Minion', 'food']","['Pelochon', 'Manchot', 'Banquise', 'Oiseau', 'Animal']","['pesquet', 'thomas', 'Combinaison', 'Buzz', 'Espace', 'Espace']","['Tanz', 'Ball', 'Dreivierteltakt', 'Hochzeitstanz', 'Wien', 'Tanzart']","['Internet', 'Deacon', 'restaurant', 'computer', 'waitress', 'waiter']","['Bistro', 'Diner', 'Fine', 'Dining', 'Alexanders', 'Tomi']","['Histoire', 'Sans', 'Contraire', 'Arr\\u00eat', 'Debut', 'D\\u00e9but']","['Oak', 'Arms', 'Tributary', 'Limb', 'Root', 'And']","['Ocean', 'Pesci', 'Poker', 'Tables', 'Bellagio', 'blackjack']","['104', 'Bieber', 'ill', 'Spanish', 'Pitch', 'Night']","['Legume', 'Woodstock', 'Canola', 'butter', 'Circus']"
Mystery Word,Monkey,Cream,Schaufel,Pool,Helicopter,\u00c9toile,Glasses,Kokon,Bain,Op\u00e9ra,Baby,Sardine,Lock,Bicycle,Juice,Baker,Hermit,Bottle,Medicine,Bougie,M\u00e9duse,Medal,Shell,Tongue,Swimsuit,Tornado,Wave,Manga,Uniforme,Fouet,Mirror,Cup,Jungle,Menu,Frankreich,Pumpkin,Frites,Concert,Sting,Rose,Couch,Banana,Pingouin,Astronaute,Walzer,Server,Restaurant,Fin,Branch,Casino,Fever,Peanut
Guess,Monkey,cream,Schaufel,Pool,Heliocopter,Etoile,Glasses,Kokon,Bain,Op\u00e9ra,Baby,tuna,Lock,Bicycle,Juice,,Hermit,bottle,Medicine,Bougie,m\u00e9duse,medal,shell,tongue,Swimsuit,Tornado,Wave,,Gendarme,Fouet,mirror,,Jungle,,Frankreich,Pumpkin,Patate,Music,Sting,Rose,Couch,Banana,Pingouin,astronaute,Walzer,,Restaurant,Fin,Branch,casino,Concert,Peanut
