ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70
Table Number,477063237,476826099,477041660,477140126,476991567,476603753,475477736,476589521,476494809,476445139,475857014,476290316,476173213,475651136,475330261,475896597,475865802,475778330,475696379,475720547,475252526,475376871,475214770,475293817,475108816,474591484,474653341,474331197,474013322,473977248,473319518,473890082,473220145,473272593,473006635,473034160,472875831,473076163,472803065,472679267,472698771,472518873,472148204,472016989,471674608,471797234,471450962,471369080,470568445,470357896,470129046,469785842,466822267,466084294,465621249,463714023,459279309,457064795,455837502,451463411,449145581,431028987,426921218,422619886,421549329,363390977,358827793,346689693,344838144,319065151
Move,['14'],['9'],['6'],['12'],['10'],['36'],['28'],['18'],['19'],['74'],['5'],['43'],['22'],['27'],['12'],['56'],['64'],['57'],['44'],['86'],['38'],['27'],['53'],['19'],['57'],['19'],['75'],['12'],['35'],['102'],['36'],['9'],['109'],['33'],['112'],['45'],['76'],['102'],['46'],['100'],['42'],['74'],['45'],['75'],['43'],['65'],['60'],['92'],['81'],['58'],['84'],['49'],['125'],['22'],['70'],['57'],['40'],['36'],['455'],['40'],['73'],['656'],['481'],['491'],['95'],['1583'],['1909'],['2497'],['1486'],['366']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,Français,English,Français,English,Français,English,English,English,English,English,English,English,Deutsch,English,Deutsch,Deutsch,English,English,English,English,English,English,English,English,Français,English,English,Deutsch,English,Deutsch,English,English,English,Français,English,English,English,English,English,English,Deutsch,Deutsch,Français,Français,English,Deutsch,English,English,Deutsch,English,English,English,English,Français,Français,Français,English,Français,English,English,English,English,English,English,English,Français,Français,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['tarragon', 'aromatic', 'Hoover', 'Alpert']","['Ouragan', 'Temp\\u00eate', 'm\\u00e9t\\u00e9o', 'parapluie', 'Vetements', 'Meteo']","['Spooky', 'Buried', 'DMB', 'Headstone', 'grave', 'coffins']","['Mini', 'Tee', 'Volkswagen', 'Green', 'Club', 'Ball']","['head', 'rest', 'soft', 'cushion']","['Nassau', 'Cara\\u00efbes', 'tr\\u00e9sor', 'peterpan', 'Tipiak', 'C\\u0153ur']","['generic', 'disease', 'Pharmacy', 'penicillen', 'Pharma', 'Pills']","['Switch', 'Backgammon', 'Clue', 'This', 'Thrones', 'Passtime']","['Serviette', 'Quilton', 'Kleenex', 'Kleenex', 'paper', 'Paper']","['Opstaan', 'Ontbijt', 'Wekker', 'Vroeg']","['Cranium', 'Safety', 'protection', 'skull']","['Latte', 'Cinderella', 'Carving', 'carve', 'Pie', 'pie']","['major', 'Reflection', 'Child', 'small', 'Unimportant', 'Unimportant']","['Flugger\\u00e4t', 'Landeplatz', '117', 'Fliegen', 'Eltern', 'Eltern']","['Jewish', 'David', 'twinkle', 'little', 'sun', 'estrella']","['Entscheidung', 'Partei', 'Kampf', 'Kabine', 'Klassensprecher', 'Urne']","['Laub', 'SchreibZettel', 'Seite', 'Buchseite']","['species', 'Emu', 'flock', 'Beak', 'feather', 'Pigeon']","['Occupation', 'Patissier', 'Cake', 'Muffin']","['Almond', 'Udders', 'Buffalo', 'cow']","['cirrus', 'Nine', 'stratosphere', 'Cumulus', 'nimbus', 'nimbus']","['photo', 'moovie', 'lens', 'stand']","['latch', 'Ness', 'Deadbolt', 'Tress', 'tress']","['Turtles', 'drink', 'soda', 'tube', 'Plastic', 'plastic']","['Wedding', 'cold', 'silk', 'beret', 'Cap', 'Paper']","['appendicectomie', 'Table', 'Anesth\\u00e9sie']","['crime', 'mob', 'Criminal', 'Werewolf', 'Front', 'Crimen']","['Nuclear', 'Infestation', 'Bug', 'Bug', 'infestation', 'bug']","['Fr\\u00fchst\\u00fcck', 'Frankreich', 'H\\u00f6rnchen', 'Geb\\u00e4ck']","['soap', 'Gum', 'Wand', 'Bath', 'Bath', 'Wand']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Caesar', 'potato', 'Dressing', 'Cobb', 'Waldorf', 'Waldorf']","['Fej', 'Alv\\u00e1s', 'Puha', 'Puha']","['carapace', 'reptile', 'Terrestre', 'Donatello', 'Ninja', 'Famille']","['polish', 'Finger', 'Hammer', 'Hammer']","['Fourth', '25c', '25', 'fourth']","['paper', 'wipe', 'fold', 'Disposable', 'Cloth', 'Serviette']","['melt', 'Sushi', 'Starkist', 'Canned', 'skipjack', 'skipjack']","['oubliette', 'catacombs', 'keep', 'RPG', 'subterranean', 'prisoners']","['Slimming', 'Loss', 'calories', 'Fad', 'atkins', 'Atkins']","['Haare', 'S\\u00e4nger', 'Sonnenbrille', 'Enzian', 'Enzian', 'Sonnenbrille']","['Oberst', 'Soldat', 'Oberstleutnant', 'Befehlshaber', 'General', 'Kompanief\\u00fchrer']","['Halogene', '\\u00e9clairage', 'Claude', 'Compeed', 'Cloque']","['multiplications', 'Op\\u00e9ration', 'Basse', 'Basse']","['Bastion', 'moat', 'turret', 'Rook']","['Schiff', 'Bremse', 'T\\u00e4towierungsmotiv', 'Seemann', 'Uhrenbauteil', 'Ludwigshafen']","['sniff', 'Rudolph', 'Beak', 'Snozzle', 'smell', 'Hooter']","['Drunk', 'Molson', 'heineken', 'Pabst', 'Budweiser', 'Budweiser']","['Rot', 'Nachtschatten', 'Nachtschattengew\\u00e4chs', 'Schattengew\\u00e4chs']","['bow', 'Archery', 'Head', 'Feather', 'Cupid', 'Keyboardkey']","['Baked', 'islie', 'carrot', 'yellow', 'Pan-', 'Pie']","['Ron', 'Aye-aye', 'Crunch', 'morgan', 'Hook', 'hook']","['Roger', 'eminem', 'Jessica', 'jessica']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['Varape', 'grimpette', 'bouldering', 'Montagne', 'Crampons', 'Ascension']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['castle', 'master', 'Underneath', 'keep']","['Today', 'Fish', 'Weekend', 'Shabbat']","['shuttle', 'person', 'Buzz', 'Aldrin']","['outfit', 'costume', 'same', 'clothes']","['male', 'Annoying', 'Morning', 'chicken', 'Chicken', 'Chicken']","['Seraphim', 'Seraph', 'Food', 'cherub', 'Rendon']","['Concurrent', 'Uber', 'Vanessa.P', 'Joe']","['coeur', 'fruit', 'cerise', 'p\\u00e9pin']","['putter', 'association', 'Discotheque', 'Golf']","['net', 'Sinker', 'hook', 'Hook']"
Mystery Word,Herb,Orage,Cemetery,Golf,Pillow,Pirate,Medicine,Game,Tissue,Morning,Helmet,Pumpkin,Minor,Helikopter,Star,Wahl,Blatt,Bird,Baker,Milk,Cloud,Camera,Lock,Straw,Hat,Op\u00e9ration,Mafia,Cockroach,Croissant,Bubble,Puder,Dress,Salad,Pillow,Tortue,Nail,Quarter,Napkin,Tuna,Dungeon,Diet,Heino,Offizier,Ampoule,Table,Castle,Anker,Nose,Beer,Tomate,Arrow,Cake,Captain,Rabbit,Patron,Bouclier,Bande,Fox,Escalade,Ninja,Dungeon,Friday,Astronaut,Uniform,Rooster,Angel,Taxi,Noyau,Club,Fishing
Guess,Herb,Orage,Cemetery,Golf,Pillow,Pirates,Medicine,Game,tissue,morning,helmet,Pumpkin,,Flugzeug,star,Wahl,Blatt,bird,Chef,Milk,cloud,Camera,lock,,Hat,Operation,murderer,Bomb,Croissant,Bubble,Russ,,Salad,Pillow,Tortue,Nail,,Napkin,Tuna,Dungeon,Diet,,Bundeswehr,Ampoule,Calcul,Castle,Anker,Nose,Beer,Glumanda,Arrow,Cake,,run,Coin,Chevalier,,Fox,Escalade,,dungeon,friday,Astronaut,Uniform,DJ,Angel,taxi,Noyau,club,fisherman
