ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48
Table Number,587756766,587210249,586986986,586689237,586733841,586324912,586278455,585953739,585996255,585650761,585693317,585040326,585224672,585390273,584834352,585501963,585075759,584841578,584135448,584386020,584646277,584628766,584340810,584391231,584030440,583995369,583878438,582097141,581767722,580496854,580454340,577854619,576920182,577180892,576762350,576413622,575723606,571815545,571195661,570734438,567969300,546263681,543879156,539412516,528822756,420552674,381826421,336562502
Move,['5'],['6'],['42'],['26'],['28'],['12'],['17'],['12'],['49'],['64'],['43'],['67'],['82'],['33'],['55'],['37'],['56'],['37'],['50'],['55'],['55'],['49'],['71'],['101'],['36'],['93'],['61'],['61'],['9'],['93'],['96'],['93'],['10'],['91'],['26'],['19'],['54'],['89'],['37'],['38'],['295'],['271'],['267'],['261'],['420'],['1259'],['1101'],['2375']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,Deutsch,English,Français,English,Deutsch,Français,Français,English,English,English,English,English,Français,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,English,Deutsch,English,English,Deutsch,English,English,English,Français,English,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Opinel', 'Coupe', 'Coquillage', 'Poisson']","['Curious', 'Tail', 'Abu', 'Wukong', 'Banana', 'Banana']","['Cleaner', 'Glazed', 'Glass', 'Stained', 'Frame', 'Frame']","['sausage', 'pudding', 'Kleiner', 'Phallus']","['Jelly', 'purple', 'Wine', 'Seedless', 'Seedless', 'wine']","['Rugissement', 'Ciel', 'De', '\\u00c9clair', 'Zeus', 'Zeus']","['Cad\\u00e1ver', 'Egipto', 'Guanajuato', 'Embalsamar', 'Egypt']","['Kombi', 'Werkstatt', 'Kneif', 'Wasserrohr', 'Wasserrohr', 'Kneif']","['b\\u00eache', 'seau', 'tarte', 'melle']","['Traite', 'Vache', 'Biberon', 'fromage', 'papier', 'Blanc']","['Trap', 'Roundandround', 'Shredder', 'Sewage']","['antihistamine', 'pill', 'Penicillin', 'Atenelol', 'Prescription', 'Prescription']","['Linguine', 'Ramen', 'Pasta', 'Udon', 'Pasta', 'udon']","['lecturer', 'Educator', 'Xavier', 'Snape', 'X']","['Bandages', 'Egyptian', 'Sarcophagus', 'Daddy', 'Egypt', 'Halloween']","['Renault', 'Citroen', 'Carrosse', 'Caisse', 'Fiat', 'Volvo']","['Ice', 'fatty', 'coffee', 'Heavy', 'Milk', 'Creamy']","['Pr\\u00e9histoire', 'Stalactites', 'Cave', 'Caverne', 'Lascaux', 'Lascaux']","['Ramsay', 'Top', 'kitchen', 'Yes']","['Vivillon', 'Caterpiler', 'monarch', 'Cocoon', 'reiju', 'reiju']","['Whiskey', 'Hip']","['white', 'ball', 'little', 'windmill', 'Course', 'Shirt']","['APRIL', 'rinse']","['Officer', 'Woop-woop', 'N.W.A', 'Force', 'Roxanne', 'Gendarmerie']","['Girl', 'Scottish', 'ladylike', 'sexy']","['facial', 'wet', 'Stuff', 'disposable', 'achoo', 'Sneeze']","['Wrap', 'Polymers', 'Petroleum', 'Recycle', 'Surgery', 'Surgery']","['Ginger', 'Feline', 'Garfield', 'Tabby', 'Siamese', 'Pet']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['Game', 'Underground', 'Tube', 'transport', 'Paris', 'France']","['decorative', 'jar', 'filled', 'Vulnerable', 'Flower', 'Flower']","['thespian', 'rialto', 'Multiplex', 'studio', 'Usher', 'curtain']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['tuichi', 'George', 'Liane', 'Mowgli']","['kleenex', 'Therapist', 'Soft', 'Mucus', 'Skin', 'Apchi']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Nabisco', 'Stoned', 'Thins', 'Thins']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Wagyu', 'Jersey', 'Spotted', 'Angus', 'Udder']","['Shovel', 'Buried', 'Digger', 'serious', 'Serious']","['coron', 'grisou', 'Mines', 'Charbon', 'Majeur', 'Majeur']","['Bird', 'Superman', 'airCRAFT', 'fly']","['Veterinary', 'Man', 'drugs', 'helpful']","['of', 'contents', 'Time', 'Chair', 'fourlegged', 'center']","['phantom', 'man', 'Fall', 'cloud']","['Lieu', 'Loup', 'Bi\\u00e8re', 'Comptoir', 'Poisson', 'Poisson']"
Mystery Word,Couteau,Monkey,Window,Blutwurst,Grape,Tonnerre,Mummy,Zange,Pelle,Lait,Rat,Medicine,Noodle,Professor,Mummy,Voiture,Cream,Grotte,Chef,Butterfly,Flask,Golf,Shower,Police,Dress,Tissue,Plastic,Cat,Medal,Metro,Vase,Theater,Cup,Jungle,Tissue,Frankreich,Wheat,Sting,Rose,Couch,Cow,Grave,Mineur,Plane,Medicine,Table,Rain,Bar
Guess,Couteau,Monkey,Window,,Jam,tonnerre,Momias,Auto,Pelle,Lait,drain,medicine,noodle,professor,mummy,Voiture,Cream,Grotte,Chef,butterfly,alcohol,Baseball,shower,office,Woman,wipe,PLASTIC,Cat,medal,tunnel,Bottle,theater,,Jungle,Tissue,Frankreich,cracker,Sting,Rose,Couch,cow,Grave,Nord,Plane,Doctor,Table,rain,Bar
