ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69
Table Number,495372716,495377756,495215340,494971016,494660541,494941622,495032297,494780905,494974185,495009709,494858490,494728196,494674952,494290426,494229009,494310725,494377282,493769667,494239717,494057122,493885264,493813198,493808123,493700290,493137606,493539744,493449028,493141378,493192407,492868677,492677863,492231149,491982589,491567848,491305856,491407579,491074895,490908341,490751315,490280100,490546152,488977589,488042682,487420404,487888790,487721649,484682575,484435490,484206945,479677325,475857014,471793759,466081205,466083684,466084384,465731184,465733714,465664137,465664095,465664206,465664286,465668656,465435499,444471586,422619886,420552674,358827793,343894377,341401520
Move,['37'],['13'],['6'],['6'],['9'],['13'],['8'],['6'],['5'],['6'],['18'],['6'],['12'],['17'],['19'],['25'],['31'],['14'],['18'],['44'],['31'],['31'],['57'],['38'],['24'],['46'],['47'],['36'],['74'],['37'],['26'],['58'],['64'],['85'],['38'],['108'],['82'],['67'],['67'],['37'],['86'],['62'],['64'],['78'],['100'],['91'],['98'],['55'],['87'],['82'],['10'],['74'],['48'],['49'],['46'],['38'],['48'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['629'],['637'],['2046'],['2530'],['2795']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Real-time • Normal speed (+,Real-time • Fast paced (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+
Language,Français,English,English,English,Deutsch,Deutsch,English,English,English,English,English,English,English,English,English,English,Français,English,English,English,English,Français,English,English,English,English,Français,English,English,English,Français,Français,Français,Deutsch,Français,English,English,English,Français,Français,English,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,Français,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Chinois', 'bravo', 'Paille', 'sombrero', 'paille', 'sombrero']","['sturgeon', 'eggs', 'unborn', 'fishes']","['melody', 'Blur', '2', 'Lyric', 'music', 'Music']","['Wimbledon', 'Nadal', 'Elbow', 'Racquet', 'Sampras', 'Agassi']","['Augustus', 'Franz', 'Schmarrn', 'Wilhelm', 'Krone', 'Herrscher']","['Fiat', 'KungFu', 'Augenringe', 'B\\u00e4r', 'Bambusb\\u00e4r', 'Katzenb\\u00e4r']","['Insular', 'Sphere', 'Bath', 'Blowing', 'Pop']","['Thomas', 'Boxcar', 'Express', 'Carriages', 'Diesel', 'Steam']","['bake', 'stove', 'hot', 'cook']","['Moon', 'Date', 'YEAR', '12', 'MONTHS', 'Months']","['fantasy', 'Requiem', 'R.E.M.', 'aspire', 'Catcher', 'Catcher']","['Dance', 'Tango', 'dancing', 'parties', 'Place', 'Waltz']","['Sunrise', 'Greeting', 'Good', 'Joe', 'dawn', 'glory']","['x-mas', 'Candy', 'Support', 'Striped', 'Sugar']","['mathematician', 'Extraordinary', 'Savant', 'Einstein', 'IQ', 'prodigy']","['Arm', '-Office', 'Divergent', 'Tributaries', 'Tree', 'Tree']","['pachiderme', 'trompe', 'Pachyderme', 'Tromp\\u00e9']","['Casino', 'Wager', 'Poker', 'Placed']","['Granite', 'Philosopher\\u2019s', 'Pizza', 'Lapidate', 'Age', 'diamond']","['rolling', 'spokes', 'Sajak', 'fortune', 'Tricycle', 'Three']","['diving', 'shallow', 'table', 'floaties', 'cannonball', 'cannonball']","['oasis', 'Illusion', 'd\\u00e9sert', 'D\\u00e9sert']","['puppet', 'Foot', 'Knitting', 'hole', 'Christmas']","['Lips', 'Cavity', 'Tongue', 'wide', 'oral', 'Smile']","['camper', 'teaser', 'Behind', 'Caboose', 'Tractor', 'Movie']","['Driver', 'Lyft', 'yellow', 'fare', 'NYC', 'DeNiro']","['Pass\\u00e9', 'Guerres', 'antiquit\\u00e9', 'Conte', 'Antiquit\\u00e9', 'Contes']","['decorative', 'Structural', 'enclose', 'Bed', 'Bowling', 'Border']","['smoke', 'Explosive', 'Kaboom', 'toss', 'Throw', 'Thrown']","['T-Mobile', 'Subway', 'City', 'Tramway', 'Underground', 'Underground']","['Alimentaire', 'D\\u00e9p\\u00f4t', 'Caissiers', 'Montr\\u00e9al', 'Laurentienne', 'Laurentienne']","['Penseur', 'sculpture', 'Libert\\u00e9', 'Immobile']","['calzone', 'Olives', 'Napolitaine', 'Iolo', 'Italie', 'Italie']","['Per\\u00fccke', 'Extensions', 'Fell', 'Ausfall']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['avert', 'priestess', 'adders', 'snakehead', 'sister', 'stonify']","['camembert', 'Havarti', 'Cheddar', 'Swiss', 'Stilton', 'Cottage']","['Climb', 'travel', 'automobile', 'Carnival', 'Amusement', 'sixflags']","['Pompier', 'poids-lourd', 'Vehicule', 'Transport', 'Benne', 'Benne']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['green', 'pot', 'damp', 'Mildew', 'casting', 'Growth']","['100.3', 'thermometer', 'heated', 'temperature', 'virus', 'virus']","['Sacoche', 'Soute', 'D\\u00e9faite', 'Balluchon', 'sac', 'voyage']","['ABRACADABRA', 'POINTER', ""sorcerers'"", 'scepter', 'Herminone', 'fairy']","['Sun', 'Golden', 'Night', 'galaxy', 'Sirius', 'Struck']","['racket', 'Court', 'federer', 'serve', 'Djokovic', 'Djokovic']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Lotto', 'Booking', 'Issue', 'pass', 'entry', 'Entry']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Newton', 'lab', 'biology', 'biology']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['happy', 'annually', 'another', 'year']","['Crimson', 'and', 'lucky', 'irish']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['A', 'Knot', 'Shirt', 'And']","['liquid', 'solid', 'fart', 'petrol', 'methane', 'oxigen']","['ca', 'repart', 'EtCaRepart', 'DieuRomain']","['Roxanne', 'Officer', 'Cops', 'Cops']","['Friendship', 'Jewelry', 'Tennis', 'Tennis', 'Wrist', 'Wrist']"
Mystery Word,Chapeau,Caviar,Song,Tennis,Kaiser,Panda,Bubble,Train,Oven,Calendar,Dream,Ballroom,Morning,Cane,Genius,Branch,\u00c9l\u00e9phant,Bet,Stone,Wheel,Pool,Mirage,Sock,Mouth,Trailer,Taxi,Histoire,Frame,Grenade,Metro,Banque,Statue,Pizza,Haar,Baleine,Medusa,Cheese,Ride,Camion,Valise,Mold,Fever,Valise,Wand,Star,Tennis,Quarter,Root,Ticket,Guard,Science,Cage,Coin,Bar,Stone,Birthday,Clover,Envelope,Plastic,Card,Soap,Mill,Poker,Vegetable,Tie,Gas,Mars,Police,Bracelet
Guess,Codee,spawn,musical,Tennis,Kaiser,Panda,Bubble,train,Oven,Calendar,Religion,ballroom,Day,Cane,Genius,Elbow,M\u00e9diumnit\u00e9,Chips,stone,Wheel,Pool,Vision,Sock,Teeth,trailer,Taxi,histoire,frame,Bomb,System,Banque,statue,Pizza,Haar,Baleine,Medusa,Cheese,Trip,Camion,valise,Soil,fever,Bagage,Wand,star,Tennis,,,ticket,guard,Science,cage,Coin,Bar,Stone,Birthday,Clover,Bag,Cosmetics,Card,Soap,Mill,Poker,Vegetable,Tie,Gas,Mars,Police,Bracelet
