ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49
Table Number,579840571,579779702,579573988,579215113,579151702,579218406,578914810,578837567,578450103,578381705,577749366,578205069,578305134,578260616,578257465,576920182,577205105,577922074,577149863,576529403,576337027,576413622,576416928,575723606,574669691,574369566,572966310,571195661,570957594,570734438,570477684,569665701,569521605,569169544,567406997,567157193,563814683,562524435,562133986,559608546,550187728,543879156,527775627,521199099,511221983,496712411,363390977,336562502,317609821
Move,['9'],['9'],['9'],['10'],['30'],['19'],['41'],['36'],['20'],['73'],['28'],['73'],['27'],['20'],['74'],['10'],['63'],['32'],['27'],['51'],['40'],['18'],['94'],['10'],['64'],['52'],['58'],['37'],['56'],['38'],['50'],['43'],['81'],['113'],['269'],['73'],['73'],['17'],['11'],['186'],['334'],['241'],['820'],['901'],['2038'],['1060'],['2669'],['2300'],['2456']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,Français,Français,Français,English,Deutsch,Français,English,English,Français,English,English,English,English,English,English,English,English,Français,Deutsch,Deutsch,English,Français,English,Français,Deutsch,English,English,English,English,Deutsch,English,Français,English,English,Français,English,Français,Français,Français,English,Français,English,English,English,Français,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Avril', 'attacks', 'Rouge', 'Phobos', 'Plan\\u00e8te', 'Mai']","['Hip', 'Warm', 'Thermal', 'Conical', 'Thermos', 'Thermo']","['e-i-e-i-o', 'Crops', 'tractor', 'Agriculture', 'Animals', 'animals']","['V\\u00e9lo', 'Tourne', 'Voiture', 'Avion']","['Vue', 'Verre', 'Securite', 'Vu']","['Casserole', 'Aluminium', 'fer', 'Acier', 'Acier', 'fer']","['Manhole', 'Feces', 'Rat', 'Underground']","['Druckwerk', 'Roman', 'Lesen', 'Geschichten', 'Bibel', 'Gebunden']","['Tuches', 'Baton', 'Patate', 'Patate']","['theater', 'Residue', 'director', 'M\\u00e9li\\u00e8s', 'thin', 'exposure']","['Horn', 'Mythological', 'rare', 'Unstable']","['moto', 'football', 'T\\u00eate', 'Protection', 'Tete', 'Protection']","['Dijon', 'Vinegar', 'condiment', 'Spicy', 'colonel', 'Colonel']","['Mini', 'bar', 'Tipton', 'Transylvania', 'bell', 'lobby']","['yellow', 'pepper', 'Precedes', 'Fairy', 'Quasimodo', 'Face']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['buggy', 'Rein', 'Whinny', 'Hay']","['Sorcerer', 'Dynamo', 'profession', 'abracadabra', 'entertainment', 'Power']","['camp', 'Oasis', 'Beatles', 'Wagon', 'Drums', 'Queen']","['Esophagus', 'Cut', 'dry', 'Neck', 'swallowing', 'Swallow']","['sport', 'upercut', 'Tyson', 'Cassius']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Rigel', 'Taler', 'Sonne', 'Beteigeuze']","['Panic', 'hole', 'Elevator', 'Call']","['Saumon', 'brouillard', 'Chicha', 'Chicha']","['Furniture', 'Chair', 'Dining', 'Dinning']","['Militaire', 'Bleu', 'T\\u00eate', 'protection', 'Moto', 'moto']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Federer', 'Ace', 'Wimbledon', 'Wimbledon']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Gaiden', 'Naruto', 'Nippon', 'Shuriken', 'Stealth', 'Stealth']","['Conjoined', 'Olsen', 'double', 'fetus', 'fraternal', 'two']","['Orient', 'Jasmin', 'Wunderlampe', 'M\\u00e4rchen', 'M\\u00e4rchen']","['Birthday', 'Winter', 'Twelve', 'Twelve']","['Mariage', 'Charia', 'Bateau', 'Bateau']","['1st', 'course', 'whetting', 'snack', ""Starvin'"", 'Marvin']","['Spear', 'Rifle', 'Broadsword', 'Shotgun', 'Violent', 'Utilised']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['division', 'arbre', 'Racine', 'Aerienne']","['Friandise', 'Halloween', 'Malabar', 'Carambar', 'Sucrerie', 'Caramel']","['Casse', 'Huile', 'P\\u00e9can', 'Coco', 'Cajou', 'Cajou']","['Clover', 'lucky', '4', 'black', 'Black']","['Pmu', 'Automobile']","['Pineapple', 'Dominos', 'Hawaiian', 'Domino\\u2019s', 'hawiian']","['old', 'mcdonald', 'Dairy', 'Funny', 'Animals', 'Animal']","['VCU', 'Argonauts', 'Battering', 'dodge', 'Truck']","['Routi\\u00e8re', 'IGN', 'Tr\\u00e9sor', 'Tarot', 'Jeu', 'Jeu']","['\\u00e0pain', 'cr\\u00e9mation', 'Micro-onde', 'Midable', 'Moulin', 'Moulin']"
Mystery Word,Mars,Flask,Farm,Roue,Lunettes,M\u00e9tal,Sewer,Buch,Frites,Film,Unicorn,Casque,Mustard,Hotel,Bell,Cup,Horse,Magician,Band,Throat,Boxe,Frankreich,Stern,Button,Fum\u00e9e,Table,Casque,Rose,Tennis,Couch,Ninja,Twins,Aladdin,December,Voile,Appetizer,Weapon,Pluie,Galaxy,Branche,Bonbon,Noix,Clover,Course,Pizza,Farm,Ram,Carte,Four
Guess,Mars,Flask,farming,roue,Lunette,Marmite,Sewer,Buch,Famille,,Unicorn,Casque,Mustard,hotel,Bell,,Horse,Magician,band,Throat,Boxe,Frankreich,Stern,button,Fum\u00e9,Rocker,Casque,Rose,Tennis,Couch,Ninja,Twins,Aladin,Candle,Robe,Appetizer,Weapon,pluie,galaxy,branche,Bonbon,noix,clover,Course,Pizza,Farm,ram,Carte,Four
