ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4
Table Number,452268281,452248434,452069583,452046306
Move,12,9,21,6
Clues,"['Barnum', 'Elephant', 'Tightrope', 'carnival', 'Clown', 'clown']","['Stiletto', 'styx', 'Broken', 'Wedge', 'Achilles', 'Achilles']","['Pointy', 'Syringe', 'Haystack', 'tattoo']","['November', 'Booth', 'Trump', 'Stolen', 'Vote', 'Parties']"
Mystery Word,Circus,Heel,Needle,Election
Guess,Circus,Nail,Needle,Election
