ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65
Table Number,537143207,536853809,536707316,536712717,536482807,536164956,536111739,536115418,535089794,535806655,535737518,535546175,535260135,535293267,535178617,535202673,534869337,535095330,534669976,534522228,534603395,534087252,534511092,534488851,534343823,534443894,534298279,534244443,534077470,533880732,533890858,533212776,533228447,533064726,533088443,531294042,530819309,530464601,528744596,528244412,528221491,526405578,524212235,523793465,523367375,522581498,522043003,521791242,521576994,520391399,517125895,517095134,515531482,511221983,508762408,508761165,489194416,480055062,478416865,431028987,420552674,411382679,338553253,336562502,312552889
Move,['10'],['12'],['6'],['9'],['28'],['18'],['36'],['24'],['27'],['11'],['27'],['45'],['44'],['27'],['46'],['42'],['50'],['50'],['61'],['64'],['36'],['35'],['55'],['50'],['55'],['35'],['72'],['33'],['47'],['11'],['61'],['63'],['76'],['57'],['16'],['13'],['49'],['76'],['73'],['44'],['75'],['153'],['48'],['85'],['101'],['97'],['5'],['38'],['11'],['21'],['203'],['261'],['37'],['1161'],['325'],['251'],['735'],['642'],['1123'],['1443'],['912'],['807'],['2053'],['2053'],['2385']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only
Language,Français,Français,English,English,English,English,English,English,Deutsch,Français,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,English,English,English,English,Deutsch,English,Français,English,Français,English,English,English,English,English,Français,English,English,English,English,English,English,English,English,English,Français,English,English,English,Français,Français,Deutsch,Français,English,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Peso', 'Pi\\u00e8ces', 'Centimes', 'Piece', 'zloty']","['Argent', 'Rectangle', 'Ticket', 'Avion', 'Pascal', 'Delacroix']","['Fire', 'Danger', 'Whisp', 'Brisket']","['Folgers', 'Mocha', 'godot', 'Machiato', 'espresso', 'espresso']","['ladder', 'Dalmatian', '451', 'rescuer', 'Truck', 'Station']","['porous', 'Soak', 'absorbent', 'absorb', 'Bob', 'Soap']","['Kid', 'igneous', 'Volcanic', 'Dwayne', 'Pebble', 'Ages']","['Whirl', 'Billiards', 'Swim', 'Snooker', 'Swim', 'Snooker']","['Creme', 'Innen', 'Wrap', 'Cordonbleu', 'Amalgam', 'Amalgan']","['rugir', 'Aslan', 'Feline', 'Crini\\u00e8re', 'Simba', 'Simba']","['Spouse', 'Ring', 'Matrimony', 'Widowed', 'white', 'legal']","['duracel', 'alcatel', 'Face', 'Pi\\u00e8ce']","['Stem', 'Flower', 'Vessel', 'Ceramic']","['egg', 'Poultry', 'KfC', 'Drumstick', 'Zaxby\\u2019s', 'Hen']","['Pin', 'Haystack', 'darn', 'Stitch', 'eye', 'Eye']","['Sargent', 'Crushed', 'Jalapeno', 'Habanero', 'grind', 'corn']","['Flyweight', 'Wings', 'Duster', 'duster']","['twin', 'See', 'Myself', 'glass', 'reflection', 'reflection']","['album', 'tracks', 'Melody', 'Music', 'Lyrics', 'Lyrics']","['scallop', 'Hard', 'Tortoise', 'Sea', 'Shed', 'Snail']","['stripes', 'warden', 'Orange', 'New', 'Folsom', 'Blues']","['Halloween', 'Carving', 'Orange', 'Autumn']","['Oasis', 'coconuts', 'Florida', 'Hand', 'Trees', 'Tree']","['Apparition', 'Heat', 'Hotel', 'Oasis', 'Oasis', 'Oasis']","['Beach', 'Disneyland', 'Go-Gos', 'Holiday', 'Trip', 'Break']","['Pepito', 'Oreo', 'pepitos', 'chocolinas']","['C\\u00e8pes', 'Girolle', 'win', 'Phalo\\u00efde', 'Mycose', 'Mycose']","['X', 'Snape', 'Layton', 'Oak', 'University', 'Instructor']","['Pickle', 'yari', 'Britney', 'asparagus', 'pointy', 'Javelin']","['bed', 'main', 'structure', 'support']","['temporary', 'permanent', 'Skin', 'Ink', 'Ink', 'Skin']","['Video', 'abspielen', 'Kasetten', 'Videokassetten', 'Aufnahmeger\\u00e4t', 'Aufzeichnungsger\\u00e4t']","['Camera', 'Cinema', 'Record', 'Layer', 'seris', 'Watch']","['Pole', 'Tuxedo', 'Manchot', 'Manchot']","['bendy', 'boba', 'Desiccated', 'bale', 'Rumplestiltskin']","['Restaurant', 'Maigre', 'Service', 'Choix', 'Carte', 'Carte']","['It', 'Bozo', 'Funny', 'Smaldini', 'circus', 'makeup']","['Frosty', 'Solid', 'Vanilla', 'Vanilla', 'vanilla', 'Vanilla']","['Cir', 'cle', '2pair', 'paid']","['tuxedo', 'garfield', 'Nip', 'meow', 'meow', 'Meow']","['rumble', 'clap', 'boom', 'sound', 'Thor', 'weather']","['Gardien', 'Mac\\u00e9o', 'Dieu', 'Aur\\u00e9ole']","['Raspberry', 'Golden', 'Topping', 'sauce']","['Paste', 'off', 'Hair', 'bristle', 'groom', 'paint']","['Cruise', 'Martini', 'Kokomo', 'Hiball', 'Molotov', 'Molotov']","['Carolina', 'Chickory', 'Hickory', 'tongs', 'grill']","['Tail', 'Ride', 'Eeor', 'Grandad']","['wool', 'mehhhh', 'Count', 'grass', 'soft', 'Animal']","['Rail', 'watch', 'Protect', 'protect']","['Choochoo', 'track', 'Transport', 'Rails', 'Shinkansen', 'rer']","['Sea', 'Robber', 'Blackbeard', 'Privateer', 'Ship', 'Somalian']","['macaque', 'ouistiti', 'gorille', 'chimpanz\\u00e9e']","['molten', 'eruption', 'Floor', 'Magma']","['Semolina', 'Barley', 'Chaff', 'whole', 'Shredded']","['Dart', 'Longbow', 'Fletching', 'Fletcher']","['Prison', 'Paix', 'But', 'Prot\\u00e8ge']","[""s'habille"", 'en-prada', 'Satan', '666']","['Legosteinmaterial', '3D-Kunstwerk', 'Kunststoffe', 'Erd\\u00f6l', 'T\\u00fcte', 'Becher']","['Fraiche', 'Museau', 'Naus\\u00e9abond', 'Odeur', 'Bouche', 'Bouche']","['Chocolate', 'Pub', 'Drinks', 'stool']","['prickly', 'shape', 'teardrop', 'yellow', 'fruit', 'fruit']","['Cochran', 'Justice', 'ace', 'Wright', 'Miranda']","['linoleum', 'Laying', 'Azul', 'Flooring', 'Flooring']","['Coupon', 'Train', 'Avion', 'Loto', 'Billet', 'Billet']","['Sweet', 'Maltose', 'Cane', 'Rush', 'Spice']"
Mystery Word,Monnaie,Billet,Smoke,Coffee,Firefighter,Sponge,Rock,Pool,F\u00fcllung,Lion,Marriage,Pile,Vase,Chicken,Needle,Pepper,Feather,Mirror,Song,Shell,Prison,Pumpkin,Palm,Mirage,Vacation,Cookie,Champignon,Professor,Spear,Frame,Tattoo,Rekorder,Film,Pingouin,Straw,Menu,Clown,Ice,Circle,Cat,Thunder,Ange,Syrup,Brush,Cocktail,Barbecue,Donkey,Sheep,Guard,Train,Pirate,Singe,Lava,Wheat,Arrow,Gardien,Diable,Plastik,Haleine,Bar,Pear,Attorney,Tile,Ticket,Sugar
Guess,Monnaie,Billet,BBQ,Coffee,fireman,sponge,rock,pool,K\u00e4se,Lion,engage,Pile,vase,Chicken,needle,Pepper,Boxing,Mirror,Song,Turtle,Prison,Pumpkin,palmtree,Mirage,Vacation,Cookies,Champignon,professor,spear,Room,tattoo,Filmabend,Movie,Smoking,straw,Menu,clown,Ice,circle,cat,thunder,,syrup,,cocktail,BBQ,Donkey,sheep,,train,Pirate,Singe,Lava,wheat,Arrow,Gardien,Diable,Plastik,Senteur,Bar,Pineapple,Lawyer,Tile,ticket,Sugar
